L1_orth,L1_L1wiktionary,L1_enwiktionary,L1_ipa,L1_en,L1_disambiguated,L1_suffix,L1_pos,L1_year,L1_macro_family,L1_family,L1_language,L1_region,L1_type,L1_loan,L1_certainty,L1_closest_wold_concept,L1_borrowability,L1_closest_wold_concept_similarity,hmInf_strF_vhF_onlyF
ad,https://hu.wiktionary.org/wiki/ad#Magyar,https://en.wiktionary.org/wiki/ad#Hungarian,ɒd,"accord, afford, allow, concede, contribute, extend, furnish, gift, give, gave, given, hand, inflict, lend, lent, provide, render, yield",0,-,v,1200,FU,no_info,no_info,no_info,no_info,-,certain,"('give', 'give')",0.08677686,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nt|mt)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
adminisztrál,https://hu.wiktionary.org/wiki/adminisztrál#Magyar,https://en.wiktionary.org/wiki/adminisztrál#Hungarian,ɒdministraːl,administer,0,-,r,1571,IE,Romance,Latin,no_info,general,+,certain,"('administer', 'govern')",0.375565611,0.646462023,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nt|w|j)(m|ðʲm|lm)(ɑ|ȣ|i|e|ͽ|o)(n)(ɑ|ȣ|i|e|ͽ|o)(s|ʃʲ|t͡ʃʲ)(j|tt|kt)(r|rk|jr|ɣr|lm)(ɑ|ȣ|ͽ|o|u|e)(l|ð|lk|w|lw|m)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
adó,https://hu.wiktionary.org/wiki/adó#Magyar,https://en.wiktionary.org/wiki/adó#Hungarian,ɒdoː,"contribution, dues, duty, tax, transmitter, transmitting, tribute",0,-,r,1416,no_info,no_info,no_info,no_info,change of part of speech,-,certain,"('tax', 'tax')",0.5903614460000001,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nt|w|j)(ͽ|o|u|ɑ|e)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
advent,https://hu.wiktionary.org/wiki/advent#Magyar,https://en.wiktionary.org/wiki/advent#Hungarian,ɒdvɛnt,advent,0,-,n,1470,IE,Romance,Latin,no_info,general,+,certain,"('advent', 'calendar')",0.770833333,0.620400131,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nt|w|j)(p|j|wk|w|k|ŋ)(æ|e|ͽ|ȣ̈|i|ɑ|o)(n)(tt|kt|tk|pt|j)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
affektál,https://hu.wiktionary.org/wiki/affektál#Magyar,https://en.wiktionary.org/wiki/affektál#Hungarian,ɒfːɛktaːl,"attitudinize, give_oneself_airs, give_oneself_airs_and_graces, pose, prance_and_curvet, put_on_airs, put_on_airs_and_graces",0,-,v,1587,IE,Romance,Latin,no_info,general,+,certain,"('pose', 'danger')",0.358851675,0.8242744209999999,fː not old
áfium,https://hu.wiktionary.org/wiki/áfium#Magyar,https://en.wiktionary.org/wiki/áfium#Hungarian,aːfium,(archaic) opium,0,-,n,1546,Turkic,Oghuz,Ottoman-Turkic,no_info,no_info,+,certain,(),0.0,-1.0,f not old
ág,https://hu.wiktionary.org/wiki/ág#Magyar,https://en.wiktionary.org/wiki/ág#Hungarian,aːɡ,"arm, branch, perch, shroud, snub, sprig",0,-,n,1300,U,no_info,no_info,no_info,no_info,-,uncertain,"('arm', 'arm')",0.093283582,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(ŋ|ŋk)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
aga,https://hu.wiktionary.org/wiki/aga#Magyar,https://en.wiktionary.org/wiki/aga#Hungarian,ɒɡɒ,agha,0,-,r,1544,Turkic,Oghuz,Ottoman-Turkic,no_info,no_info,+,certain,"('agha', 'ram')",0.191331924,0.5348433260000001,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(ŋ|ŋk)(ͽ|e|ɑ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ágál,https://hu.wiktionary.org/wiki/ágál#Magyar,https://en.wiktionary.org/wiki/ágál#Hungarian,aːɡaːl,advocating,0,-,a,1568,IE,Romance,Latin,no_info,general,+,certain,"('advocating', 'embrace')",0.180451128,0.6771439909999999,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(ŋ|ŋk)(ɑ|ȣ|ͽ|o|u|e)(l|ð|lk|w|lw|m)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
agár,https://hu.wiktionary.org/wiki/agár#Magyar,https://en.wiktionary.org/wiki/agár#Hungarian,ɒɡaːr,greyhound,0,-,n,1395,IE,Slavic,no_info,Western,no_info,+,uncertain,"('greyhound', 'bicycle')",0.625,0.652008653,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(ŋ|ŋk)(ɑ|ȣ|ͽ|o|u|e)(r|rw|rk|ɣ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ágaskodik,https://hu.wiktionary.org/wiki/ágaskodik#Magyar,https://en.wiktionary.org/wiki/ágaskodik#Hungarian,aːɡɒʃkodik,"prance, rear",0,-,v,1566,no_info,no_info,no_info,no_info,derivative,-,certain,"('rear', 'wheel')",0.460843373,0.784212887,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(ŋ|ŋk)(ɑ|ͽ|u|o|ȣ|e|æ)(t͡ʃʲ|nʲt͡ʃʲ)(kk|wkk)(u|ͽ|ɑ|o|ȣ|i|e)(nt|w|j)(ɑ|ȣ|i|e|ͽ|o)(kk|wkk|k|tt)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ág-bog,https://hu.wiktionary.org/wiki/ág-bog#Magyar,https://en.wiktionary.org/wiki/ág-bog#Hungarian,aːɡ-boɡ,branch_burl,0,-,n,1522,no_info,no_info,no_info,no_info,no_info,-,certain,(),0.0,-1.0,b not old
agg,https://hu.wiktionary.org/wiki/agg#Magyar,https://en.wiktionary.org/wiki/agg#Hungarian,ɒɡː,"(literary) very old, aged",0,-,a,1372,FU,no_info,no_info,no_info,no_info,-,certain,"('aged', 'age')",0.452054795,0.76954937,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(ŋk)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
aggastyán,https://hu.wiktionary.org/wiki/aggastyán#Magyar,https://en.wiktionary.org/wiki/aggastyán#Hungarian,ɒɡːɒʃcaːn,antediluvian,0,-,n,1536,no_info,no_info,no_info,no_info,from proper noun,-,certain,"('antediluvian', 'adornment')",0.31227758,0.4637277420000001,"ɡː, c not old"
aggódik,https://hu.wiktionary.org/wiki/aggódik#Magyar,https://en.wiktionary.org/wiki/aggódik#Hungarian,ɒɡːoːdik,"anguish, be_uncomfortable, be_worried, distress_oneself, dread, fear, feel_uncomfortable, trouble, worry",0,-,v,1578,no_info,no_info,no_info,no_info,derivative,-,certain,"('fear', 'fear')",0.120879121,1.0,ɡː not old
agitál,https://hu.wiktionary.org/wiki/agitál#Magyar,https://en.wiktionary.org/wiki/agitál#Hungarian,ɒɡitaːl,agitate,0,-,v,1589,IE,Romance,Latin,no_info,general,+,certain,"('agitate', 'perspire')",0.147959184,0.5577400920000001,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(ŋ|ŋk)(ɑ|ȣ|i|e|ͽ|o)(j|tt|kt)(ɑ|ȣ|ͽ|o|u|e)(l|ð|lk|w|lw|m)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
agy,https://hu.wiktionary.org/wiki/agy#Magyar,https://en.wiktionary.org/wiki/agy#Hungarian,ɒɟ,"brain, seat_of_learning, upper_story",0,-,n,1230,FU,no_info,no_info,no_info,no_info,-,uncertain,"('brain', 'brain')",0.132432432,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nʲt͡ʃʲ|ðʲ|t͡ʃ|lʲ|ðʲk|lj)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ágy,https://hu.wiktionary.org/wiki/ágy#Magyar,https://en.wiktionary.org/wiki/ágy#Hungarian,aːɟ,"bed, berth, doss, kip, sack",0,-,n,1372,FU,no_info,no_info,no_info,no_info,-,certain,"('bed', 'bed')",0.386138614,0.99999994,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nʲt͡ʃʲ|ðʲ|t͡ʃ|lʲ|ðʲk|lj)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
agyafúrt,https://hu.wiktionary.org/wiki/agyafúrt#Magyar,https://en.wiktionary.org/wiki/agyafúrt#Hungarian,ɒɟɒfuːrt,"acute, astute, coony, cute, fly, foxy, leery, out_and_out, sharp, shrewd, smart, tricksy, tricky, vulpine",0,-,a,1538,no_info,no_info,no_info,no_info,no_info,-,certain,"('fly', 'fly')",0.131140716,1.0,f not old
agyag,https://hu.wiktionary.org/wiki/agyag#Magyar,https://en.wiktionary.org/wiki/agyag#Hungarian,ɒɟɒɡ,"clay, loam",0,-,n,1395,unknown,unknown,unknown,unknown,unknown,+,certain,"('clay', 'clay')",0.099118943,0.99999994,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nʲt͡ʃʲ|j|ðʲ|lj|l|n|t͡ʃʲ)(ɑ|ͽ|u|o|ȣ|e|æ)(ŋ|ŋk)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
agyar,https://hu.wiktionary.org/wiki/agyar#Magyar,https://en.wiktionary.org/wiki/agyar#Hungarian,ɒɟɒr,"fang, tusk",0,-,n,1456,FU,no_info,no_info,no_info,no_info,-,certain,"('fang', 'chin')",0.060240964,0.6969977620000001,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nʲt͡ʃʲ|j|ðʲ|lj|l|n|t͡ʃʲ)(ɑ|ͽ|u|o|ȣ|e|æ)(r|rw|rk|ɣ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ágyék,https://hu.wiktionary.org/wiki/ágyék#Magyar,https://en.wiktionary.org/wiki/ágyék#Hungarian,aːɟeːk,"groin, loin",0,-,n,1490,Ug,no_info,no_info,no_info,no_info,-,certain,"('groin', 'ankle')",0.112359551,0.930055737,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nʲt͡ʃʲ|j|ðʲ|lj|l|n|t͡ʃʲ)(e|æ|ͽ|ɑ|i|ȣ|o|ȣ̈)(kk|wkk|k|tt)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
agyon,https://hu.wiktionary.org/wiki/agyon#Magyar,https://en.wiktionary.org/wiki/agyon#Hungarian,ɒɟon,death,0,-,r,1551,no_info,no_info,no_info,no_info,change of part of speech,-,certain,"('death', 'murder')",0.140425532,0.782371402,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nʲt͡ʃʲ|j|ðʲ|lj|l|n|t͡ʃʲ)(u|ͽ|ɑ|o|ȣ|i|e)(n|j|ln|wn)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ágyú,https://hu.wiktionary.org/wiki/ágyú#Magyar,https://en.wiktionary.org/wiki/ágyú#Hungarian,aːɟuː,"cannon, gun",0,-,n,1456,Turkic,no_info,no_info,no_info,no_info,+,uncertain,"('gun', 'gun')",0.590909091,1.000000119,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(nʲt͡ʃʲ|j|ðʲ|lj|l|n|t͡ʃʲ)(ͽ|ȣ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ah,https://hu.wiktionary.org/wiki/ah#Magyar,https://en.wiktionary.org/wiki/ah#Hungarian,ɒh,ah,0,-,r,1519,no_info,no_info,no_info,no_info,no_info,-,certain,"('ah', 'bee')",0.13983050800000002,0.549065351,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(n|kʃ|kl)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
aha,https://hu.wiktionary.org/wiki/aha#Magyar,https://en.wiktionary.org/wiki/aha#Hungarian,ɒhɒ,"yep, yup",0,-,v,1536,no_info,no_info,no_info,no_info,no_info,-,certain,"('yup', 'shit')",0.14953271,0.521256566,h not old
áhít,https://hu.wiktionary.org/wiki/áhít#Magyar,https://en.wiktionary.org/wiki/áhít#Hungarian,aːhiːt,wish,0,-,a,1416,no_info,no_info,no_info,no_info,no_info,-,certain,"('wish', 'hope')",0.244493392,0.864476502,h not old
ahol,https://hu.wiktionary.org/wiki/ahol#Magyar,https://en.wiktionary.org/wiki/ahol#Hungarian,ɒhol,"whereabout, whereabouts",0,-,r,1515,no_info,no_info,no_info,no_info,no_info,-,certain,"('whereabouts', 'suspect')",0.388157895,0.705491722,h not old
aj,https://hu.wiktionary.org/wiki/aj#Magyar,https://en.wiktionary.org/wiki/aj#Hungarian,ɒj,opening,1,-,n,1224,U,no_info,no_info,no_info,no_info,-,certain,"('opening', 'round')",0.181985294,0.844451189,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(j|w|l|ŋ|ks|k|ŋs|ðʲ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ajak,https://hu.wiktionary.org/wiki/ajak#Magyar,https://en.wiktionary.org/wiki/ajak#Hungarian,ɒjɒk,lip,0,-,n,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('lip', 'lip')",0.082105263,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(j|lʲw)(ɑ|ͽ|u|o|ȣ|e|æ)(kk|wkk|k|tt)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ajándék,https://hu.wiktionary.org/wiki/ajándék#Magyar,https://en.wiktionary.org/wiki/ajándék#Hungarian,ɒjaːndeːk,"donation, gift, offering, present, presentation, souvenir, testimonial",0,-,n,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('present', 'same')",0.114942529,0.858571231,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(j|lʲw)(ɑ|ȣ|ͽ|o|u|e)(n)(nt|w|j)(e|æ|ͽ|ɑ|i|ȣ|o|ȣ̈)(kk|wkk|k|tt)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ajánl,https://hu.wiktionary.org/wiki/ajánl#Magyar,https://en.wiktionary.org/wiki/ajánl#Hungarian,ɒjaːnl,"advise, bid, bade, bidden, bid, bid, commend, counsel, dedicate, exhort, name, nominate, offer, proffer, propose, put_up, recommend, suggest",0,-,v,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('name', 'name')",0.085227273,0.99999994,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(j|lʲw)(ɑ|ȣ|ͽ|o|u|e)(n)(l|ð|lk|w|lw|m)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ájer,https://hu.wiktionary.org/wiki/ájer#Magyar,https://en.wiktionary.org/wiki/ájer#Hungarian,aːjɛr,air,0,-,n,1565,IE,Romance,Latin,no_info,general,+,certain,"('air', 'air')",0.475728155,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(j|lʲw)(æ|e|ͽ|ȣ̈|i|ɑ|o)(r|rw|rk|ɣ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ájtatos,https://hu.wiktionary.org/wiki/ájtatos#Magyar,https://en.wiktionary.org/wiki/ájtatos#Hungarian,aːjtɒtoʃ,"devout, godly, religious",0,-,a,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('religious', 'religion')",0.6466666670000001,0.857880592,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(j|lʲw)(j|tt|kt)(ɑ|ͽ|u|o|ȣ|e|æ)(j|tt|kt)(u|ͽ|ɑ|o|ȣ|i|e)(t͡ʃʲ|t͡ʃ|ʃʲk|ŋt͡ʃʲ|t͡ʃʲk)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ajtó,https://hu.wiktionary.org/wiki/ajtó#Magyar,https://en.wiktionary.org/wiki/ajtó#Hungarian,ɒjtoː,door,0,-,n,1372,no_info,no_info,no_info,no_info,change of part of speech,-,certain,"('door', 'door')",0.226744186,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(j|lʲw)(j|tt|kt)(ͽ|o|u|ɑ|e)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ajtófél,https://hu.wiktionary.org/wiki/ajtófél#Magyar,https://en.wiktionary.org/wiki/ajtófél#Hungarian,ɒjtoːfeːl,door,0,-,n,1512,no_info,no_info,no_info,no_info,no_info,-,certain,"('door', 'door')",0.226744186,1.0,f not old
ájul,https://hu.wiktionary.org/wiki/ájul#Magyar,https://en.wiktionary.org/wiki/ájul#Hungarian,aːjul,collapse,0,-,a,1559,no_info,no_info,no_info,no_info,no_info,-,certain,"('collapse', 'blow')",0.037790698,0.690750182,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(j|lʲw)(u|ͽ)(l|ð|lk|w|lw|m)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ajz,https://hu.wiktionary.org/wiki/ajz#Magyar,https://en.wiktionary.org/wiki/ajz#Hungarian,ɒjz,"(transitive, archery) to draw (to pull back the bowstring and its arrow in preparation for shooting)",0,-,r,1552,no_info,no_info,no_info,no_info,derivative,-,certain,(),0.0,-1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(j|lʲw)(t|t͡ʃʲ|p|k|ɣ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
akad,https://hu.wiktionary.org/wiki/akad#Magyar,https://en.wiktionary.org/wiki/akad#Hungarian,ɒkɒd,"jam, occur, stick, stuck",0,-,v,1456,Ug,no_info,no_info,no_info,no_info,-,certain,"('stuck', 'back')",0.081920904,0.79502219,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(kk|wkk)(ɑ|ͽ|u|o|ȣ|e|æ)(nt|mt)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
