L2_orth,L2_link,L2_latin,L2_ipa,L2_en,L2_pos,L2_in,hm1_strT_vhT_onlyF,hm20_strT_vhT_onlyF
𐌰𐌲𐌻𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌹𐌸𐌰#Gothic,agliþa,aɣlɪθa,tribulation,n,aɣlɪθa,ͽɣlͽt͡ʃͽ,"ͽɣlͽt͡ʃͽ, ͽɣlͽsͽ, ͽɣlͽtͽ, ͽɣlȣ̈t͡ʃͽ, ͽɣlȣ̈sͽ, ͽɣlȣ̈tͽ, ͽɣlit͡ʃͽ, ͽɣlisͽ, ͽɣlitͽ, ȣ̈ɣlͽt͡ʃȣ̈, ȣ̈ɣlͽsȣ̈, ȣ̈ɣlͽtȣ̈, ȣ̈ɣlȣ̈t͡ʃȣ̈, ȣ̈ɣlȣ̈sȣ̈, ȣ̈ɣlȣ̈tȣ̈, ȣ̈ɣlit͡ʃȣ̈, ȣ̈ɣlisȣ̈, ȣ̈ɣlitȣ̈, ɑɣlͽt͡ʃɑ, ɑɣlͽsɑ, ɑɣlͽtɑ, ɑɣlȣ̈t͡ʃɑ, ɑɣlȣ̈sɑ, ɑɣlȣ̈tɑ, ɑɣlit͡ʃɑ, ɑɣlisɑ, ɑɣlitɑ"
𐌰𐌲𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌾𐌰𐌽#Gothic,agljan,aɣl̥jan,"hurt, injure, damage",v,aɣl̥j,ͽɣlͽjͽnͽ,"ͽɣlͽjͽnͽ, ͽɣlejͽne, ͽɣlɑjͽnɑ, ͽɣlæjͽnæ, ͽɣlujͽnu, ȣ̈ɣlͽjȣ̈nͽ, ȣ̈ɣlejȣ̈ne, ȣ̈ɣlɑjȣ̈nɑ, ȣ̈ɣlæjȣ̈næ, ȣ̈ɣlujȣ̈nu, ɑɣlͽjɑnͽ, ɑɣlejɑne, ɑɣlɑjɑnɑ, ɑɣlæjɑnæ, ɑɣlujɑnu, æɣlͽjænͽ, æɣlejæne, æɣlɑjænɑ, æɣlæjænæ, æɣlujænu"
𐌰𐌲𐌻𐌿𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌿𐌱𐌰#Gothic,agluba,aɣluβa,with_difficulty,r,aɣluβa,ͽɣlͽwͽ,"ͽɣlͽwͽ, ͽɣlewͽ, ͽɣlæwͽ, ͽɣliwͽ, ͽɣlȣ̈wͽ, ȣ̈ɣlͽwȣ̈, ȣ̈ɣlewȣ̈, ȣ̈ɣlæwȣ̈, ȣ̈ɣliwȣ̈, ȣ̈ɣlȣ̈wȣ̈, ɑɣlͽwɑ, ɑɣlewɑ, ɑɣlæwɑ, ɑɣliwɑ, ɑɣlȣ̈wɑ, æɣlͽwæ, æɣlewæ, æɣlæwæ, æɣliwæ, æɣlȣ̈wæ"
𐌰𐌲𐌻𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌿𐍃#Gothic,aglus,aɣlus,difficult,a,aɣlus,ͽɣlͽsͽ,"ͽɣlͽsͽ, ͽɣlͽse, ͽɣlͽsɑ, ͽɣlȣsͽ, ͽɣlȣse, ͽɣlȣsɑ, ͽɣlusͽ, ͽɣluse, ͽɣlusɑ, ɑɣlͽsͽ, ɑɣlͽse, ɑɣlͽsɑ, ɑɣlȣsͽ, ɑɣlȣse, ɑɣlȣsɑ, ɑɣlusͽ, ɑɣluse, ɑɣlusɑ, uɣlͽsͽ, uɣlͽse, uɣlͽsɑ, uɣlȣsͽ, uɣlȣse, uɣlȣsɑ, uɣlusͽ, uɣluse, uɣlusɑ"
𐌰𐌲𐌻𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐍃#Gothic,agls,aɣl̥s,"shameful, humiliating",a,aɣl̥s,ͽɣlsͽ,"ͽɣlsͽ, ͽɣlse, ͽɣlsɑ, ͽɣlsæ, ͽɣlsu, ȣ̈ɣlsͽ, ȣ̈ɣlse, ȣ̈ɣlsɑ, ȣ̈ɣlsæ, ȣ̈ɣlsu, ɑɣlsͽ, ɑɣlse, ɑɣlsɑ, ɑɣlsæ, ɑɣlsu, æɣlsͽ, æɣlse, æɣlsɑ, æɣlsæ, æɣlsu"
𐌰𐌲𐌻𐍉,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐍉#Gothic,aglō,aɣlo,"trouble, tribulation, suffering, anguish",n,aɣlo,ͽɣlͽ,"ͽɣlͽ, ͽɣlȣ, ͽɣlo, ɑɣlͽ, ɑɣlȣ, ɑɣlo, uɣlͽ, uɣlȣ, uɣlo, oɣlͽ, oɣlȣ, oɣlo, ȣɣlͽ, ȣɣlȣ, ȣɣlo, ɤ,ɣlͽ, ɤ,ɣlȣ, ɤ,ɣlo"
𐌰𐌲𐌾𐌰𐌽,https://en.wiktionary.org/wiki/Reconstruction:Gothic/𐌰𐌲𐌾𐌰𐌽#Gothic,agjan,aɣjan,"frighten, worry",v,aɣj,ͽɣjͽnͽ,"ͽɣjͽnͽ, ͽɣjͽne, ͽɣjͽnɑ, ͽɣjͽnæ, ͽɣjͽnu, ȣ̈ɣjȣ̈nͽ, ȣ̈ɣjȣ̈ne, ȣ̈ɣjȣ̈nɑ, ȣ̈ɣjȣ̈næ, ȣ̈ɣjȣ̈nu, ɑɣjɑnͽ, ɑɣjɑne, ɑɣjɑnɑ, ɑɣjɑnæ, ɑɣjɑnu, æɣjænͽ, æɣjæne, æɣjænɑ, æɣjænæ, æɣjænu"
𐌰𐌲𐌿𐍃𐍄𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌿𐍃𐍄𐌿𐍃#Gothic,agustus,aɣustus,"Augustus, , Roman_emperor",n,aɣustus,ɣͽstͽsͽ,"ɣͽstͽsͽ, ɣͽstͽse, ɣͽstͽsɑ, ɣͽstͽsæ, ɣͽstͽsu, ɣͽstͽso, ɣͽstͽsi, ɣȣstȣsͽ, ɣȣstȣse, ɣȣstȣsɑ, ɣȣstȣsæ, ɣȣstȣsu, ɣȣstȣso, ɣȣstȣsi, ɣustusͽ, ɣustuse, ɣustusɑ, ɣustusæ, ɣustusu, ɣustuso, ɣustusi"
-𐌰𐌲𐍃,https://en.wiktionary.org/wiki/-𐌰𐌲𐍃#Gothic,-ags,aɣs,,r,aɣs,ͽɣsͽ,"ͽɣsͽ, ͽɣse, ͽɣsɑ, ͽɣsæ, ͽɣsu, ȣ̈ɣsͽ, ȣ̈ɣse, ȣ̈ɣsɑ, ȣ̈ɣsæ, ȣ̈ɣsu, ɑɣsͽ, ɑɣse, ɑɣsɑ, ɑɣsæ, ɑɣsu, æɣsͽ, æɣse, æɣsɑ, æɣsæ, æɣsu"
𐌰𐌵𐌹𐌶𐌹,https://en.wiktionary.org/wiki/𐌰𐌵𐌹𐌶𐌹#Gothic,aqizi,akʷɪzɪ,axe,n,akʷɪzɪ,ͽkͽðͽ,"ͽkͽðͽ, ͽkͽsͽ, ͽkȣ̈ðȣ̈, ͽkȣ̈sȣ̈, ͽwͽðͽ, ͽwͽsͽ, ͽwȣ̈ðȣ̈, ͽwȣ̈sȣ̈, ȣ̈kͽðͽ, ȣ̈kͽsͽ, ȣ̈kȣ̈ðȣ̈, ȣ̈kȣ̈sȣ̈, ȣ̈wͽðͽ, ȣ̈wͽsͽ, ȣ̈wȣ̈ðȣ̈, ȣ̈wȣ̈sȣ̈, ɑkͽðͽ, ɑkͽsͽ, ɑkȣ̈ðȣ̈, ɑkȣ̈sȣ̈, ɑwͽðͽ, ɑwͽsͽ, ɑwȣ̈ðȣ̈, ɑwȣ̈sȣ̈"
𐌰𐌶𐌲𐍉,https://en.wiktionary.org/wiki/𐌰𐌶𐌲𐍉#Gothic,azgō,azɡo,ash,n,azɡo,ͽðɣͽ,"ͽðɣͽ, ͽðɣȣ, ͽðkͽ, ͽðkȣ, ͽsɣͽ, ͽsɣȣ, ͽskͽ, ͽskȣ, ɑðɣͽ, ɑðɣȣ, ɑðkͽ, ɑðkȣ, ɑsɣͽ, ɑsɣȣ, ɑskͽ, ɑskȣ, uðɣͽ, uðɣȣ, uðkͽ, uðkȣ, usɣͽ, usɣȣ, uskͽ, uskȣ"
𐌰𐌶𐌴𐍄𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌶𐌴𐍄𐌰𐌱𐌰#Gothic,azētaba,azetaβa,easily,r,azetaβa,ͽðwͽtͽwͽ,"ͽðwͽtͽwͽ, ͽðwȣ̈tͽwͽ, ͽðjͽtͽwͽ, ͽðjȣ̈tͽwͽ, ͽswͽtͽwͽ, ͽswȣ̈tͽwͽ, ͽsjͽtͽwͽ, ͽsjȣ̈tͽwͽ, ȣ̈ðwͽtȣ̈wȣ̈, ȣ̈ðwȣ̈tȣ̈wȣ̈, ȣ̈ðjͽtȣ̈wȣ̈, ȣ̈ðjȣ̈tȣ̈wȣ̈, ȣ̈swͽtȣ̈wȣ̈, ȣ̈swȣ̈tȣ̈wȣ̈, ȣ̈sjͽtȣ̈wȣ̈, ȣ̈sjȣ̈tȣ̈wȣ̈, ɑðwͽtɑwɑ, ɑðwȣ̈tɑwɑ, ɑðjͽtɑwɑ, ɑðjȣ̈tɑwɑ, ɑswͽtɑwɑ, ɑswȣ̈tɑwɑ, ɑsjͽtɑwɑ, ɑsjȣ̈tɑwɑ"
𐌰𐌶𐌴𐍄𐌹,https://en.wiktionary.org/wiki/𐌰𐌶𐌴𐍄𐌹#Gothic,azēti,azetɪ,"ease, comfort",n,azetɪ,ͽðͽtͽ,"ͽðͽtͽ, ͽðͽtȣ̈, ͽðȣ̈tͽ, ͽðȣ̈tȣ̈, ͽsͽtͽ, ͽsͽtȣ̈, ͽsȣ̈tͽ, ͽsȣ̈tȣ̈, ȣ̈ðͽtͽ, ȣ̈ðͽtȣ̈, ȣ̈ðȣ̈tͽ, ȣ̈ðȣ̈tȣ̈, ȣ̈sͽtͽ, ȣ̈sͽtȣ̈, ȣ̈sȣ̈tͽ, ȣ̈sȣ̈tȣ̈, ɑðͽtͽ, ɑðͽtȣ̈, ɑðȣ̈tͽ, ɑðȣ̈tȣ̈, ɑsͽtͽ, ɑsͽtȣ̈, ɑsȣ̈tͽ, ɑsȣ̈tȣ̈"
𐌰𐌶𐌴𐍄𐍃,https://en.wiktionary.org/wiki/Reconstruction:Gothic/𐌰𐌶𐌴𐍄𐍃#Gothic,azēts,azets,,r,azets,wͽðͽts,"wͽðͽts, wͽðȣ̈ts, wͽsͽts, wͽsȣ̈ts, wȣ̈ðͽts, wȣ̈ðȣ̈ts, wȣ̈sͽts, wȣ̈sȣ̈ts, jͽðͽts, jͽðȣ̈ts, jͽsͽts, jͽsȣ̈ts, jȣ̈ðͽts, jȣ̈ðȣ̈ts, jȣ̈sͽts, jȣ̈sȣ̈ts, kͽðͽts, kͽðȣ̈ts, kͽsͽts, kͽsȣ̈ts, kȣ̈ðͽts, kȣ̈ðȣ̈ts, kȣ̈sͽts, kȣ̈sȣ̈ts"
𐌰𐌶𐍅𐌼𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌶𐍅𐌼𐌿𐍃#Gothic,azwmus,azwmus,,r,azwmus,ͽðwͽmͽsͽ,"ͽðwͽmͽsͽ, ͽðwͽmȣsͽ, ͽðwemͽse, ͽðwemȣse, ͽswͽmͽsͽ, ͽswͽmȣsͽ, ͽswemͽse, ͽswemȣse, ɑðwͽmͽsͽ, ɑðwͽmȣsͽ, ɑðwemͽse, ɑðwemȣse, ɑswͽmͽsͽ, ɑswͽmȣsͽ, ɑswemͽse, ɑswemȣse, uðwͽmͽsͽ, uðwͽmȣsͽ, uðwemͽse, uðwemȣse, uswͽmͽsͽ, uswͽmȣsͽ, uswemͽse, uswemȣse"
𐌰𐌷𐌰,https://en.wiktionary.org/wiki/𐌰𐌷𐌰#Gothic,aha,aha,"mind, reason",n,aha,ͽɣͽ,"ͽɣͽ, ͽkͽ, ͽjͽ, ȣ̈ɣȣ̈, ȣ̈kȣ̈, ȣ̈jȣ̈, ɑɣɑ, ɑkɑ, ɑjɑ, æɣæ, ækæ, æjæ"
