L2_orth,L2_latin,L2_en,L2_link,L2_ipa,L2_occurences,L2_certainty,L2_reconstructedness,L2_pos,hm1_strT_vhT_onlyF,hm20_strT_vhT_onlyF
𐌰𐍆𐌰𐌲𐌾𐌰𐌽,afagjan,"worry, scare, scare_away, frighten, frighten_off, daunt",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸaɣj,2,certain,form,"V., v",wͽwͽɣj,"wͽwͽɣj, wȣ̈wȣ̈ɣj, wɑwɑɣj, wæwæɣj, jͽwͽɣj, jȣ̈wȣ̈ɣj, jɑwɑɣj, jæwæɣj, kͽwͽɣj, kȣ̈wȣ̈ɣj, kɑwɑɣj, kæwæɣj, pͽwͽɣj, pȣ̈wȣ̈ɣj, pɑwɑɣj, pæwæɣj, tͽwͽɣj, tȣ̈wȣ̈ɣj, tɑwɑɣj, tæwæɣj"
𐌰𐍆𐌰𐌹𐌺𐌰𐌽,afaikan,"deny, abjure, disavow, forswear, renounce",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸɛk,13,certain,not_reconstructed,"V., v",ͽwͽkͽ,"ͽwͽkͽ, ͽwͽke, ͽwͽkɑ, ͽwȣ̈kͽ, ͽwȣ̈ke, ͽwȣ̈kɑ, ͽwekͽ, ͽweke, ͽwekɑ, ȣ̈wͽkͽ, ȣ̈wͽke, ȣ̈wͽkɑ, ȣ̈wȣ̈kͽ, ȣ̈wȣ̈ke, ȣ̈wȣ̈kɑ, ȣ̈wekͽ, ȣ̈weke, ȣ̈wekɑ, ɑwͽkͽ, ɑwͽke, ɑwͽkɑ, ɑwȣ̈kͽ, ɑwȣ̈ke, ɑwȣ̈kɑ, ɑwekͽ, ɑweke, ɑwekɑ"
𐌰𐍆𐌰𐌹𐍂𐌶𐌾𐌰𐌽,afaírzjan,"deceive, lead_astray, misguide",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸɛrzj,6,certain,not_reconstructed,"V., v",wͽrðjͽ,"wͽrðjͽ, wͽrðje, wͽrðjɑ, wͽrsjͽ, wͽrsje, wͽrsjɑ, wȣ̈rðjͽ, wȣ̈rðje, wȣ̈rðjɑ, wȣ̈rsjͽ, wȣ̈rsje, wȣ̈rsjɑ, werðjͽ, werðje, werðjɑ, wersjͽ, wersje, wersjɑ, wærðjͽ, wærðje, wærðjɑ, wærsjͽ, wærsje, wærsjɑ"
𐌰𐍆𐌰𐍂,afar,"after, subsequent_to, in_pursuit_of, following, in_pursuance_of, in_accordance_w>>>",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸar,77,certain,not_reconstructed,"Präp., V., Sb., rvn",ͽwͽrͽ,"ͽwͽrͽ, ͽwͽre, ͽwͽrɑ, ͽwͽræ, ͽwͽru, ȣ̈wȣ̈rͽ, ȣ̈wȣ̈re, ȣ̈wȣ̈rɑ, ȣ̈wȣ̈ræ, ȣ̈wȣ̈ru, ɑwɑrͽ, ɑwɑre, ɑwɑrɑ, ɑwɑræ, ɑwɑru, æwærͽ, æwære, æwærɑ, æwæræ, æwæru"
𐌰𐍆𐌰𐍂𐌰,afara,descendant,https://koeblergerhard.de/wikiling/?f=got&page=1,aɸara,1,certain,form,"M., n",ͽwͽrͽ,"ͽwͽrͽ, ȣ̈wȣ̈rȣ̈, ɑwɑrɑ, æwæræ"
𐌰𐍆𐌰𐍂𐌳𐌰𐌲𐍃,afardags,"morrow, next_day, day_after",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸardaɣs,1,certain,form,"M., n",wͽrðͽɣsͽ,"wͽrðͽɣsͽ, wͽrðͽɣse, wͽrðͽɣsɑ, wͽrtͽɣsͽ, wͽrtͽɣse, wͽrtͽɣsɑ, wȣ̈rðȣ̈ɣsͽ, wȣ̈rðȣ̈ɣse, wȣ̈rðȣ̈ɣsɑ, wȣ̈rtȣ̈ɣsͽ, wȣ̈rtȣ̈ɣse, wȣ̈rtȣ̈ɣsɑ, wɑrðɑɣsͽ, wɑrðɑɣse, wɑrðɑɣsɑ, wɑrtɑɣsͽ, wɑrtɑɣse, wɑrtɑɣsɑ, wærðæɣsͽ, wærðæɣse, wærðæɣsɑ, wærtæɣsͽ, wærtæɣse, wærtæɣsɑ"
𐌰𐍆𐌿𐍂𐌳𐌰𐌲𐍃,afurdags,"morrow, next_day, day_after",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸurdaɣs,0,certain,form,"M., n",wͽrðͽɣsͽ,"wͽrðͽɣsͽ, wͽrðͽɣse, wͽrðɑɣsͽ, wͽrðɑɣse, wͽrtͽɣsͽ, wͽrtͽɣse, wͽrtɑɣsͽ, wͽrtɑɣse, wȣrðͽɣsͽ, wȣrðͽɣse, wȣrðɑɣsͽ, wȣrðɑɣse, wȣrtͽɣsͽ, wȣrtͽɣse, wȣrtɑɣsͽ, wȣrtɑɣse, wurðͽɣsͽ, wurðͽɣse, wurðɑɣsͽ, wurðɑɣse, wurtͽɣsͽ, wurtͽɣse, wurtɑɣsͽ, wurtɑɣse"
𐌰𐍆𐌰𐍂𐌲𐌰𐌲𐌲𐌰𐌽,afargaggan,"go_after, follow, accompany",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸarɡaŋɡ,7,certain,not_reconstructed,"V., v",wͽrɣͽŋɣͽ,"wͽrɣͽŋɣͽ, wͽrɣͽŋɣe, wͽrɣͽŋɣɑ, wͽrkͽŋkͽ, wͽrkͽŋke, wͽrkͽŋkɑ, wͽrŋͽŋŋͽ, wͽrŋͽŋŋe, wͽrŋͽŋŋɑ, wȣ̈rɣȣ̈ŋɣͽ, wȣ̈rɣȣ̈ŋɣe, wȣ̈rɣȣ̈ŋɣɑ, wȣ̈rkȣ̈ŋkͽ, wȣ̈rkȣ̈ŋke, wȣ̈rkȣ̈ŋkɑ, wȣ̈rŋȣ̈ŋŋͽ, wȣ̈rŋȣ̈ŋŋe, wȣ̈rŋȣ̈ŋŋɑ, wɑrɣɑŋɣͽ, wɑrɣɑŋɣe, wɑrɣɑŋɣɑ, wɑrkɑŋkͽ, wɑrkɑŋke, wɑrkɑŋkɑ, wɑrŋɑŋŋͽ, wɑrŋɑŋŋe, wɑrŋɑŋŋɑ"
𐌰𐍆𐌰𐍂𐌻𐌰𐌹𐍃𐍄𐌾𐌰𐌽,afarlaistjan,"follow_after, follow, pursue, trail",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸarlɛstj,6,certain,form,"V., v",wͽrlͽstͽ,"wͽrlͽstͽ, wͽrlͽste, wͽrlͽstɑ, wͽrlȣ̈stͽ, wͽrlȣ̈ste, wͽrlȣ̈stɑ, wͽrlestͽ, wͽrleste, wͽrlestɑ, wȣ̈rlͽstͽ, wȣ̈rlͽste, wȣ̈rlͽstɑ, wȣ̈rlȣ̈stͽ, wȣ̈rlȣ̈ste, wȣ̈rlȣ̈stɑ, wȣ̈rlestͽ, wȣ̈rleste, wȣ̈rlestɑ, wɑrlͽstͽ, wɑrlͽste, wɑrlͽstɑ, wɑrlȣ̈stͽ, wɑrlȣ̈ste, wɑrlȣ̈stɑ, wɑrlestͽ, wɑrleste, wɑrlestɑ"
𐌰𐍆𐌰𐍂𐍃𐌰𐌱𐌱𐌰𐍄e,afarsabbate,postsabbath_period,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸarsabbate,1,certain,form,"M., n",wͽrsͽptͽ,"wͽrsͽptͽ, wͽrsͽptȣ̈, wͽrsͽpte, wͽrsͽwtͽ, wͽrsͽwtȣ̈, wͽrsͽwte, wȣ̈rsȣ̈ptͽ, wȣ̈rsȣ̈ptȣ̈, wȣ̈rsȣ̈pte, wȣ̈rsȣ̈wtͽ, wȣ̈rsȣ̈wtȣ̈, wȣ̈rsȣ̈wte, wɑrsɑptͽ, wɑrsɑptȣ̈, wɑrsɑpte, wɑrsɑwtͽ, wɑrsɑwtȣ̈, wɑrsɑwte, wærsæptͽ, wærsæptȣ̈, wærsæpte, wærsæwtͽ, wærsæwtȣ̈, wærsæwte"
𐌰𐍆𐌰𐍂𐌿𐌸𐌸𐌰𐌽,afaruþþan,after,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸaruθθan,2,certain,not_reconstructed,"Präp., r",wͽrͽt͡ʃt͡ʃͽ,"wͽrͽt͡ʃt͡ʃͽ, wͽrͽssͽ, wͽrͽttͽ, wͽret͡ʃt͡ʃͽ, wͽressͽ, wͽrettͽ, wͽræt͡ʃt͡ʃͽ, wͽræssͽ, wͽrættͽ, wȣ̈rͽt͡ʃt͡ʃȣ̈, wȣ̈rͽssȣ̈, wȣ̈rͽttȣ̈, wȣ̈ret͡ʃt͡ʃȣ̈, wȣ̈ressȣ̈, wȣ̈rettȣ̈, wȣ̈ræt͡ʃt͡ʃȣ̈, wȣ̈ræssȣ̈, wȣ̈rættȣ̈, wɑrͽt͡ʃt͡ʃɑ, wɑrͽssɑ, wɑrͽttɑ, wɑret͡ʃt͡ʃɑ, wɑressɑ, wɑrettɑ, wɑræt͡ʃt͡ʃɑ, wɑræssɑ, wɑrættɑ"
𐌰𐍆𐌱𐌻𐌹𐌽𐌳𐌽𐌰𐌽,afblindnan,"become_blind, loseone’s_sight",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸblɪndn,1,certain,form,"V., v",wͽplͽnðͽ,"wͽplͽnðͽ, wͽplͽntͽ, wͽplȣ̈nðͽ, wͽplȣ̈ntͽ, wͽwlͽnðͽ, wͽwlͽntͽ, wͽwlȣ̈nðͽ, wͽwlȣ̈ntͽ, weplͽnðe, weplͽnte, weplȣ̈nðe, weplȣ̈nte, wewlͽnðe, wewlͽnte, wewlȣ̈nðe, wewlȣ̈nte, jͽplͽnðͽ, jͽplͽntͽ, jͽplȣ̈nðͽ, jͽplȣ̈ntͽ, jͽwlͽnðͽ, jͽwlͽntͽ, jͽwlȣ̈nðͽ, jͽwlȣ̈ntͽ, jeplͽnðe, jeplͽnte, jeplȣ̈nðe, jeplȣ̈nte, jewlͽnðe, jewlͽnte, jewlȣ̈nðe, jewlȣ̈nte"
𐌰𐍆𐌳𐌰𐌹𐌻𐌾𐌰𐌽,afdailjan,"portion_out, give_tithes, apportion_from, parcel_out_from",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdɛlj,1,certain,form,"V., v",wͽwðͽljͽ,"wͽwðͽljͽ, wͽwðͽlje, wͽwðȣ̈ljͽ, wͽwðȣ̈lje, wͽwtͽljͽ, wͽwtͽlje, wͽwtȣ̈ljͽ, wͽwtȣ̈lje, wȣ̈wðͽljͽ, wȣ̈wðͽlje, wȣ̈wðȣ̈ljͽ, wȣ̈wðȣ̈lje, wȣ̈wtͽljͽ, wȣ̈wtͽlje, wȣ̈wtȣ̈ljͽ, wȣ̈wtȣ̈lje, jͽwðͽljͽ, jͽwðͽlje, jͽwðȣ̈ljͽ, jͽwðȣ̈lje, jͽwtͽljͽ, jͽwtͽlje, jͽwtȣ̈ljͽ, jͽwtȣ̈lje, jȣ̈wðͽljͽ, jȣ̈wðͽlje, jȣ̈wðȣ̈ljͽ, jȣ̈wðȣ̈lje, jȣ̈wtͽljͽ, jȣ̈wtͽlje, jȣ̈wtȣ̈ljͽ, jȣ̈wtȣ̈lje"
𐌰𐍆𐌳𐌰𐌿𐌱𐌽𐌰𐌽,afdaubnan,"grow_insensitive, become_numb, become_hardened",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdɔβn,1,certain,form,"V., v",wͽwðͽwnͽ,"wͽwðͽwnͽ, wͽwðͽwne, wͽwðȣwnͽ, wͽwðȣwne, wͽwtͽwnͽ, wͽwtͽwne, wͽwtȣwnͽ, wͽwtȣwne, wɑwðͽwnͽ, wɑwðͽwne, wɑwðȣwnͽ, wɑwðȣwne, wɑwtͽwnͽ, wɑwtͽwne, wɑwtȣwnͽ, wɑwtȣwne, jͽwðͽwnͽ, jͽwðͽwne, jͽwðȣwnͽ, jͽwðȣwne, jͽwtͽwnͽ, jͽwtͽwne, jͽwtȣwnͽ, jͽwtȣwne, jɑwðͽwnͽ, jɑwðͽwne, jɑwðȣwnͽ, jɑwðȣwne, jɑwtͽwnͽ, jɑwtͽwne, jɑwtȣwnͽ, jɑwtȣwne"
𐌰𐍆𐌳𐌰𐌿𐌹𐌸𐍃,afdáuiþs,"troubled, annoyed, harried, harrassed, worn_out",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdɔɪθs,1,certain,form,"V., Adj., va",wͽwðͽwt͡ʃͽ,"wͽwðͽwt͡ʃͽ, wͽwðͽwsͽ, wͽwðȣwt͡ʃͽ, wͽwðȣwsͽ, wͽwtͽwt͡ʃͽ, wͽwtͽwsͽ, wͽwtȣwt͡ʃͽ, wͽwtȣwsͽ, wɑwðͽwt͡ʃͽ, wɑwðͽwsͽ, wɑwðȣwt͡ʃͽ, wɑwðȣwsͽ, wɑwtͽwt͡ʃͽ, wɑwtͽwsͽ, wɑwtȣwt͡ʃͽ, wɑwtȣwsͽ, jͽwðͽjt͡ʃͽ, jͽwðͽjsͽ, jͽwðȣjt͡ʃͽ, jͽwðȣjsͽ, jͽwtͽjt͡ʃͽ, jͽwtͽjsͽ, jͽwtȣjt͡ʃͽ, jͽwtȣjsͽ, jɑwðͽjt͡ʃͽ, jɑwðͽjsͽ, jɑwðȣjt͡ʃͽ, jɑwðȣjsͽ, jɑwtͽjt͡ʃͽ, jɑwtͽjsͽ, jɑwtȣjt͡ʃͽ, jɑwtȣjsͽ"
𐌰𐍆𐌳𐌰𐌿𐌸𐌾𐌰𐌽,afdauþjan,"put_to_death, make_die, kill, eliminate_with_death",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdɔθj,5,certain,not_reconstructed,"V., v",wͽwðͽt͡ʃjͽ,"wͽwðͽt͡ʃjͽ, wͽwðͽsjͽ, wͽwðȣt͡ʃjͽ, wͽwðȣsjͽ, wͽwtͽt͡ʃjͽ, wͽwtͽsjͽ, wͽwtȣt͡ʃjͽ, wͽwtȣsjͽ, wɑwðͽt͡ʃjͽ, wɑwðͽsjͽ, wɑwðȣt͡ʃjͽ, wɑwðȣsjͽ, wɑwtͽt͡ʃjͽ, wɑwtͽsjͽ, wɑwtȣt͡ʃjͽ, wɑwtȣsjͽ, jͽwðͽt͡ʃjͽ, jͽwðͽsjͽ, jͽwðȣt͡ʃjͽ, jͽwðȣsjͽ, jͽwtͽt͡ʃjͽ, jͽwtͽsjͽ, jͽwtȣt͡ʃjͽ, jͽwtȣsjͽ, jɑwðͽt͡ʃjͽ, jɑwðͽsjͽ, jɑwðȣt͡ʃjͽ, jɑwðȣsjͽ, jɑwtͽt͡ʃjͽ, jɑwtͽsjͽ, jɑwtȣt͡ʃjͽ, jɑwtȣsjͽ"
𐌰𐍆𐌳𐍉𐌱𐌽𐌰𐌽,afdōbnan,"be_mute, become_mute, be_silent, become_silent, hold_one’s_peace",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdoβn,1,certain,form,"V., v",wͽwðͽwnͽ,"wͽwðͽwnͽ, wͽwðͽwne, wͽwðȣwnͽ, wͽwðȣwne, wͽwtͽwnͽ, wͽwtͽwne, wͽwtȣwnͽ, wͽwtȣwne, wɑwðͽwnͽ, wɑwðͽwne, wɑwðȣwnͽ, wɑwðȣwne, wɑwtͽwnͽ, wɑwtͽwne, wɑwtȣwnͽ, wɑwtȣwne, jͽwðͽwnͽ, jͽwðͽwne, jͽwðȣwnͽ, jͽwðȣwne, jͽwtͽwnͽ, jͽwtͽwne, jͽwtȣwnͽ, jͽwtȣwne, jɑwðͽwnͽ, jɑwðͽwne, jɑwðȣwnͽ, jɑwðȣwne, jɑwtͽwnͽ, jɑwtͽwne, jɑwtȣwnͽ, jɑwtȣwne"
𐌰𐍆𐌳𐍉𐌾𐌰𐌽,afdōjan,"harry, harass, wear_out",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdoj,1,certain,form,"V., v",ͽwðͽjͽ,"ͽwðͽjͽ, ͽwðͽje, ͽwðȣjͽ, ͽwðȣje, ͽwtͽjͽ, ͽwtͽje, ͽwtȣjͽ, ͽwtȣje, ɑwðͽjͽ, ɑwðͽje, ɑwðȣjͽ, ɑwðȣje, ɑwtͽjͽ, ɑwtͽje, ɑwtȣjͽ, ɑwtȣje, uwðͽjͽ, uwðͽje, uwðȣjͽ, uwðȣje, uwtͽjͽ, uwtͽje, uwtȣjͽ, uwtȣje"
𐌰𐍆𐌳𐌰𐌿𐌾𐌰𐌽,afdaujan,"harry, harass, wear_out",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdɔj,0,certain,form,"V., v",ͽwðͽjͽ,"ͽwðͽjͽ, ͽwðͽje, ͽwðȣjͽ, ͽwðȣje, ͽwtͽjͽ, ͽwtͽje, ͽwtȣjͽ, ͽwtȣje, ɑwðͽjͽ, ɑwðͽje, ɑwðȣjͽ, ɑwðȣje, ɑwtͽjͽ, ɑwtͽje, ɑwtȣjͽ, ɑwtȣje, uwðͽjͽ, uwðͽje, uwðȣjͽ, uwðȣje, uwtͽjͽ, uwtͽje, uwtȣjͽ, uwtȣje"
𐌰𐍆𐌳𐍉𐌼e𐌹𐌽𐍃,afdōmeins,condemnation,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdomins,1,certain,form,"F., n",ͽwðͽmͽnͽ,"ͽwðͽmͽnͽ, ͽwðͽmȣ̈nͽ, ͽwðemͽne, ͽwðemȣ̈ne, ͽwtͽmͽnͽ, ͽwtͽmȣ̈nͽ, ͽwtemͽne, ͽwtemȣ̈ne, ȣ̈wðͽmͽnͽ, ȣ̈wðͽmȣ̈nͽ, ȣ̈wðemͽne, ȣ̈wðemȣ̈ne, ȣ̈wtͽmͽnͽ, ȣ̈wtͽmȣ̈nͽ, ȣ̈wtemͽne, ȣ̈wtemȣ̈ne, ɑwðͽmͽnͽ, ɑwðͽmȣ̈nͽ, ɑwðemͽne, ɑwðemȣ̈ne, ɑwtͽmͽnͽ, ɑwtͽmȣ̈nͽ, ɑwtemͽne, ɑwtemȣ̈ne"
𐌰𐍆𐌳𐍉𐌼𐌾𐌰𐌽,afdōmjan,"comdemn, pass_judgement_against, curse, abjure",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdomj,6,certain,not_reconstructed,"V., v",wͽwðͽmjͽ,"wͽwðͽmjͽ, wͽwðͽmje, wͽwðȣmjͽ, wͽwðȣmje, wͽwtͽmjͽ, wͽwtͽmje, wͽwtȣmjͽ, wͽwtȣmje, wɑwðͽmjͽ, wɑwðͽmje, wɑwðȣmjͽ, wɑwðȣmje, wɑwtͽmjͽ, wɑwtͽmje, wɑwtȣmjͽ, wɑwtȣmje, jͽwðͽmjͽ, jͽwðͽmje, jͽwðȣmjͽ, jͽwðȣmje, jͽwtͽmjͽ, jͽwtͽmje, jͽwtȣmjͽ, jͽwtȣmje, jɑwðͽmjͽ, jɑwðͽmje, jɑwðȣmjͽ, jɑwðȣmje, jɑwtͽmjͽ, jɑwtͽmje, jɑwtȣmjͽ, jɑwtȣmje"
𐌰𐍆𐌳𐍂𐌰𐌿𐍃𐌾𐌰𐌽,afdrausjan,"throw_down_off, throw_down_of",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdrɔsj,1,certain,not_reconstructed,"V., v",wͽðrͽsjͽ,"wͽðrͽsjͽ, wͽðrȣsjͽ, wͽtrͽsjͽ, wͽtrȣsjͽ, weðrͽsje, weðrȣsje, wetrͽsje, wetrȣsje, jͽðrͽsjͽ, jͽðrȣsjͽ, jͽtrͽsjͽ, jͽtrȣsjͽ, jeðrͽsje, jeðrȣsje, jetrͽsje, jetrȣsje, kͽðrͽsjͽ, kͽðrȣsjͽ, kͽtrͽsjͽ, kͽtrȣsjͽ, keðrͽsje, keðrȣsje, ketrͽsje, ketrȣsje"
𐌰𐍆𐌳𐍂𐌿𐌲𐌺,afdrugk,drinking_up,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdruŋk,0,uncertain,word,"N., n",wͽðrͽŋkͽ,"wͽðrͽŋkͽ, wͽðrȣŋkͽ, wͽtrͽŋkͽ, wͽtrȣŋkͽ, weðrͽŋke, weðrȣŋke, wetrͽŋke, wetrȣŋke, jͽðrͽŋkͽ, jͽðrȣŋkͽ, jͽtrͽŋkͽ, jͽtrȣŋkͽ, jeðrͽŋke, jeðrȣŋke, jetrͽŋke, jetrȣŋke, kͽðrͽŋkͽ, kͽðrȣŋkͽ, kͽtrͽŋkͽ, kͽtrȣŋkͽ, keðrͽŋke, keðrȣŋke, ketrͽŋke, ketrȣŋke"
𐌰𐍆𐌳𐍂𐌿𐌲𐌺𐌾𐌰,afdrugkja,drunkard,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdruŋkja,2,certain,not_reconstructed,"M., n",wͽðrͽkjͽ,"wͽðrͽkjͽ, wͽðrͽkjɑ, wͽðrȣkjͽ, wͽðrȣkjɑ, wͽtrͽkjͽ, wͽtrͽkjɑ, wͽtrȣkjͽ, wͽtrȣkjɑ, weðrͽkjͽ, weðrͽkjɑ, weðrȣkjͽ, weðrȣkjɑ, wetrͽkjͽ, wetrͽkjɑ, wetrȣkjͽ, wetrȣkjɑ, jͽðrͽkjͽ, jͽðrͽkjɑ, jͽðrȣkjͽ, jͽðrȣkjɑ, jͽtrͽkjͽ, jͽtrͽkjɑ, jͽtrȣkjͽ, jͽtrȣkjɑ, jeðrͽkjͽ, jeðrͽkjɑ, jeðrȣkjͽ, jeðrȣkjɑ, jetrͽkjͽ, jetrͽkjɑ, jetrȣkjͽ, jetrȣkjɑ"
𐌰𐍆𐌳𐌿𐌼𐌱𐌽𐌰𐌽,afdumbnan,"become_still, subside_into_silence, fall_off_into_dumbness",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdumbn,1,certain,form,"V., v",wͽwðͽmpͽ,"wͽwðͽmpͽ, wͽwðͽmwͽ, wͽwðȣmpͽ, wͽwðȣmwͽ, wͽwtͽmpͽ, wͽwtͽmwͽ, wͽwtȣmpͽ, wͽwtȣmwͽ, wɑwðͽmpͽ, wɑwðͽmwͽ, wɑwðȣmpͽ, wɑwðȣmwͽ, wɑwtͽmpͽ, wɑwtͽmwͽ, wɑwtȣmpͽ, wɑwtȣmwͽ, jͽwðͽmpͽ, jͽwðͽmwͽ, jͽwðȣmpͽ, jͽwðȣmwͽ, jͽwtͽmpͽ, jͽwtͽmwͽ, jͽwtȣmpͽ, jͽwtȣmwͽ, jɑwðͽmpͽ, jɑwðͽmwͽ, jɑwðȣmpͽ, jɑwðȣmwͽ, jɑwtͽmpͽ, jɑwtͽmwͽ, jɑwtȣmpͽ, jɑwtȣmwͽ"
