hun_lemma,hun_year,info,info_en,disambiguated,hun_suffix,en_human,hun_en,orig,hun_orig_en,orig_tag,hun_pos,hun_ipa,regexroot
tarka,1526,"950 k. tn. (?), 1526","ca. 950  placename (?),  1526",tarka,,"['brindle', 'brindled', 'checkered', 'dappled', 'fancy', 'gaudy', 'gay', 'laced', 'medley', 'mottled', 'parti-coloured', 'pied', 'variegated']","brindle, brindled, checkered, dappled, fancy, gaudy, gay, laced, medley, mottled, parti-coloured, pied, variegated",1. Származékszavak ,1. Derivatives,,a,tɒrkɒ,"rk, ɒ# not old/Gothic"
köz,1200,"950 k. tn., 12. sz. vége",end of  12. century ,köz,,"['alley', 'alleyway', 'close', 'interstice', 'land', 'lane', 'mews', 'space', 'space between']","alley, alleyway, close, interstice, land, lane, mews, space, space_between","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,køz,^(j|m|s)?(k)(e|i|æ|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
lesz,1200,"950 k. tn., 12. sz. vége",end of  12. century ,lesz,,"['to come, came, come', 'to make, made']","come, came, come, make, made","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,v,lɛs,s# not old/Gothic
árpa,1329,"950 k. tn., 1329","ca. 950  placename,  1329",árpa,,['barley'],barley,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,aːrpɒ,"#a, rp, ɒ# not old/Gothic"
kürt,1405,"950 k., tn. (?), 1405 k.","ca. 950 ,  placename (?), ca.  1405 ",kürt,,"['bugle', 'French horn', 'hooter', 'horn', 'tooter']","bugle, French_horn, hooter, horn, tooter",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,kyrt,rt# not old/Gothic
gyula,950,950 k.,ca. 950 ,gyula,,Alba,Alba,"12. Tulajdonnévi, személynévi eredetű szavak ","12. Words of proper origin, personal names",,n,ɟulɒ,"#ɟ, ɒ# not old/Gothic"
ó,950,950 k.,ca. 950 ,-ó/-ő1,+,['old'],old,,,,r,oː,#o# not old/Gothic
ő,950,950 k.,ca. 950 ,-ó/-ő1,+,He,He,,,,r,øː,#ø# not old/Gothic
d,950,950,950,-d1,+,d,d,,,,r,d,#d# not old/Gothic
huj,960,960 k.,ca. 960 ,huj,,hui,hui,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,huj,^(j|m|s)?(k)(o|u)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
bálvány,1109,"1001 tn.,  1109","1001 placename,   1109",bálvány,,"['fetish', 'idol', 'mumbo jumbo', 'mumbo-jumbo']","fetish, idol, mumbo_jumbo, mumbo-jumbo",?,?,,n,baːlvaːɲ,"lv, ɲ# not old/Gothic"
fűz,1251,"1001 tn.,  1251","1001 placename,   1251",fűz2,,"['sallow', 'to stitch']","sallow, stitch","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,v,fyːz,^(j|m|s)?(p)(i|æ|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
szánt,1372,"1002 e. tn.,  1372 u.","before 1002  placename, after   1372 ",szánt,,"['to ear', 'to follow the plough', 'to furrow', 'to plough', 'to plow']","ear, follow_the_plough, furrow, plough, plow",1. Származékszavak ,1. Derivatives,,a,saːnt,nt# not old/Gothic
fül,1372,"1009  tn.  (?),  1372 u.","1009  placename  (?), after   1372 ",fül,,"['bail', 'bow', 'ear', 'flap', 'flappers', 'handle', 'lug', 'tab']","bail, bow, ear, flap, flappers, handle, lug, tab","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,fyl,^(j|m|s)?(p)(i|æ|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
fej,1055,"1009 tn., 1055","1009 placename,  1055",fej2,,"['bean', 'can', 'crumpet', 'face', 'head', 'headpiece', 'knob', 'mask', 'to milk', 'nab', 'nob', 'noddle', 'nut', 'pate', 'skin', 'to sponge on', 'upper story']","bean, can, crumpet, face, head, headpiece, knob, mask, milk, nab, nob, noddle, nut, pate, skin, sponge_on, upper_story","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,fɛj,^(j|m|s)?(p)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
híd,1183,"1009 tn., 1183","1009 placename,  1183",híd,,"['bridge', 'brig']","bridge, brig",II. Iráni (például alán) jövevényszavak ,"II. Iranian (for example, under) newcomer words",,n,hiːd,^(j|m|s)?(k)(e|i|o|u|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
úr,1200,"1009 tn., 12. sz. vége",end of  12. century ,úr,,"['baboo', 'esquire', 'gentleman, gentlemen', 'lord', 'sahib']","baboo, esquire, gentleman, gentlemen, lord, sahib",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,r,uːr,r# not old/Gothic
alma,1225,"1009 tn., 1225","1009 placename,  1225",alma,,['apple'],apple,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,ɒlmɒ,"lm, ɒ# not old/Gothic"
kapu,1372,"1009 tn., 1372 u.","1009 placename, after  1372 ",kapu,,"['door', 'front door', 'front-door', 'gate', 'goal', 'home', 'port']","door, front_door, front-door, gate, goal, home, port",a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,kɒpu,"p, u# not old/Gothic"
ügy,1434,"1009 tn., 1434","1009 placename,  1434",ügy1,,"['affair', 'business', 'case', 'cause', 'go', 'issue', 'matter', 'proceeding', 'proposition', 'shebang']","affair, business, case, cause, go, issue, matter, proceeding, proposition, shebang",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,n,yɟ,#y not old/Gothic
szérű,1395,"1015 tn., 1395 k.","1015 placename, ca.  1395 ",szérű,,"['corn-floor', 'thrashing floor']","corn-floor, thrashing_floor",b) Csuvasos típusú jövevényszavak ?,b) Chuvash type newcomer words?,,n,seːryː,y# not old/Gothic
nedv,1490,"1015 tn., 1490","1015 placename,  1490",nedv,,"['juice', 'moisture', 'sap']","juice, moisture, sap",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,nɛdv,dv# not old/Gothic
meleg,1372,"1018 k. tn.(?), 1372 u.","ca. 1018  placename(?), after  1372 ",meleg,,"['to be warm', 'camp', 'campy', 'cream-puff', 'creampuff', 'fag', 'faggot', 'mellow', 'poovey', 'poovy', 'rich', 'warm', 'warmth']","be_warm, camp, campy, cream-puff, creampuff, fag, faggot, mellow, poovey, poovy, rich, warm, warmth","3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,r,mɛlɛɡ,^(j|m|s)?(m)(e|o|æ)(l|lk|m|ð)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
sarló,1395,"1018 k. tn., 1395 k.","ca. 1018  placename, ca.  1395 ",sarló,,"['reaping-hook', 'scythe', 'sickle']","reaping-hook, scythe, sickle",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,ʃɒrloː,"#ʃ, rl not old/Gothic"
szombat,1405,"1018 k. tn., 1405 k.","ca. 1018  placename, ca.  1405 ",szombat,,Saturday,Saturday,d) Déli szláv jövevényszavak (általában) ?,d) South Slavic newcomer words (in general)?,,n,sombɒt,mb not old/Gothic
király,1018,1018 k.,ca. 1018 ,király,,"['king', 'royalty']","king, royalty","12. Tulajdonnévi, személynévi eredetű szavak ","12. Words of proper origin, personal names",,n,kiraːj,^(j|m|s)?(k)(e|i|o|u|æ)(jr|r)(u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
g,1018,1018 k.,ca. 1018 ,-g2,+,g,g,,,,r,ɡ,#ɡ# not old/Gothic
vaj,1395,"1018–1038 tn., 1395 k.","1018–1038 placename, ca.  1395 ",vaj,,"['butterfat', 'butter']","butterfat, butter","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,vɒj,^(j|m|s)?(w)(e|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
nok,1024,1024,1024,-nok/-nök,+,women,women,,,,n,nok,^(j|m|s)?(n)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
nök,1024,1024,1024,-nok/-nök,+,women,women,,,,n,nøk,^(j|m|s)?(n)(e|i|æ|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
eleve,1200,"1055 (?), 12. sz. vége",end of  12. century ,eleve,,a priori,a_priori,3. Megszilárdult ragos alak ,3. Solidified sticky shape,,r,ɛlɛvɛ,^(j|m|s)?(e|i)(l|lk|m|ð)(e|o|æ)(j|m|ð|ŋ)(ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
aj,1224,"1055 (?), 1224","1055 (?),  1224",aj1,,j,j,"1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,r,ɒj,^(j|m|s)?(o|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
ásvány,1226,"1055 (?), 1226 tn.","1055 (?),  1226 placename",ásvány,,['mineral'],mineral,1. Származékszavak ,1. Derivatives,,n,aːʃvaːɲ,"#a, ʃv, ɲ# not old/Gothic"
elő,1372,"1055 (?),1372 u.","1055 (?), after 1372 ",elő,,live,live,"2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,r,ɛløː,^(j|m|s)?(e|i)(l|lk|m|ð)(e)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
torok,1200,"1055 tn. (?), 12. sz. vége",end of  12. century ,torok,,"['boot', 'gorge', 'throat', 'throttle']","boot, gorge, throat, throttle","3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,n,torok,^(j|m|s)?(t)(e|i|o|u|ɑ)(jr|r)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
nyír,1252,"1055 tn. (?), 1252","1055 placename (?),  1252",nyír2,,"['birch', 'to clip', 'cushion', 'to cut, cut', 'to fleece', 'to hedge', 'to lop', 'to pare', 'to shear, sheared, shorn', 'to trim']","birch, clip, cushion, cut, cut, fleece, hedge, lop, pare, shear, sheared, shorn, trim","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,ɲiːr,r# not old/Gothic
bél,1300,"1055 tn. (?), 13. sz. közepe","1055 placename (?),  13. century közepe",bél,,"['bowel', 'gut', 'intestine', 'kernel', 'pith', 'skin', 'tharm']","bowel, gut, intestine, kernel, pith, skin, tharm","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,beːl,^(j|m|s)?(p)(e|i|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
hull,1300,"1055 tn. (?), 13. sz. közepe","1055 placename (?),  13. century közepe",hull,,['to stream'],stream,4. Valószínűleg ősi szavak?,4. Probably ancient words?,,v,hull,ll# not old/Gothic
sár,1332,"1055 tn. (?), 1332","1055 placename (?),  1332",sár2,,"['dirt', 'mire', 'mud', 'ooze', 'slob', 'slobber', 'sludge', 'splash']","dirt, mire, mud, ooze, slob, slobber, sludge, splash",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,ʃaːr,"#ʃ, r# not old/Gothic"
sár,1372,"1055 tn.  (?),  1372 u.","1055 placename  (?), after   1372 ",sár1,,"['dirt', 'mire', 'mud', 'ooze', 'slob', 'slobber', 'sludge', 'splash']","dirt, mire, mud, ooze, slob, slobber, sludge, splash",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,ʃaːr,"#ʃ, r# not old/Gothic"
kert,1395,"1055  tn.  (?),  1395 k.","1055  placename  (?), ca.   1395 ",kert,,"['garden', 'grounds', 'yard']","garden, grounds, yard",,,,n,kɛrt,rt# not old/Gothic
török,1476,"1055  tn.  (?),  1476 k.","1055  placename  (?), ca.   1476 ",török,,['Turkish'],Turkish,b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,a,tørøk,^(j|m|s)?(t)(e|i|æ|ɑ)(jr|r)(e|i|æ|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
báb,1516,"1055  tn.  (?),  1516 u.","1055  placename  (?), after   1516 ",báb,,"['cocoon', 'dummy', 'marionett', 'marionette', 'puppet', 'tool']","cocoon, dummy, marionett, marionette, puppet, tool","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,baːb,b# not old/Gothic
apa,1395,"1055 tn.(?),  1395 k.","1055 placename(?), ca.   1395 ",apa,,"['father', 'parent', 'pater', 'sire']","father, parent, pater, sire","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,ɒpɒ,"p, ɒ# not old/Gothic"
vár,1193,"1055 tn.,  1193","1055 placename,   1193",vár2,,"['to await', 'castle', 'to expect', 'fastness', 'hold', 'to look for', 'to tend', 'to wait']","await, castle, expect, fastness, hold, look_for, tend, wait",II. Iráni (például alán) jövevényszavak ,"II. Iranian (for example, under) newcomer words",,v,vaːr,r# not old/Gothic
vejsze,1265,"1055 tn.,  1265","1055 placename,   1265",vejsze,,vejsze,vejsze,"2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,vɛjsɛ,js not old/Gothic
lyuk,1269,"1055 tn.,  1269","1055 placename,   1269",lyuk,,"['burrow', 'cavity', 'earth', 'eye', 'hole', 'leakage', 'puncture', 'sector', 'socket', 'vent']","burrow, cavity, earth, eye, hole, leakage, puncture, sector, socket, vent","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,juk,^(j|m|s)?(j)(o|u)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
som,1291,"1055 tn.,  1291","1055 placename,   1291",som,,['cornel'],cornel,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,ʃom,"#ʃ, m# not old/Gothic"
fehér,1372,"1055 tn.,  1372 u.","1055 placename, after   1372 ",fehér,,"['hoar', 'hoary', 'white']","hoar, hoary, white","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,v,fɛheːr,r# not old/Gothic
tő,1372,"1055 tn.,  1372 u.","1055 placename, after   1372 ",tő,,['root'],root,"2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,tøː,^(j|m|s)?(t)(e)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
disznó,1395,"1055 tn.,  1395 k.","1055 placename, ca.   1395 ",disznó,,"['dirty', 'hog', 'pig', 'swine']","dirty, hog, pig, swine",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,disnoː,"#d, sn not old/Gothic"
orr,1395,"1055 tn.,  1395 k.","1055 placename, ca.   1395 ",orr,,"['conk', 'handle of the face', 'hooter', 'horn', 'muzzle', 'nose', 'pecker', 'proboscis, proboscides', 'snitch', 'snozzle', 'toe']","conk, handle_of_the_face, hooter, horn, muzzle, nose, pecker, proboscis, proboscides, snitch, snozzle, toe","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,orr,"#o, rr# not old/Gothic"
kenéz,1406,"1055 tn.,  1406","1055 placename,   1406",kenéz,,kenéz,kenéz,d) Déli szláv jövevényszavak (általában) ,d) South Slavic newcomer words (usually),,n,kɛneːz,^(j|m|s)?(k)(e|o|æ)(n)(e|i|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
vég,1416,"1055 tn.,  1416 u.","1055 placename, after   1416 ",vég,,"['butt', 'confine', 'end', 'ending', 'fate', 'fine', 'finish', 'heel', 'last', 'surcease', 'tail', 'terminal', 'termination']","butt, confine, end, ending, fate, fine, finish, heel, last, surcease, tail, terminal, termination","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,veːɡ,^(j|m|s)?(w)(e|i|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
szád,1585,"1055 tn., 1585 k.","1055 placename, ca.  1585 ",szád,,mouth,mouth,1. Származékszavak ,1. Derivatives,,n,saːd,^(j|m|s)?(ʃʲ)(u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
a,1055,1055,1055,-a/-e1,+,the,the,,,,r,ɒ,#ɒ# not old/Gothic
e,1055,1055,1055,-a/-e1,+,e,e,,,,r,ɛ,#ɛ# not old/Gothic
a,1055,1055,1055,-a/-e~-ja/-je,+,the,the,,,,r,ɒ,#ɒ# not old/Gothic
e,1055,1055,1055,-a/-e~-ja/-je,+,e,e,,,,r,ɛ,#ɛ# not old/Gothic
ja,1055,1055,1055,-a/-e~-ja/-je,+,ja,ja,,,,a,jɒ,ɒ# not old/Gothic
je,1055,1055,1055,-a/-e~-ja/-je,+,je,je,,,,n,jɛ,^(j|m|s)?(j)(ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
ár,1055,1055,1055,-ár/-ér,+,"['auger', 'cost', 'current', 'flood', 'flow', 'high water', 'price', 'pricker', 'prodding tool', 'puncheon', 'rate', 'stream', 'torrent', 'water', 'waves']","auger, cost, current, flood, flow, high_water, price, pricker, prodding_tool, puncheon, rate, stream, torrent, water, waves",,,,n,aːr,"#a, r# not old/Gothic"
ér,1055,1055,1055,-ár/-ér,+,"['brook', 'brooklet', 'to hit', 'to hit, hit', 'rill', 'streamlet', 'streak', 'string', 'vein']","brook, brooklet, hit, hit, hit, rill, streamlet, streak, string, vein",,,,v,eːr,r# not old/Gothic
árok,1055,1055,1055,árok,,"['chase', 'cut', 'dike', 'ditch', 'duct', 'dyke', 'furrow', 'groove', 'pit', 'trench', 'water gang']","chase, cut, dike, ditch, duct, dyke, furrow, groove, pit, trench, water_gang",a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,aːrok,#a not old/Gothic
ász,1055,1055,1055,-ász/-ész,+,"['ace', 'hot']","ace, hot",,,,n,aːs,"#a, s# not old/Gothic"
ész,1055,1055,1055,-ász/-ész,+,"['brain', 'depth', 'five wits', 'head', 'headpiece', 'intellect', 'mind', 'reason', 'savvy', 'senses', 'wit']","brain, depth, five_wits, head, headpiece, intellect, mind, reason, savvy, senses, wit",,,,n,eːs,s# not old/Gothic
aszó,1055,1055,1055,aszó,,the word,the_word,9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,v,ɒsoː,^(j|m|s)?(o|ɑ)(j|s)(e|u)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
at,1055,1055,1055,-at/-et1,+,at,at,,,,r,ɒt,^(j|m|s)?(o|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
et,1055,1055,1055,-at/-et1,+,et,et,,,,n,ɛt,^(j|m|s)?(e|i)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
berkenye,1055,1055,1055,berkenye,,['sorb'],sorb,c) Szlovák jövevényszavak ?,c) Slovak newcomer words?,,n,bɛrkɛɲɛ,"rk, ɲ not old/Gothic"
bokor,1055,1055,1055,bokor,,"['bush', 'shrub']","bush, shrub",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,bokor,"k, r# not old/Gothic"
csa,1055,1055,1055,-csa/-cse,+,Hi,Hi,,,,n,t͡ʃɒ,"#t͡ʃ, ɒ# not old/Gothic"
cse,1055,1055,1055,-csa/-cse,+,au,au,,,,r,t͡ʃɛ,#t͡ʃ not old/Gothic
ér,1055,1055,1055,ér3,,"['brook', 'brooklet', 'to hit', 'to hit, hit', 'rill', 'streamlet', 'streak', 'string', 'vein']","brook, brooklet, hit, hit, hit, rill, streamlet, streak, string, vein",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,v,eːr,r# not old/Gothic
fa,1055,1055,1055,fa,,"['lumber', 'timber', 'tree', 'wood']","lumber, timber, tree, wood","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,fɒ,ɒ# not old/Gothic
fekete,1055,1055,1055,fekete,,"['black', 'collied', 'darkey', 'darkie', 'dark-skinned', 'inky', 'sooty']","black, collied, darkey, darkie, dark-skinned, inky, sooty","3. Ősi, ugor kori szavak ?","3. Ancient, Ugric words?",Ug?,a,fɛkɛtɛ,k not old/Gothic
fertő,1055,1055,1055,fertő,,infection,infection,9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,n,fɛrtøː,^(j|m|s)?(p)(e|o|æ)(r)(e)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
fok,1055,1055,1055,fok1,,"['degree', 'extent', 'head', 'measure', 'notch', 'phase', 'rate', 'remove', 'stage']","degree, extent, head, measure, notch, phase, rate, remove, stage",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,n,fok,^(j|m|s)?(p)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
föveny,1055,1055,1055,föveny,,"['gravel', 'grit']","gravel, grit",1. Származékszavak ?,1. Derivatives?,,n,føvɛɲ,ɲ# not old/Gothic
had,1055,1055,1055,had,,military,military,"2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,hɒd,^(j|m|s)?(k)(e|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
halom,1055,1055,1055,halom,,"['batch', 'clamp', 'clump', 'conglomerate', 'cop', 'crowd', 'dump', 'heap', 'junk', 'mass', 'mound', 'pack', 'peck', 'pile', 'sheaf', 'stack']","batch, clamp, clump, conglomerate, cop, crowd, dump, heap, junk, mass, mound, pack, peck, pile, sheaf, stack",,,,n,hɒlom,m# not old/Gothic
három,1055,1055,1055,három,,['three'],three,"2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,r,haːrom,m# not old/Gothic
hegy,1055,1055,1055,hegy,,"['height', 'hill', 'mount', 'mountain', 'toe']","height, hill, mount, mountain, toe",4. Valószínűleg ősi szavak?,4. Probably ancient words?,,n,hɛɟ,^(j|m|s)?(k)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
hely,1055,1055,1055,hely,,"['berth', 'corner', 'dump', 'houseroom', 'locality', 'location', 'locus, loci', 'place', 'room', 'seat', 'shebang', 'site', 'space', 'spot', 'stance', 'stand', 'stead']","berth, corner, dump, houseroom, locality, location, locus, loci, place, room, seat, shebang, site, space, spot, stance, stand, stead",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,hɛj,^(j|m|s)?(k)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
homok,1055,1055,1055,homok,,['sand'],sand,a) Török jövevényszavak általában ?,a) Turkish newcomers in general?,,n,homok,^(j|m|s)?(k)(e|i|o|u|ɑ)(jm|lm|m)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
iszik,1055,1055,1055,iszik,,"['to carouse', 'to cup', 'to drink, drank, drunk', 'to guzzle', 'to imbibe', ""to moisten one's clay"", 'to partake, partook, partaken', 'to swig', 'to toot', ""to wet one's clay""]","carouse, cup, drink, drank, drunk, guzzle, imbibe, ""moisten_ones_clay"", partake, partook, partaken, swig, toot, ""wet_ones_clay""","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,v,isik,^(j|m|s)?(i)(j|s)(e|i|o|u|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
kerek,1055,1055,1055,kerek,,"['rotund', 'round']","rotund, round",1. Származékszavak ,1. Derivatives,,a,kɛrɛk,^(j|m|s)?(k)(e|o|æ)(jr|r)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
kőris,1055,1055,1055,kőris,,ash,ash,b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,køːriʃ,^(j|m|s)?(k)(e|i|æ|ɑ)(jr|r)(e|i|o|u|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
kút,1055,1055,1055,kút,,"['fount', 'fountain', 'pit', 'pump', 'well']","fount, fountain, pit, pump, well",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,kuːt,^(j|m|s)?(k)(o|u)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
l,1055,1055,1055,-l~-ly,+,l,l,,,,r,l,#l# not old/Gothic
ly,1055,1055,1055,-l~-ly,+,ly,ly,,,,r,j,#j# not old/Gothic
