word,year,info,disambiguated,suffix,en,orig,pos_hun,wordipa
fej,1055,"1009 tn., 1055",fej2,,"['bean', 'can', 'crumpet', 'face', 'head', 'headpiece', 'knob', 'mask', 'to milk', 'nab', 'nob', 'noddle', 'nut', 'pate', 'skin', 'to sponge on', 'upper story']","1. Ősi, uráli kori szavak ",n,fɛj
híd,1183,"1009 tn., 1183",híd,,"['bridge', 'brig']",II. Iráni (például alán) jövevényszavak ,n,hiːd
úr,1200,"1009 tn., 12. sz. vége",úr,,"['baboo', 'esquire', 'gentleman, gentlemen', 'lord', 'sahib']",F) VITATOTT EREDETŰ SZAVAK ,r,uːr
alma,1225,"1009 tn., 1225",alma,,['apple'],a) Török jövevényszavak általában ,n,ɒlmɒ
kapu,1372,"1009 tn., 1372 u.",kapu,,"['door', 'front door', 'front-door', 'gate', 'goal', 'home', 'port']",,n,kɒpu
ügy,1434,"1009 tn., 1434",ügy1,,"['affair', 'business', 'case', 'cause', 'go', 'issue', 'matter', 'proceeding', 'proposition', 'shebang']",F) VITATOTT EREDETŰ SZAVAK ,n,yɟ
szérű,1395,"1015 tn., 1395 k.",szérű,,"['corn-floor', 'thrashing floor']",b) Csuvasos típusú jövevényszavak ?,n,seːryː
nedv,1490,"1015 tn., 1490",nedv,,"['juice', 'moisture', 'sap']",,n,nɛdv
meleg,1372,"1018 k. tn.(?), 1372 u.",meleg,,"['to be warm', 'camp', 'campy', 'cream-puff', 'creampuff', 'fag', 'faggot', 'mellow', 'poovey', 'poovy', 'rich', 'warm', 'warmth']",,r,mɛlɛɡ
sarló,1395,"1018 k. tn., 1395 k.",sarló,,"['reaping-hook', 'scythe', 'sickle']",b) Csuvasos típusú jövevényszavak ,n,ʃɒrloː
szombat,1405,"1018 k. tn., 1405 k.",szombat,,,,n,sombɒt
király,1018,1018 k.,király,,"['king', 'royalty']",,n,kiraːj
g,1018,1018 k.,-g2,+,,,r,ɡ
vaj,1395,"1018–1038 tn., 1395 k.",vaj,,"['butterfat', 'butter']",,n,vɒj
nok,1024,1024,-nok/-nök,+,,,n,nok
nök,1024,1024,-nok/-nök,+,,,n,nøk
eleve,1200,"1055 (?), 12. sz. vége",eleve,,,,r,ɛlɛvɛ
aj,1224,"1055 (?), 1224",aj1,,,"1. Ősi, uráli kori szavak ",r,ɒj
ásvány,1226,"1055 (?), 1226 tn.",ásvány,,['mineral'],1. Származékszavak ,n,aːʃvaːɲ
elő,1372,"1055 (?),1372 u.",elő,,,"2. Ősi, finnugor kori szavak ?",r,ɛløː
torok,1200,"1055 tn. (?), 12. sz. vége",torok,,"['boot', 'gorge', 'throat', 'throttle']","3. Ősi, ugor kori szavak ",n,torok
nyír,1252,"1055 tn. (?), 1252",nyír2,,"['birch', 'to clip', 'cushion', 'to cut, cut', 'to fleece', 'to hedge', 'to lop', 'to pare', 'to shear, sheared, shorn', 'to trim']","2. Ősi, finnugor kori szavak ?",n,ɲiːr
bél,1300,"1055 tn. (?), 13. sz. közepe",bél,,"['bowel', 'gut', 'intestine', 'kernel', 'pith', 'skin', 'tharm']","2. Ősi, finnugor kori szavak ?",n,beːl
hull,1300,"1055 tn. (?), 13. sz. közepe",hull,,['to stream'],,v,hull
sár,1332,"1055 tn. (?), 1332",sár2,,"['dirt', 'mire', 'mud', 'ooze', 'slob', 'slobber', 'sludge', 'splash']",b) Csuvasos típusú jövevényszavak ,n,ʃaːr
sár,1372,"1055 tn.  (?),  1372 u.",sár1,,"['dirt', 'mire', 'mud', 'ooze', 'slob', 'slobber', 'sludge', 'splash']",b) Csuvasos típusú jövevényszavak ,n,ʃaːr
kert,1395,"1055  tn.  (?),  1395 k.",kert,,"['garden', 'grounds', 'yard']",,n,kɛrt
török,1476,"1055  tn.  (?),  1476 k.",török,,['Turkish'],b) Csuvasos típusú jövevényszavak ,a,tørøk
báb,1516,"1055  tn.  (?),  1516 u.",báb,,"['cocoon', 'dummy', 'marionett', 'marionette', 'puppet', 'tool']","1. Hangutánzó, hangfestő szavak ",v,baːb
apa,1395,"1055 tn.(?),  1395 k.",apa,,"['father', 'parent', 'pater', 'sire']","2. Ősi, finnugor kori szavak ?",n,ɒpɒ
vár,1193,"1055 tn.,  1193",vár2,,"['to await', 'castle', 'to expect', 'fastness', 'hold', 'to look for', 'to tend', 'to wait']",II. Iráni (például alán) jövevényszavak ,v,vaːr
vejsze,1265,"1055 tn.,  1265",vejsze,,,,n,vɛjsɛ
lyuk,1269,"1055 tn.,  1269",lyuk,,"['burrow', 'cavity', 'earth', 'eye', 'hole', 'leakage', 'puncture', 'sector', 'socket', 'vent']",,n,juk
som,1291,"1055 tn.,  1291",som,,['cornel'],a) Török jövevényszavak általában ,n,ʃom
fehér,1372,"1055 tn.,  1372 u.",fehér,,"['hoar', 'hoary', 'white']",,v,fɛheːr
tő,1372,"1055 tn.,  1372 u.",tő,,['root'],,n,tøː
disznó,1395,"1055 tn.,  1395 k.",disznó,,"['dirty', 'hog', 'pig', 'swine']",b) Csuvasos típusú jövevényszavak ,n,disnoː
orr,1395,"1055 tn.,  1395 k.",orr,,"['conk', 'handle of the face', 'hooter', 'horn', 'muzzle', 'nose', 'pecker', 'proboscis, proboscides', 'snitch', 'snozzle', 'toe']","2. Ősi, finnugor kori szavak ?",n,orr
kenéz,1406,"1055 tn.,  1406",kenéz,,,d) Déli szláv jövevényszavak (általában) ,n,kɛneːz
vég,1416,"1055 tn.,  1416 u.",vég,,"['butt', 'confine', 'end', 'ending', 'fate', 'fine', 'finish', 'heel', 'last', 'surcease', 'tail', 'terminal', 'termination']",,n,veːɡ
szád,1585,"1055 tn., 1585 k.",szád,,,,n,saːd
a,1055,1055,-a/-e1,+,,,r,ɒ
e,1055,1055,-a/-e1,+,,,r,ɛ
a,1055,1055,-a/-e~-ja/-je,+,,,r,ɒ
e,1055,1055,-a/-e~-ja/-je,+,,,r,ɛ
ja,1055,1055,-a/-e~-ja/-je,+,,,a,jɒ
je,1055,1055,-a/-e~-ja/-je,+,,,n,jɛ
ár,1055,1055,-ár/-ér,+,"['auger', 'cost', 'current', 'flood', 'flow', 'high water', 'price', 'pricker', 'prodding tool', 'puncheon', 'rate', 'stream', 'torrent', 'water', 'waves']",,n,aːr
ér,1055,1055,-ár/-ér,+,"['brook', 'brooklet', 'to hit', 'to hit, hit', 'rill', 'streamlet', 'streak', 'string', 'vein']",,v,eːr
árok,1055,1055,árok,,"['chase', 'cut', 'dike', 'ditch', 'duct', 'dyke', 'furrow', 'groove', 'pit', 'trench', 'water gang']",a) Török jövevényszavak általában ,n,aːrok
ász,1055,1055,-ász/-ész,+,"['ace', 'hot']",,n,aːs
ész,1055,1055,-ász/-ész,+,"['brain', 'depth', 'five wits', 'head', 'headpiece', 'intellect', 'mind', 'reason', 'savvy', 'senses', 'wit']",,n,eːs
aszó,1055,1055,aszó,,,,v,ɒsoː
at,1055,1055,-at/-et1,+,,,r,ɒt
et,1055,1055,-at/-et1,+,,,n,ɛt
berkenye,1055,1055,berkenye,,['sorb'],c) Szlovák jövevényszavak ?,n,bɛrkɛɲɛ
bokor,1055,1055,bokor,,"['bush', 'shrub']",G) ISMERETLEN EREDETŰ SZAVAK ,n,bokor
csa,1055,1055,-csa/-cse,+,,,n,t͡ʃɒ
cse,1055,1055,-csa/-cse,+,,,r,t͡ʃɛ
ér,1055,1055,ér3,,"['brook', 'brooklet', 'to hit', 'to hit, hit', 'rill', 'streamlet', 'streak', 'string', 'vein']",F) VITATOTT EREDETŰ SZAVAK ,v,eːr
fa,1055,1055,fa,,"['lumber', 'timber', 'tree', 'wood']","1. Ősi, uráli kori szavak ",n,fɒ
fekete,1055,1055,fekete,,"['black', 'collied', 'darkey', 'darkie', 'dark-skinned', 'inky', 'sooty']","3. Ősi, ugor kori szavak ?",a,fɛkɛtɛ
fertő,1055,1055,fertő,,,,n,fɛrtøː
fok,1055,1055,fok1,,"['degree', 'extent', 'head', 'measure', 'notch', 'phase', 'rate', 'remove', 'stage']",F) VITATOTT EREDETŰ SZAVAK ,n,fok
föveny,1055,1055,föveny,,"['gravel', 'grit']",,n,føvɛɲ
had,1055,1055,had,,,"2. Ősi, finnugor kori szavak ?",n,hɒd
halom,1055,1055,halom,,"['batch', 'clamp', 'clump', 'conglomerate', 'cop', 'crowd', 'dump', 'heap', 'junk', 'mass', 'mound', 'pack', 'peck', 'pile', 'sheaf', 'stack']",,n,hɒlom
három,1055,1055,három,,['three'],,r,haːrom
hegy,1055,1055,hegy,,"['height', 'hill', 'mount', 'mountain', 'toe']",,n,hɛɟ
hely,1055,1055,hely,,"['berth', 'corner', 'dump', 'houseroom', 'locality', 'location', 'locus, loci', 'place', 'room', 'seat', 'shebang', 'site', 'space', 'spot', 'stance', 'stand', 'stead']",G) ISMERETLEN EREDETŰ SZAVAK ,n,hɛj
homok,1055,1055,homok,,['sand'],,n,homok
iszik,1055,1055,iszik,,"['to carouse', 'to cup', 'to drink, drank, drunk', 'to guzzle', 'to imbibe', ""to moisten one's clay"", 'to partake, partook, partaken', 'to swig', 'to toot', ""to wet one's clay""]","2. Ősi, finnugor kori szavak ",v,isik
kerek,1055,1055,kerek,,"['rotund', 'round']",,a,kɛrɛk
kőris,1055,1055,kőris,,,,n,køːriʃ
kút,1055,1055,kút,,"['fount', 'fountain', 'pit', 'pump', 'well']",G) ISMERETLEN EREDETŰ SZAVAK ,n,kuːt
l,1055,1055,-l~-ly,+,,,r,l
ly,1055,1055,-l~-ly,+,,,r,j
ló,1055,1055,ló,,"['bronco', 'horse', 'hoss']",III. Kaukázusi jövevényszavak ?,n,loː
m,1055,1055,-m1,+,,,r,m
megy,1055,1055,megy,,"['to drive, drove, driven', 'to gang', 'to go, went, gone', 'to head', 'to hop', 'to make way', 'to march', 'to pass', 'to run, ran, run', 'to sashay', 'to tend', 'to tool along', 'to travel', 'to tread, trod, trodden', 'to walk']","1. Ősi, uráli kori szavak ",v,mɛɟ
megye,1055,1055,megye,,"['co.', 'shire']",,n,mɛɟɛ
mező,1055,1055,mező,,"['field', 'land', 'meadow', 'pane']",9. Szófajváltással keletkezett szavak ,n,mɛzøː
mogyoró,1055,1055,mogyoró,,"['hazel', 'hazelnut']",,n,moɟoroː
nagy,1055,1055,nagy,,"['big', 'burly', 'expansive', 'grand', 'great', 'gross', 'heavy', 'large', 'massive', 'mighty', 'outstanding', 'power', 'roomy', 'slick']","2. Ősi, finnugor kori szavak ?",a,nɒɟ
ó,1055,1055,ó1,,['old'],,r,oː
ölyv,1055,1055,ölyv,,"['buzzard', 'hawk']",b) Csuvasos típusú jövevényszavak ?,n,øjv
rá,1055,1055,rá,,,3. Megszilárdult ragos alak ,r,raː
ravasz,1055,1055,ravasz,,"['acute', 'astute', 'cagey', 'calculating', 'canny', 'catchy', 'coony', 'crafted', 'crafty', 'cunning', 'cute', 'deep', 'drafty', 'draughty', 'foxy', 'ikey', 'to know how many beans make five', 'knowing', 'leery', 'shifty', 'shrewd', 'sleek', 'slick', 'slim', 'sly', 'tricksy', 'tricky', 'vulpine', 'wily']","2. Ősi, finnugor kori szavak ",a,rɒvɒs
s,1055,1055,-s1,+,,,r,ʃ
sír,1055,1055,sír2,,"['to be in tears', 'bed', 'cell', 'to cry', 'deep-six', 'grave', 'last resting-place', 'long home', 'to rabbit', 'to rabbit on', 'sepulcher', 'sepulchre', 'to wail', 'to weep, wept']","2. Ősi, finnugor kori szavak ?",v,ʃiːr
sz,1055,1055,-sz1,+,,,r,s
szág,1055,1055,-szág/-szég,+,,,n,saːɡ
szég,1055,1055,-szág/-szég,+,,,n,seːɡ
szakad,1055,1055,szakad,,"['to break, broke, broken', 'to split, split', 'to split', 'to stream', 'to tear, tore, torn']",,v,sɒkɒd
széna,1055,1055,széna,,['hay'],,n,seːnɒ
sziget,1055,1055,sziget,,"['island', 'isle']",,n,siɡɛt
szik,1055,1055,szik,,,,v,sik
szil,1055,1055,szil,,,"2. Ősi, finnugor kori szavak ",n,sil
t,1055,1055,-t1,+,,,r,t
t,1055,1055,-t~-tt1,+,,,r,t
tt,1055,1055,-t~-tt1,+,,,r,tt
út,1055,1055,út,,"['channel', 'gang', 'going', 'journey', 'march', 'pad', 'passage', 'path', 'ride', 'road', 'round', 'run', 'trip', 'way']","3. Ősi, ugor kori szavak ",n,uːt
vány,1055,1055,-vány/-vény,+,,,r,vaːɲ
vény,1055,1055,-vány/-vény,+,,,n,veːɲ
vásár,1055,1055,vásár,,"['fair', 'mop fair', 'sale']",II. Iráni (például alán) jövevényszavak ?,n,vaːʃaːr
leány,1055,1055,leány,,"['gal', 'gill', 'girl', 'job', 'maiden', 'skirt']",,n,lɛaːɲ
két,1291,"1057 tn. (?), 1291",két,,['two'],"1. Ősi, uráli kori szavak ?",r,keːt
kor,1372,"1057 tn. (?), 1372 u.",kor,,"['age', 'cycle', 'epoch', 'era', 'estate', 'period']",,n,kor
sereg,1395,"1057 tn. (?), 1395 k.",sereg,,"['bevy', 'cohort', 'crop', 'crowd', 'flock', 'green machine', 'host', 'nest', 'troop']",,n,ʃɛrɛɡ
kedd,1405,"1057  tn.  (?),  1405 k.",kedd,,,,r,kɛdd
káva,1535,"1057  tn.  (?),  1535",káva,,"['brim', 'edge']","apáca?, apát?, árboc?, báj?, bélyeg?, bér?, burgonya?, buzogány?, csákány?, csikk?, dereglye?, gaz?, káliz?, karám?, ?",n,kaːvɒ
sürög,1536,"1057  tn.  (?),  1536",sürög,,,,v,ʃyrøɡ
bizony,1300,"1057 tn.,  13. sz.  eleje",bizony,,"['to be sure', 'jolly well', 'sure enough', 'verily']",1. Származékszavak ,r,bizoɲ
hit,1372,"1057 tn.,  1372 u.",hit,,"['belief', 'conviction', 'faith', 'persuasion']",,n,hit
hazug,1395,"1057 tn.,  1395 k.",hazug,,"['mendacious', 'untrue']",,a,hɒzuɡ
kos,1395,"1061  tn.  (?),  1395 k.",kos,,"['buck', 'ram']",,n,koʃ
pest,1401,"1061  tn.  (?),  1401",pest,,,a) Bolgár jövevényszavak ,a,pɛʃt
patak,1135,"1061 tn., 1135",patak,,"['brook', 'brooklet', 'creek', 'rivulet', 'stream', 'streamlet', 'water-course', 'watercourse']",,n,pɒtɒk
süvölt,1405,"1061 tn., 1405 k.",süvölt,,"['to rout', 'to wuther']",,v,ʃyvølt
öcs,1372,"1067 k. tn. (?), 1372 u.",öcs,,['brother'],"2. Ősi, finnugor kori szavak ",n,øt͡ʃ
száz,1217,"1067 k. tn. (?), 1217",száz,,,"2. Ősi, finnugor kori szavak ",r,saːz
öt,1372,"1067 k. tn.  (?),  1372 u.",öt,,['five'],"2. Ősi, finnugor kori szavak ",r,øt
hét,1405,"1067 k.  tn.  (?),  1405 k.",hét2,,"['seven', 'week']",,n,heːt
gubacs,1604,"1067 k.  tn.  (?),  1604",gubacs,,['gall'],,n,ɡubɒt͡ʃ
szem,1200,"1067 k. tn.,  12. sz.  vége",szem,,"['bud', 'burgeon', 'eye', 'grain', 'offset']",,n,sɛm
éger,1234,"1067 k. tn., 1234",éger,,['alder'],,n,eːɡɛr
levél,1372,"1067 k. tn., 1372 u.",levél,,"['billet', 'dispatch', 'epistle', 'flag', 'letter']",F) VITATOTT EREDETŰ SZAVAK ,n,lɛveːl
szekér,1372,"1067 k. tn., 1372 u.",szekér,,"['cart', 'dray', 'wagon']",II. Iráni (például alán) jövevényszavak ?,n,sɛkeːr
nyű,1395,"1067 k. tn., 1395 k.",nyű2,,"['maggot', 'worm']","3. Ősi, ugor kori szavak ?",r,ɲyː
sarok,1395,"1067 k. tn., 1395 k.",sarok,,"['angle', 'cant', 'corner', 'heel', 'nook', 'pole']",1. Származékszavak ,n,ʃɒrok
szín,1456,"1067 k. tn., 1456 k.",szín1,,"['colour', 'complexion', 'face', 'hovel', 'lean-to', 'setting', 'tint']",c) Keleti szláv jövevényszavak (általában) ?,n,siːn
hét,1200,"1067 tn. (?), 1200 k.",hét1,,"['seven', 'week']","3. Ősi, ugor kori szavak ",n,heːt
szeg,1067,1067 tn.,szeg2,,"['to hem', 'peg', 'pin', 'spike', 'stud', 'tack']",,n,sɛɡ
fény,1300,"1075 tn. (?), 13. sz. eleje",fény,,"['blaze', 'grandeur', 'light', 'luster', 'lustre', 'pageantry', 'polish', 'pomp', 'shine', 'splendor', 'splendour', 'state', 'stateliness']",,n,feːɲ
cseh,1405,"1075 tn. (?), 1405 k.",cseh,,['bohemian'],,a,t͡ʃɛh
szurok,1416,"1075 tn. (?), 1416 u.",szurok,,"['black pitch', 'pitch']",,n,surok
tolmács,1430,"1075 tn. (?), 1430 k.",tolmács,,,"apáca?, apát?, árboc?, báj?, bélyeg?, bér?, burgonya?, buzogány?, csákány?, csikk?, dereglye?, gaz?, káliz?, karám?, ?",n,tolmaːt͡ʃ
doboz,1528,"1075 tn. (?), 1528",doboz,,"['box', 'can', 'canister', 'case', 'pack']",,n,doboz
hany,1584,"1075 tn. (?), 1584",hany,,,,v,hɒɲ
malom,1666,"1075 tn. (?), 1666",malom,,['mill'],,n,mɒlom
udvarnok,1217,"1075 tn., 1217",udvarnok,,,,n,udvɒrnok
mély,1372,"1075 tn., 1372 u.",mély,,"['absorbed', 'deep', 'low', 'lowly', 'low-pitched', 'profound', 'recondite', 'rich']",,a,meːj
szőlő,1372,"1075 tn., 1372 u.",szőlő,,"['grape', 'grapes', 'vine']",b) Csuvasos típusú jövevényszavak ,n,søːløː
udvar,1372,"1075 tn., 1372 u.",udvar,,"['court', 'run', 'yard']",,n,udvɒr
kengyel,1380,"1075 tn., 1380 k.",kengyel,,"['bow', 'stirrup']",,n,kɛnɟɛl
bors,1395,"1075 tn.,  1395 k.",bors,,"['black pepper', 'pepper']",,n,borʃ
hatvan,1405,"1075 tn.,  1405 k.",hatvan,,['sixty'],13. Szóösszetétellel keletkezett szavak ,r,hɒtvɒn
keskeny,1416,"1075 tn.,  1416 u.",keskeny,,"['extenuate', 'narrow', 'strait']",,a,kɛʃkɛɲ
kereszt,1248,"1075/1217 tn.,  1248",kereszt,,"['cross', 'tree']",d) Déli szláv jövevényszavak (általában) ?,n,kɛrɛst
kis,1337,"1075/1217 tn.,  1337",kis,,"['low', 'petit']",,a,kiʃ
horog,1395,"1075/1217 tn.,  1395 k.",horog,,"['clench', 'crotchet', 'grapple', 'hitch', 'hook']",,n,horoɡ
arany,1075,1075,arany,,"['gold', 'red gold', 'royal metal', 'yellow metal']",,n,ɒrɒɲ
jó,1200,"1079  (?),  12. sz.  vége",jó1,,"['aces', 'to be all aces', 'bitching', 'bitching twitching', 'boss', 'clean', 'fair', 'fine', 'to fit', 'fucking', 'good', 'hunky-dory', 'mind-blowing', 'near', 'nice', 'right', 'shit hot', 'slick', 'smart', 'sniffy', 'top notch', 'way-out', 'wayout', 'well']","3. Ősi, ugor kori szavak ",a,joː
sün,1395,"1079  tn.  (?), 1395 k.",sün,,['urchin'],"2. Ősi, finnugor kori szavak ",n,ʃyn
szed,1079,1079,szed,,"['to glean', 'to pick', 'to pull']","2. Ősi, finnugor kori szavak ?",v,sɛd
köt,1200,"1086 tn. (?), 12. sz. vége",köt,,"['to bind, bound', 'to knit, knit', 'to knit', 'to lace', 'to tie', 'to work', 'to wreathe']",,v,køt
les,1269,"1086 tn. (?), 1269",les,,"['ambuscade', 'ambush', 'lurking-place', 'to peek']",,v,lɛʃ
bátor,1290,"1086 tn. (?), 1290 k.",bátor,,"['ballsy', 'bold', 'brave', 'courageous', 'dreadnought', 'fearless', 'gallant', 'game', 'hardy', 'insensible to fear', 'intrepid', 'manful', 'plucky', 'spirited', 'stout', 'valiant', 'yeomanly']",a) Török jövevényszavak általában ,a,baːtor
vesz,1300,"1086 tn.  (?),  13. sz.  eleje",vesz,,"['to buy, bought', 'to dip', 'to get, got', 'to nick', 'to take, took, taken']",,v,vɛs
örök,1300,"1086  tn.  (?),  13. sz.  második  fele",örök,,"['dateless', 'eternal', 'perpetual', 'persistent']",,a,ørøk
béke,1372,"1086  tn.  (?),  1372 u.",béke,,"['peace', 'peacetime', 'quiet', 'quietude']",G) ISMERETLEN EREDETŰ SZAVAK ,n,beːkɛ
dög,1372,"1086  tn.  (?),  1372 u.",dög,,"['carcase', 'carcass', 'carrion']",,n,døɡ
erő,1372,"1086  tn.  (?),  1372 u.",erő,,"['dint', 'flourish', 'force', 'fortitude', 'kick', 'might', 'moment', 'nerve', 'pith', 'potency', 'power', 'punch', 'sinews', 'strength', 'stress', 'sturdiness', 'vigor', 'vigour', 'zip']",,n,ɛrøː
kígyó,1372,"1086  tn.  (?),  1372 u.",kígyó,,"['serpent', 'snake']","1. Ősi, uráli kori szavak ?",n,kiːɟoː
szám,1372,"1086  tn.  (?),  1372 u.",szám,,"['digit', 'number', 'numeral', 'numero', 'size']",b) Csuvasos típusú jövevényszavak ,n,saːm
szar,1372,"1086  tn.  (?),  1372 u.",szar,,"['to be fucked up', 'crap', 'crappy', 'dipshit', 'dung', 'fucking', 'muck', 'naff', 'scuz', 'scuzz', 'shit', 'shitty', 'sleazo', 'sleazy', 'sodding', 'stinky', 'tripe', 'turd', 'yuck', 'yuk']","2. Ősi, finnugor kori szavak ",a,sɒr
szemét,1372,"1086  tn.  (?),  1372 u.",szemét,,"['discard', 'dreck', 'dross', 'dust', 'garbage', 'mess', 'muck', 'refuse', 'rubbish', 'rubbishy', 'scum', 'shitty junk', 'sleaze', 'sleazebag', 'sleazo', 'sleazy', 'snotty', 'sodding', 'stinky', 'sweepings', 'trash']",,n,sɛmeːt
vért,1372,"1086  tn.  (?),  1372 u.",vért,,,II. Iráni (például alán) jövevényszavak ?,n,veːrt
részeg,1380,"1086 tn. (?), 1380 k.",részeg,,"['to be blitzed out', 'to be bust', 'to be busted', 'to be hot', 'to be in drink', 'to be in liquor', 'to be lit up', 'to be shit-faced drunk', 'to be stoned', 'to be stoned out', 'to be topped', 'to be up the pole', 'to be way-out', 'to be zipped', 'to be zonked out', 'blind', 'blind drunk', 'blue', 'boiled', 'cooked', 'cut', 'drunk', 'drunken', 'groggy', 'have been in the sun', ""have the sun in one's eyes"", 'inebriate', 'intoxicated', 'laced', 'loaded', 'lushy', 'to out cold', 'pickled', 'pie-eyed', 'pissed', 'plastered', 'queer', 'sloshed', 'tiddly', 'tipsy', 'top-heavy', 'vinous', 'woozy']",,a,reːsɛɡ
szoros,1380,"1086 tn. (?), 1380 k.",szoros,,"['close', 'confined', 'cove', 'cramp', 'cramped', 'defile', 'narrows', 'near', 'pass', 'serried', 'strait', 'strict', 'stringent', 'taut', 'tense', 'tight']","2. Ősi, finnugor kori szavak ",a,soroʃ
acél,1395,"1086 tn. (?), 1395 k.",acél,,['steel'],,n,ɒt͡seːl
bor,1395,"1086 tn. (?), 1395 k.",bor,,['wine'],,n,bor
köröm,1395,"1086 tn. (?), 1395 k.",köröm,,"['claw', 'dent', 'fingernail', 'nail', 'toenail']",,n,kørøm
tapló,1395,"1086 tn. (?), 1395 k.",tapló,,"['fungus', 'German tinder', 'punk', 'shit-kicker', 'spunk', 'tinder', 'touchwood']",b) Csuvasos típusú jövevényszavak ,n,tɒploː
hang,1416,"1086 tn. (?), 1416 u.",hang,,"['note', 'sound', 'speech', 'strain', 'tenor', 'tune', 'voice', 'vox, voces']",1. Származékszavak ?,n,hɒnɡ
lop,1519,"1086 tn. (?), 1519 k.",lop,,"['to filch', 'to heist', 'to nick', 'to pinch', 'to pole', 'to pull', 'to snoop', 'to steal, stole, stolen']",,v,lop
vemhes,1555,"1086 tn. (?), 1555",vemhes,,"['in lamb', 'pregnant', 'with lamb', 'with young']",1. Származékszavak ,n,vɛmhɛʃ
duda,1590,"1086 tn. (?), 1590 k.",duda,,"['hooter', 'horn']",F) VITATOTT EREDETŰ SZAVAK ,n,dudɒ
kese,1792,"1086 tn. (?), 1792",kese,,,G) ISMERETLEN EREDETŰ SZAVAK ,n,kɛʃɛ
akol,1193,"1086 tn., 1193",akol,,"['fold', 'kraal', 'pen']",,n,ɒkol
bükk,1193,"1086 tn., 1193",bükk,,['beech'],,n,bykk
hárs,1220,"1086 tn., 1220 k.",hárs,,"['lime', 'linden']",,n,haːrʃ
föld,1300,"1086 tn., 13 sz. eleje",föld,,"['dirt', 'earth', 'ground', 'land', 'soil', 'terra']",,n,føld
mag,1300,"1086 tn., 13. sz. eleje",mag,,"['core', 'heart', 'nucleus, nuclei', 'pip', 'seed', 'stone']",,n,mɒɡ
bal,1372,"1086 tn., 1372 u.",bal,,['left'],"2. Ősi, finnugor kori szavak ?",n,bɒl
