Old,New,C_cng,Count,all_examples
*rk,r³,*rk>r³, 4,"*irkä>ër, *perkɜ >férëg, *pȣrkɜ >forog, *närkɜ>nyerëg, "
*n,ɲ³,*n>ɲ³, 4,"*kanɜ>hány, *konɜCx>hanyatt, *p¨nɜ>fenyő, *menɜ>mënyül, "
*j,v³,*j>v³, 4,"*keje>köved, *kijɜ>követ, *säje>év, *woje>vív, "
*l,ll³,*l>ll³, 4,"*kule>hall, *kulɜ>holló, *olɜ>áll, *säle >ell, "
*m,0³,*m>0³, 4,"*kumɜ>hó, *leme>lé, *jomɜ  >jó, *pimɜ>fű, "
*0,n³,*0>n³, 4,"*m¨>én, *rakka>rokon, *mećɜ>meztelen, *rȣkkɜ>rokkan, "
*n,ɲ¹,*n>ɲ¹, 4,"*niδe>nyél, *nȣjɜ>nyújt, *näkɜ  >nyék, *närkɜ>nyerëg, "
*t,d¹,*t>d¹, 4,"*tarɜkɜ >daru, *tuŋke>dug, *tȣmpɜ>domb, *tȣmpɜ>dob, "
*ðʲ,ɟ³,*ðʲ>ɟ³, 3,"*aδ'ɜ>ágy, *kaδ'a>hagy, *kuδ'ɜ >hagyap, "
*r,rt³,*r>rt³, 3,"*arɜ>árt, *šurɜ>irt, *marɜ>márt, "
*t͡ʃʲ,ʃ¹,*t͡ʃʲ>ʃ¹, 3,"*ćärke>sért, *ćiklä>süh, *ćiŋkä>seg, "
*0,z³,*0>z³, 3,"*e>ez, *o>az, *wića>vigyáz, "
*m,ml³,*m>ml³, 3,"*ime>emlő, *kama>háml, *kuma>homlok, "
*k,v³,*k>v³, 3,"*jikä>év, *teke>tëv, *m¨kɜ  >nevet, "
*ŋ,v³,*ŋ>v³, 3,"*j¨ŋɜ>jöv, *soŋe>avat, *wiŋä >öv, "
*tk,t³,*tk>t³, 3,"*kitke>köt, *totke>tat, *utka>út, "
*0,m³,*0>m³, 3,"*kolme>három, *walkɜ>villám, *waĺɜ>villám, "
*mp,b³,*mp>b³, 3,"*kumpa>hab, *ämpɜ  >ëb, *tȣmpɜ>dob, "
*0,nt³,*0>nt³, 3,"*kurɜ>harántos, *arɜ >iránt, *täkkɜ>tekint, "
*n,n¹,*n>n¹, 3,"*näke>néz, *nime>név, *niŋä>nő, "
*j,jt³,*j>jt³, 3,"*nȣjɜ>nyújt, *pejɜ>fejt, *ȣjɜ>ajtó, "
*t͡ʃʲ,z³,*t͡ʃʲ>z³, 3,"*pećɜ>fűz, *ϑȣćɜ>áz, *kućɜ>hoz, "
*p,b¹,*p>b¹, 3,"*perɜ>bőr, *pola>bogyó, *puńa>bonyolód, "
*s,s³,*s>s³, 3,"*pesä>fészëk, *ϑasɜ>asz, *k¨sɜ>köszörül, "
*0,s³,*0>s³, 3,"*repä >ravasz, *sorɜ>arasz, *towkɜ>tavasz, "
*ŋ,j³,*ŋ>j³, 2,"*aŋe>aj, *päŋe>fej, "
*rβ,r³,*rβ>r³, 2,"*arwa>ár, *śurwa>szúr, "
*lm,m³,*lm>m³, 2,"*ćolme>csomó, *śilmä>szëm, "
*β,v³,*β>v³, 2,"*čawɜ>savanyú, *sewe >ëv, "
*t͡ʃ,t͡ʃ³,*t͡ʃ>t͡ʃ³, 2,"*čeŋkɜ>csegely, *kečä>kécs, "
*βkk,k³,*βkk>k³, 2,"*ewkkɜ>ük, *jowkkɜ>gyakori, "
*p,z³,*p>z³, 2,"*ipɜ>íz, *kupɜtɜ>húz, "
*ɣ,v³,*ɣ>v³, 2,"*juγe>iv, *wiγe>viv, "
*t͡ʃʲ,s³,*t͡ʃʲ>s³, 2,"*kećä>keszeg, *räćɜ>rész, "
*t͡ʃ,ʃ³,*t͡ʃ>ʃ³, 2,"*kečɜ>kés, *wačɜ>vás, "
*j,ɟ³,*j>ɟ³, 2,"*kije>kígyó, *pajɜ>fagyal, "
*nʲ,nɲ³,*nʲ>nɲ³, 2,"*kińe>könny, *mińɜ>mënny, "
*0,tt³,*0>tt³, 2,"*konɜCx>hanyatt, *piδe >fëlëtt, "
*rp,rv³,*rp>rv³, 2,"*korpe>hërvad, *orpa>árva, "
*0,p³,*0>p³, 2,"*kuδɜ>holnap, *kuδ'ɜ >hagyap, "
*l,0³,*l>0³, 2,"*kuntalɜ>hall, *śijele>sün, "
*ʃʲ,s³,*ʃʲ>s³, 2,"*kuśɜ>húsz, *iśɜ  >üsző, "
*t͡ʃʲ,ʃs³,*t͡ʃʲ>ʃs³, 2,"*mećä>messze, *waćɜ>vessző, "
*ʃʲk,ʃ³,*ʃʲk>ʃ³, 2,"*muśke>mos, *waśke>vas, "
*k,z³,*k>z³, 2,"*näke>néz, *tekɜ>tűz, "
*lh,ɟ³,*lh>ɟ³, 2,"*ńeljä>négy, *peljä>figyel, "
*t͡ʃ,ɟ³,*t͡ʃ>ɟ³, 2,"*pučɜ>fogy, *pȣčɜ>fágy, "
*β,j³,*β>j³, 2,"*puwɜ >fúj, *śuwe>száj, "
*ŋk,ɡɡ³,*ŋk>ɡɡ³, 2,"*soŋkɜ >agg, *śäŋkɜ>segg, "
*0,nk³,*0>nk³, 2,"*śale>szilánk, *pulɜ>fulánk, "
*ʃʲ,ʃ¹,*ʃʲ>ʃ¹, 2,"*śäŋkɜ>segg, *śijele>sün, "
*j,t³,*j>t³, 2,"*täje>tetű, *tajɜttɜ>titok, "
*l,lt³,*l>lt³, 2,"*alɜ >olt, *m¨lɜ>méltó, "
*t,0³,*t>0³, 2,"*kupɜtɜ>húz, *tüγɜtɜ>tűz, "
*l,j³,*l>j³, 2,"*melɜ>mély, *pȣlɜ>foly, "
*0,m¹,*0>m¹, 1,"*aća>mese, "
*l,ld³,*l>ld³, 1,"*alɜ>áld, "
*ŋ,ld³,*ŋ>ld³, 1,"*aŋa>old, "
*t͡ʃʲ,z¹,*t͡ʃʲ>z¹, 1,"*ćaka>zaj, "
*k,j³,*k>j³, 1,"*ćaka>zaj, "
*rk,rt³,*rk>rt³, 1,"*ćärke>sért, "
*kl,h³,*kl>h³, 1,"*ćiklä>süh, "
*ɣ,0³,*ɣ>0³, 1,"*ćuγɜ>szú, "
*k,ɲ³,*k>ɲ³, 1,"*ike>íny, "
*kk,kt³,*kk>kt³, 1,"*jakka>iktat, "
*ŋs,j³,*ŋs>j³, 1,"*joŋsɜ>íj, "
*ðʲβ,lɟ³,*ðʲβ>lɟ³, 1,"*kaδ'wa>hölgy, "
*lʲβ,j³,*lʲβ>j³, 1,"*kaĺwɜ>hályog, "
*t͡ʃʲ,nɟ³,*t͡ʃʲ>nɟ³, 1,"*kećɜ>kengyel, "
*t͡ʃʲm,ɟm³,*t͡ʃʲm>ɟm³, 1,"*koćmɜ>hagyma, "
*j,jn³,*j>jn³, 1,"*koje>hajnal, "
*jm,m³,*jm>m³, 1,"*kojmɜ>hím, "
*jr,r³,*jr>r³, 1,"*kojra>here, "
*lm,r³,*lm>r³, 1,"*kolme>három, "
*nʲt͡ʃʲk,rʃ³,*nʲt͡ʃʲk>rʃ³, 1,"*końćkɜ>hárs, "
*nʲt͡ʃʲ,ʃs³,*nʲt͡ʃʲ>ʃs³, 1,"*końćɜ>hosszú, "
*ð,ln³,*ð>ln³, 1,"*kuδɜ>holnap, "
*ðʲm,m³,*ðʲm>m³, 1,"*kuδ'mɜ>hamu, "
*nt,ll³,*nt>ll³, 1,"*kuntalɜ>hall, "
*k,j¹,*k>j¹, 1,"*kunɜ>joh, "
*n,h³,*n>h³, 1,"*kunɜ>joh, "
*nʲt͡ʃʲ,nɟ³,*nʲt͡ʃʲ>nɟ³, 1,"*kuńće>hangya, "
*r,rm³,*r>rm³, 1,"*kura>harmat, "
*rnʲ,rɲ³,*rnʲ>rɲ³, 1,"*kurńa>hornyol, "
*ʃʲ,zd³,*ʃʲ>zd³, 1,"*k¨śɜ>küzd, "
*βl,l³,*βl>l³, 1,"*lewlɜ>lélëk, "
*m,nɡ³,*m>nɡ³, 1,"*lomɜ>láng, "
*pp,pk³,*pp>pk³, 1,"*l¨ppɜ>lepke, "
*ks,j³,*ks>j³, 1,"*maksa>máj, "
*n,nt³,*n>nt³, 1,"*mänɜ>ment, "
*kʃ,h³,*kʃ>h³, 1,"*mekše>méh, "
*lʲ,ɡɟ³,*lʲ>ɡɟ³, 1,"*moĺɜ>mëggy, "
*n,ɟ³,*n>ɟ³, 1,"*muna>mogyoró, "
*m,0¹,*m>0¹, 1,"*m¨>én, "
*m,v³,*m>v³, 1,"*nime>név, "
*lm,lv³,*lm>lv³, 1,"*ńälmä>nyelv, "
*nʲ,n¹,*nʲ>n¹, 1,"*ńeljä>négy, "
