Old,New,V_cng,Count,all_examples
*a,a³,*a>a³, 21,"*čappɜ>sápad, *čupa>sovány, *kalɜ>háló, *kalɜ>hál, *kaĺwɜ>hályog, *kama>háml, *kanɜ>hány, *kaŋɜ>hág, *maksa>máj, *śalkɜ>szál, *śaĺɜ>száldok, *śarɜ>szárad, *śata>száz, *wačɜ>vás, *walka>vál, *waŋɜ>vág, *wića>vigyáz, *marɜ>márt, *raŋɜ>rá, *talɜ>tál, *warɜ>vár, "
*ɜ,o³,*ɜ>o³, 20,"*ćorɜ>csorog, *ćuppɜ>csupor, *ćȣlkɜ>csillog, *jowkkɜ>gyakori, *kaĺwɜ>hályog, *kolɜ>halok, *korɜ>horol, *lappɜ>lapos, *ńorɜ>nyirok, *oćtɜrɜ>ostor, *pȣrkɜ >forog, *śaĺɜ>száldok, *śurɜ>szurok, *wekkɜ>vékony, *ćukkɜ >csókol, *kajɜ>hajol, *mȣrɜ>marok, *tajɜttɜ>titok, *tultɜ>táltos, *turɜ>torok, "
*u,ɒ³,*u>ɒ³, 20,"*kuδ'mɜ>hamu, *kule>hall, *kulke>halad, *kumpa>hab, *kunta>had, *kuntalɜ>hall, *kuńće>hangya, *kura>harmat, *kurɜ>harántos, *kurɜ>harag, *kutte>hat, *muŋkɜ>mag, *mura>mar, *pućɜrɜ>facsar, *puna>fan, *purɜ>far, *puwɜ>fa, *tuktɜ>tat, *turja>tarja, *kuδ'ɜ >hagyap, "
*ɜ,∅³,*ɜ>∅³, 19,"*ćuγɜ>szú, *kumɜ>hó, *ńikɜ>nyű, *puwɜ>fa, *pȣjɜ>fú, *rokɜ >ró, *tarɜkɜ >daru, *towɜ>tó, *äjɜ>i, *äppɜrɜkɜ>epër, *jomɜ  >jó, *kottɜŋɜ>hattyú, *kupɜtɜ>húz, *luwɜ >ló, *pimɜ>fű, *raŋɜ>rá, *sawɜ>szó, *säγɜrɜ>szőr, *tüγɜtɜ>tűz, "
*æ,e³,*æ>e³, 18,"*ćärke>sért, *jäŋe>jég, *kämä>kemény, *käte>kéz, *kepä>kevés, *läppɜ>lép, *näke>néz, *päćkɜ>fëcske, *pälä>fél, *pesä>fészëk, *räćɜ>rész, *tälwä>tél, *wäntɜ>véd, *wäŋćɜ>vés, *ϑäptɜ>hét, *näkɜ  >nyék, *päkkɜ>fék, *tärɜ>tér, "
*e,ɛ³,*e>ɛ³, 17,"*äne>ének, *čeŋkɜ>csegely, *jänte>ideg, *kećä>keszeg, *kećɜ>kengyel, *keje>köved, *kepä>kevés, *kerä>kerek, *leppɜ>lep, *mećä>messze, *ńele>nyel, *reŋɜ >rejt, *wetä>vezet, *mećɜ>meztelen, *merɜ  >mered, *pejɜ>fejt, *pekkɜ>fekély, "
*o,o³,*o>o³, 15,"*ćolme>csomó, *ćorɜ>csorog, *joke>jó, *konɜ>hón, *końćɜ>hosszú, *korɜ>horol, *loŋe>lóg, *pola>bogyó, *rokɜ >ró, *śomɜ>szomjú, *śorɜ>szorul, *to>tova, *towɜ>tó, *wole>vol, *jomɜ  >jó, "
*o,ɒ³,*o>ɒ³, 14,"*jowkkɜ>gyakori, *koćmɜ>hagyma, *koje>hajnal, *kola>hal, *kolɜ>halok, *konɜCx>hanyatt, *ńole>nyal, *śoje>zaj, *śorwa>szarv, *totke>tat, *towkɜ>tavasz, *woje>vaj, *workɜ>varr, *kottɜŋɜ>hattyú, "
*ɜ,e³,*ɜ>e³, 14,"*lewlɜ>lélëk, *l¨pɜ>levél, *perkɜ >férëg, *ańćɜ>ágyék, *älɜ >Erdély, *äppɜrɜkɜ>epër, *čettɜ>sötét, *eŋkɜrɜ>ígér, *j¨kkɜrɜ>gyökér, *kećɜ>kísér, *närkɜ>nyerëg, *pekkɜ>fekély, *pentɜlɜ>födél, *täŋɜtɜ>tegëz, "
*ɜ,ɛ³,*ɜ>ɛ³, 13,"*čeŋkɜ>csegely, *kećɜ>kengyel, *kijɜ>követ, *čeppɜ>süpped, *käńćɜ>keshed, *k¨ćɜ >kesered, *k¨lɜ >köles, *mälɜ>meleg, *mećɜ>meztelen, *merɜ  >mered, *m¨kɜ  >nevet, *p¨kkɜttɜ>fekete, *tepɜ>téved, "
*a,o³,*a>o³, 12,"*jalka>gyalog, *kuma>homlok, *kurńa>hornyol, *muna>mogyoró, *oδamɜ>álom, *puńa>bonyolód, *rakka>rokon, *tappa>tapod, *alama  >alom, *ńalɜ>nyolc, *sawɜ>szó, "
*e,ø³,*e>ø³, 11,"*keje>köved, *kere>köré, *lewe>lő, *peje>fő, *perɜ>bőr, *temɜ>töm, *teppɜ>több, *terä>tőr, *wajće>vöcsök, *čettɜ>sötét, *pentɜlɜ>födél, "
*e,∅³,*e>∅³, 10,"*joke>jó, *kiwe>kő, *kuŋe>hó, *leme>lé, *lewe>lő, *peje>fő, *śäŋe>sző, *śijele>sün, *tiŋe >tő, *wäŋe>vő, "
*i,ø³,*i>ø³, 10,"*kijɜ>követ, *kintɜ>köd, *kińä>könyök, *kińe>könny, *kitke>köt, *kitɜ>köz, *kiwe>kő, *likkä>lök, *niŋä>nő, *tiŋe >tő, "
*ɜ,a³,*ɜ>a³, 9,"*kumɜ>homály, *kurɜ>harántos, *walkɜ>villám, *waĺɜ>villám, *aktɜ>utál, *arɜ >iránt, *karɜ>harkály, *malkɜ>malát, *pulɜ>fulánk, "
*¨,ɛ³,*¨>ɛ³, 9,"*l¨ppɜ>lepke, *l¨pɜ>levél, *p¨jćɜ>fejsze, *p¨nɜ>fenyő, *k¨ćɜ >kesered, *k¨ntɜ>kedv, *m¨kɜ  >nevet, *p¨kkɜttɜ>fekete, *w¨ćɜ>vese, "
*i,e³,*i>e³, 9,"*mińä>mëny, *mińɜ>mënny, *miŋä>mëg, *niδe>nyél, *nime>név, *piδe >fëlëtt, *pilwe >fëlhő, *śilmä>szëm, *wire>vér, "
*a,ɒ¹,*a>ɒ¹, 8,"*ala>al, *amta>ad, *aŋe>aj, *appe>apa, *alama  >alom, *arɜ >ara, *ϑarańa>arany, *ϑasɜ>asz, "
*i,y³,*i>y³, 8,"*ćiklä>süh, *ńikɜ>nyű, *śijele>sün, *čittɜ>süt, *pičɜ  >füst, *pilɜ>fűl, *pimɜ>fű, *silɜ>szül, "
*a,i³,*a>i³, 8,"*kaja>hajít, *śala>szil, *śale>szilánk, *walkɜ>villám, *waĺɜ>villám, *warɜ>virrad, *katɜ>híz, *tajɜttɜ>titok, "
*ɜ,u²,*ɜ>u², 8,"*końćɜ>hosszú, *kuδ'mɜ>hamu, *palγɜ>falu, *śomɜ>szomjú, *warɜ>varjú, *jȣrɜ>gyalu, *pȣĺćɜ>faggyú, *sȣlkɜ  >szalu, "
*ȣ,a³,*ȣ>a³, 8,"*lȣppɜ>láp, *mȣlɜ>mál, *pȣčɜ>fágy, *pȣtɜ>fáz, *jȣttɜ>ját, *pȣγrɜ>fárad, *sȣŋɜ>száguld, *sȣrɜ>szár, "
*a,a¹,*a>a¹, 7,"*aδ'ɜ>ágy, *alɜ>áld, *arwa>ár, *arɜ>árt, *salkɜ>áll, *ańćɜ>ágyék, *ϑarɜ>ár, "
*æ,e¹,*æ>e¹, 7,"*äne>ének, *äŋɜ>ég, *säje>év, *säŋe>ég, *särɜ>ér, *šärɜ>ér, *ämpɜ  >ëb, "
*ȣ,ɒ³,*ȣ>ɒ³, 7,"*mȣrɜ>mar, *jȣkkɜ>gyak, *jȣrɜ>gyalu, *kȣńćɜ>hagy, *mȣrɜ>marok, *pȣĺćɜ>faggyú, *sȣlkɜ  >szalu, "
*o,ɒ¹,*o>ɒ¹, 7,"*o>az, *oδa>al, *ońćarɜ>agyar, *soŋe>avat, *soŋkɜ >agg, *sorɜ>arasz, *šoppɜ >apad, "
*o,a³,*o>a³, 6,"*kolme>három, *końćkɜ>hárs, *kota>ház, *lomɜ>láng, *lońća>lágy, *wolka>váll, "
*ɜ,ɛ²,*ɜ>ɛ², 6,"*l¨ppɜ>lepke, *päćkɜ>fëcske, *p¨jćɜ>fejsze, *mańćɜ>mese, *p¨kkɜttɜ>fekete, *w¨ćɜ>vese, "
*i,ø¹,*i>ø¹, 5,"*ićä>ős, *sikśe >ősz, *sile >öl, *wiŋä >öv, *witte>öt, "
*¨,ø³,*¨>ø³, 5,"*j¨ŋɜ>jöv, *j¨kkɜrɜ>gyökér, *k¨lɜ >köles, *k¨nɜ>könnyű, *k¨sɜ>köszörül, "
*ɜ,o²,*ɜ>o², 5,"*kalɜ>háló, *kulɜ>holló, *kurɜ>horó, *m¨lɜ>méltó, *ȣjɜ>ajtó, "
*e,ɒ³,*e>ɒ³, 5,"*koje>hajnal, *korpe>hërvad, *kulke>halad, *repä >ravasz, *soŋe>avat, "
*u,a³,*u>a³, 5,"*kuje>háj, *kuttɜ>hát, *mu>más, *śuwe>száj, *tultɜ>táltos, "
*ȣ,o³,*ȣ>o³, 5,"*pȣrkɜ >forog, *pȣlɜ>foly, *rȣkkɜ>rokkan, *tȣmpɜ>domb, *tȣmpɜ>dob, "
*æ,ɛ¹,*æ>ɛ¹, 5,"*säle >ell, *säppä>epe, *älɜ >Erdély, *äppɜrɜkɜ>epër, *ättɜ  >edz, "
*a,ɛ³,*a>ɛ³, 4,"*aća>mese, *waćɜ>vessző, *waja>vejsze, *mańćɜ>mese, "
*e,y³,*e>y³, 4,"*ćerɜ>szűr, *pećɜ>fűz, *tekɜ>tűz, *čeppɜ>süpped, "
*e,ɛ¹,*e>ɛ¹, 4,"*e>ez, *ećɜ>es, *eδe>elő, *emä>em, "
*e,ø²,*e>ø², 4,"*eδe>elő, *ime>emlő, *pilwe >fëlhő, *täwe>tüdő, "
*e,e¹,*e>e¹, 4,"*eje>éj, *elä>él, *sewe >ëv, *šerɜ >ér, "
*a,ø³,*a>ø³, 4,"*kaća>hős, *kaδ'wa>hölgy, *waδ'kɜ>völgy, *wajće>vöcsök, "
*i,i³,*i>i³, 4,"*kije>kígyó, *śiδä >szív, *wića>vigyáz, *wiγe>viv, "
*æ,ø³,*æ>ø³, 4,"*kińä>könyök, *śäŋe>sző, *wäŋe>vő, *säγɜrɜ>szőr, "
*o,a¹,*o>a¹, 4,"*oδamɜ>álom, *olɜ>áll, *ora>ár, *orpa>árva, "
*ɜ,ø²,*ɜ>ø², 4,"*p¨nɜ>fenyő, *waćɜ>vessző, *wiδɜ >velő, *iśɜ  >üsző, "
*u,u¹,*u>u¹, 4,"*suδ'ɜ>ujj, *uje>úsz, *utka>út, *wuδ'e>új, "
*ɜ,u³,*ɜ>u³, 4,"*śorɜ>szorul, *tarɜkɜ >daru, *kottɜŋɜ>hattyú, *sȣŋɜ>száguld, "
*a,ɛ²,*a>ɛ², 3,"*aća>mese, *kojra>here, *waja>vejsze, "
*a,e³,*a>e³, 3,"*kakta>két, *pata>fazék, *raćɜ>rés, "
*o,e³,*o>e³, 3,"*koja>héj, *korpe>hërvad, *moĺɜ>mëggy, "
*o,i³,*o>i³, 3,"*kojmɜ>hím, *ńorɜ>nyirok, *woje>vív, "
*o,o¹,*o>o¹, 3,"*oćtɜrɜ>ostor, *wolnɜ>ón, *oŋtɜ >oldal, "
*e,i³,*e>i³, 3,"*peljä>figyel, *wete>víz, *kećɜ>kísér, "
*ɜ,y³,*ɜ>y³, 3,"*śarɜ>szürügy, *menɜ>mënyül, *sȣjɜ >szédül, "
*a,o¹,*a>o¹, 2,"*aŋa>old, *alɜ >olt, "
*e,ɒ²,*e>ɒ², 2,"*appe>apa, *kuńće>hangya, "
*i,ɛ³,*i>ɛ³, 2,"*ćiŋkä>seg, *wiδɜ >velő, "
*e,o²,*e>o², 2,"*ćolme>csomó, *kije>kígyó, "
*ȣ,i³,*ȣ>i³, 2,"*ćȣlkɜ>csillog, *pȣnɜ>fing, "
*¨,y³,*¨>y³, 2,"*ć¨nɜ>csün, *k¨śɜ>küzd, "
*e,ø¹,*e>ø¹, 2,"*ećɜ>öcs, *weδɜ>öl, "
*i,i¹,*i>i¹, 2,"*ike>íny, *ipɜ>íz, "
*i,ɛ¹,*i>ɛ¹, 2,"*ime>emlő, *šiŋere>egér, "
*i,e¹,*i>e¹, 2,"*irkä>ër, *jikä>év, "
*a,i¹,*a>i¹, 2,"*jakka>iktat, *arɜ >iránt, "
*æ,i¹,*æ>i¹, 2,"*jänte>ideg, *äjɜ>i, "
*u,i¹,*u>i¹, 2,"*juγe>iv, *šurɜ>irt, "
*e,e²,*e>e², 2,"*kere>köré, *le>lë, "
*ɜ,ɒ²,*ɜ>ɒ², 2,"*koćmɜ>hagyma, *arɜ >ara, "
*e,o³,*e>o³, 2,"*kolme>három, *piŋe >fogoly, "
*a,∅³,*a>∅³, 2,"*kuntalɜ>hall, *pojka>fiú, "
*∅,o³,*∅>o³, 2,"*kurɜ>harántos, *puńa>bonyolód, "
*ȣ,e³,*ȣ>e³, 2,"*lȣńćɜ>légy, *sȣjɜ >szédül, "
*æ,ɛ²,*æ>ɛ², 2,"*mećä>messze, *säppä>epe, "
*¨,e¹,*¨>e¹, 2,"*m¨>én, *¨>ë, "
*¨,i²,*¨>i², 2,"*m¨>mi, *t¨>ti, "
*ȣ,u³,*ȣ>u³, 2,"*nȣjɜ>nyújt, *pȣjɜ>fú, "
*a,ɒ²,*a>ɒ², 2,"*orpa>árva, *turja>tarja, "
*i,o³,*i>o³, 2,"*piŋe>fog, *piŋe >fogoly, "
*∅,ɒ²,*∅>ɒ², 2,"*śakkɜ >szaka, *to>tova, "
*ȣ,a¹,*ȣ>a¹, 2,"*ȣćɜ>ásít, *ϑȣćɜ>áz, "
*ɜ,i³,*ɜ>i³, 2,"*ȣćɜ>ásít, *täkkɜ>tekint, "
*ȣ,ɒ¹,*ȣ>ɒ¹, 2,"*ϑȣkkɜ>akad, *ȣjɜ>ajtó, "
*i,y¹,*i>y¹, 2,"*iśɜ  >üsző, *itɜ>űz, "
*∅,ɛ³,*∅>ɛ³, 2,"*k¨ćɜ >kesered, *mećɜ>meztelen, "
*∅,u²,*∅>u², 1,"*čawɜ>savanyú, "
*i,∅³,*i>∅³, 1,"*čijɜ>siet, "
*e,y¹,*e>y¹, 1,"*ewkkɜ>ük, "
*o,i¹,*o>i¹, 1,"*joŋsɜ>íj, "
*∅,i²,*∅>i², 1,"*jowkkɜ>gyakori, "
*e,i²,*e>i², 1,"*ke>ki, "
*o,ɛ³,*o>ɛ³, 1,"*kojra>here, "
*u,o²,*u>o², 1,"*ku>ho, "
*∅,o²,*∅>o², 1,"*muna>mogyoró, "
*ɜ,i²,*ɜ>i², 1,"*mɜ>mi, "
*æ,∅³,*æ>∅³, 1,"*niŋä>nő, "
*ɤ,i³,*ɤ>i³, 1,"*ńɤle>nyíl, "
*o,u³,*o>u³, 1,"*ńoma>nyúl, "
*¨,i³,*¨>i³, 1,"*ń¨rɜ>nyír, "
*o,∅³,*o>∅³, 1,"*pojka>fiú, "
*a,o²,*a>o², 1,"*pola>bogyó, "
*æ,ɒ³,*æ>ɒ³, 1,"*repä >ravasz, "
*æ,ø¹,*æ>ø¹, 1,"*säwnä>őn, "
*ɤ,i¹,*ɤ>i¹, 1,"*sɤne >ín, "
*o,u¹,*o>u¹, 1,"*soja>ujj, "
*u,o¹,*u>o¹, 1,"*sula>olvad, "
*¨,ø¹,*¨>ø¹, 1,"*s¨>ő, "
*a,e¹,*a>e¹, 1,"*śakkɜ >szaka, "
*e,a³,*e>a³, 1,"*śale>szilánk, "
*a,y³,*a>y³, 1,"*śarɜ>szürügy, "
*æ,e²,*æ>e², 1,"*tä>té, "
*e,y²,*e>y², 1,"*täje>tetű, "
*e,ɛ²,*e>ɛ², 1,"*täwδe >tele, "
*æ,y³,*æ>y³, 1,"*täwe>tüdő, "
*u,ø³,*u>ø³, 1,"*tuδ'ka>tőgy, "
*¨,e²,*¨>e², 1,"*t¨>të, "
*a,u¹,*a>u¹, 1,"*aktɜ>utál, "
*e,i¹,*e>i¹, 1,"*eŋkɜrɜ>ígér, "
*¨,i¹,*¨>i¹, 1,"*j¨tɜ>íz, "
*i,i²,*i>i², 1,"*ki >ki, "
*ɜ,y²,*ɜ>y², 1,"*k¨nɜ>könnyű, "
*ɜ,ø³,*ɜ>ø³, 1,"*k¨sɜ>köszörül, "
*∅,y³,*∅>y³, 1,"*k¨sɜ>köszörül, "
*¨,e³,*¨>e³, 1,"*m¨lɜ>méltó, "
*y,y³,*y>y³, 1,"*tüγɜtɜ>tűz, "
