Lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,link,ipa,subst1_kw_hw_iw,struc,Substitution
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨tɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜti
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜt¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜtɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wate
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wat¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,watɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨te
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨t¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨tɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜte
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜt¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜtɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wani
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wan¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wanɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨ni
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨n¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨nɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜni
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜn¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜnɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wane
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wan¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wanɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨ne
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨n¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨nɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜne
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜn¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wɜnɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mati
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mat¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,matɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨ti
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨t¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨tɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜti
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜt¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜtɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mate
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mat¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,matɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨te
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨t¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨tɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜte
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜt¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜtɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mani
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,man¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,manɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨ni
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨n¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨nɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜni
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜn¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜnɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mane
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,man¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,manɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨ne
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨n¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,m¨nɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜne
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜn¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,mɜnɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,patu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,patȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,patɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,p¨tu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,p¨tȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,p¨tɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,pɜtu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,pɜtȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,pɜtɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,panu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,panȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,panɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,p¨nu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,p¨nȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,p¨nɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,pɜnu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,pɜnȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,pɜnɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,watu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,watȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,watɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,w¨tu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,w¨tȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,w¨tɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,wɜtu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,wɜtȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,wɜtɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,wanu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,wanȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,wanɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,w¨nu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,w¨nȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,w¨nɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,wɜnu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,wɜnȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,wɜnɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,matu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,matȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,matɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,m¨tu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,m¨tȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,m¨tɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,mɜtu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,mɜtȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,mɜtɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,manu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,manȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,manɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,m¨nu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,m¨nȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,m¨nɜ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,mɜnu
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,mɜnȣ
badu,M.,Kampf,"fight (N.), battle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=33,badu,badu,CVCV,mɜnɜ
baira,M.,Bär (M.) (1),bear (N.),https://koeblergerhard.de/wikiling/?f=got&page=34,bɛra,bɛra,CVCV,pæra
baira,M.,Bär (M.) (1),bear (N.),https://koeblergerhard.de/wikiling/?f=got&page=34,bɛra,bɛra,CVCV,pær¨
baira,M.,Bär (M.) (1),bear (N.),https://koeblergerhard.de/wikiling/?f=got&page=34,bɛra,bɛra,CVCV,pærɜ
baira,M.,Bär (M.) (1),bear (N.),https://koeblergerhard.de/wikiling/?f=got&page=34,bɛra,bɛra,CVCV,wæra
baira,M.,Bär (M.) (1),bear (N.),https://koeblergerhard.de/wikiling/?f=got&page=34,bɛra,bɛra,CVCV,wær¨
baira,M.,Bär (M.) (1),bear (N.),https://koeblergerhard.de/wikiling/?f=got&page=34,bɛra,bɛra,CVCV,wærɜ
baira,M.,Bär (M.) (1),bear (N.),https://koeblergerhard.de/wikiling/?f=got&page=34,bɛra,bɛra,CVCV,mæra
baira,M.,Bär (M.) (1),bear (N.),https://koeblergerhard.de/wikiling/?f=got&page=34,bɛra,bɛra,CVCV,mær¨
baira,M.,Bär (M.) (1),bear (N.),https://koeblergerhard.de/wikiling/?f=got&page=34,bɛra,bɛra,CVCV,mærɜ
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,pala
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,pal¨
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,palɜ
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,p¨la
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,p¨l¨
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,p¨lɜ
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,pɜla
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,pɜl¨
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,pɜlɜ
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,wala
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,wal¨
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,walɜ
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,w¨la
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,w¨l¨
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,w¨lɜ
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,wɜla
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,wɜl¨
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,wɜlɜ
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,mala
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,mal¨
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,malɜ
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,m¨la
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,m¨l¨
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,m¨lɜ
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,mɜla
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,mɜl¨
bala,M.,Pferd mit Blesse,horse with a blaze,https://koeblergerhard.de/wikiling/?f=got&page=35,bala,bala,CVCV,mɜlɜ
balu,N.,"Unglück, Übel","bale (N.), viciousness, balefulness",https://koeblergerhard.de/wikiling/?f=got&page=35,balu,balu,CVCV,palu
balu,N.,"Unglück, Übel","bale (N.), viciousness, balefulness",https://koeblergerhard.de/wikiling/?f=got&page=35,balu,balu,CVCV,palȣ
balu,N.,"Unglück, Übel","bale (N.), viciousness, balefulness",https://koeblergerhard.de/wikiling/?f=got&page=35,balu,balu,CVCV,palɜ
balu,N.,"Unglück, Übel","bale (N.), viciousness, balefulness",https://koeblergerhard.de/wikiling/?f=got&page=35,balu,balu,CVCV,p¨lu
balu,N.,"Unglück, Übel","bale (N.), viciousness, balefulness",https://koeblergerhard.de/wikiling/?f=got&page=35,balu,balu,CVCV,p¨lȣ
