info_hun,Protohungarian,Gothic,info_got
"kimɜ, CVCV, 390, 27063, N, , 6.75, spy, Spion, kém",kimɜ,kimɜ,"giba, F., Gabe, Geschenk, g-Rune, that which is given, gift (N.), present (N.), name of g-rune, https://koeblergerhard.de/wikiling/?f=got&page=108 , ɡɪba, ɡɪba, CVCV"
"kima, CVCV, 391, 27064, N, , 6.75, spy, Spion, kém",kima,kima,"giba, F., Gabe, Geschenk, g-Rune, that which is given, gift (N.), present (N.), name of g-rune, https://koeblergerhard.de/wikiling/?f=got&page=108 , ɡɪba, ɡɪba, CVCV"
"kȣmɜ, CVCV, 189, 12951, N, , 11.0, decoration, Verzierung, hím",kȣmɜ,kȣmɜ,"kumei, V., steh auf, stand up, arise, https://koeblergerhard.de/wikiling/?f=got&page=146 , kumi, kumi, CVCV"
"kȣma, CVCV, 190, 12952, N, , 11.0, decoration, Verzierung, hím",kȣma,kȣma,"guma, M., Mann, male human being, man (M.), https://koeblergerhard.de/wikiling/?f=got&page=113 , ɡuma, ɡuma, CVCV"
"kemɜ, CVCV, 392, 27069, N, , 6.75, spy, Spion, kém",kemɜ,kemɜ,"giba, F., Gabe, Geschenk, g-Rune, that which is given, gift (N.), present (N.), name of g-rune, https://koeblergerhard.de/wikiling/?f=got&page=108 , ɡɪba, ɡɪba, CVCV"
"kema, CVCV, 393, 27070, N, , 6.75, spy, Spion, kém",kema,kema,"giba, F., Gabe, Geschenk, g-Rune, that which is given, gift (N.), present (N.), name of g-rune, https://koeblergerhard.de/wikiling/?f=got&page=108 , ɡɪba, ɡɪba, CVCV"
"korɜ, CVCV, 279, 13691, N, , 11.0, string, Schnur, húr",korɜ,korɜ,"kaurei, F., Schwere, Fülle, Last, weight (N.), weightiness, heaviness, load (N.), https://koeblergerhard.de/wikiling/?f=got&page=142 , kɔri, kɔri, CVCV"
"kirɜ, CVCV, 441, 27430, N, , 6.0, horn, Horn, kürt",kirɜ,kirɜ,"gira, Wort, , , https://koeblergerhard.de/wikiling/?f=got&page=109 , ɡɪra, ɡɪra, CVCV"
"kira, CVCV, 442, 27431, N, , 6.0, horn, Horn, kürt",kira,kira,"gira, Wort, , , https://koeblergerhard.de/wikiling/?f=got&page=109 , ɡɪra, ɡɪra, CVCV"
"kȣrɜ, CVCV, 277, 13687, N, , 11.0, string, Schnur, húr",kȣrɜ,kȣrɜ,"kaurei, F., Schwere, Fülle, Last, weight (N.), weightiness, heaviness, load (N.), https://koeblergerhard.de/wikiling/?f=got&page=142 , kɔri, kɔri, CVCV"
"kerɜ, CVCV, 213, 13010, N, , 11.0, news, Nachrichten, hír",kerɜ,kerɜ,"gira, Wort, , , https://koeblergerhard.de/wikiling/?f=got&page=109 , ɡɪra, ɡɪra, CVCV"
"kera, CVCV, 214, 13011, N, , 11.0, news, Nachrichten, hír",kera,kera,"gira, Wort, , , https://koeblergerhard.de/wikiling/?f=got&page=109 , ɡɪra, ɡɪra, CVCV"
"kojɜ, CVCV, 232, 13036, V, , 11.25, think, glauben, hisz",kojɜ,kojɜ,"gauja, M., Gaubewohner, inhabitant of a region, people of a country, https://koeblergerhard.de/wikiling/?f=got&page=105 , ɡɔja, ɡɔja, CVCV"
"koja, CVCV, 233, 13037, V, , 11.25, think, glauben, hisz",koja,koja,"gauja, M., Gaubewohner, inhabitant of a region, people of a country, https://koeblergerhard.de/wikiling/?f=got&page=105 , ɡɔja, ɡɔja, CVCV"
"kȣjɜ, CVCV, 240, 13044, V, , 11.0, think, glauben, hisz",kȣjɜ,kȣjɜ,"gauja, M., Gaubewohner, inhabitant of a region, people of a country, https://koeblergerhard.de/wikiling/?f=got&page=105 , ɡɔja, ɡɔja, CVCV"
"kȣja, CVCV, 241, 13045, V, , 11.0, think, glauben, hisz",kȣja,kȣja,"gauja, M., Gaubewohner, inhabitant of a region, people of a country, https://koeblergerhard.de/wikiling/?f=got&page=105 , ɡɔja, ɡɔja, CVCV"
"märɜ, CVCV, 342, 18657, N, , 5.25, cream, Heilkrem, ír",mærɜ,mærɜ,"baira, M., Bär (M.) (1), bear (N.), https://koeblergerhard.de/wikiling/?f=got&page=34 , bɛra, bɛra, CVCV"
"mära, CVCV, 343, 18658, N, , 5.25, cream, Heilkrem, ír",mæra,mæra,"baira, M., Bär (M.) (1), bear (N.), https://koeblergerhard.de/wikiling/?f=got&page=34 , bɛra, bɛra, CVCV"
"kune, CVCV, 370, 20351, N, , 8.0, bore, Eber, kan",kune,kune,"kuni, N., Geschlecht, Stamm, clan, tribe, race (N.), blood stock, generation, https://koeblergerhard.de/wikiling/?f=got&page=146 , kunɪ, kunɪ, CVCV"
"kone, CVCV, 401, 27094, V, , 7.25, lubricate, einschmieren, ken",kone,kone,"koni, Adj., kühn, bold, https://koeblergerhard.de/wikiling/?f=got&page=144 , konɪ, konɪ, CVCV"
"kunɜ, CVCV, 372, 20353, N, , 7.25, bore, Eber, kan",kunɜ,kunɜ,"kuni, N., Geschlecht, Stamm, clan, tribe, race (N.), blood stock, generation, https://koeblergerhard.de/wikiling/?f=got&page=146 , kunɪ, kunɪ, CVCV"
"kȣne, CVCV, 374, 20355, N, , 7.25, bore, Eber, kan",kȣne,kȣne,"kuni, N., Geschlecht, Stamm, clan, tribe, race (N.), blood stock, generation, https://koeblergerhard.de/wikiling/?f=got&page=146 , kunɪ, kunɪ, CVCV"
"konɜ, CVCV, 405, 27098, V, , 6.5, lubricate, einschmieren, ken",konɜ,konɜ,"koni, Adj., kühn, bold, https://koeblergerhard.de/wikiling/?f=got&page=144 , konɪ, konɪ, CVCV"
"kɜne, CVCV, 377, 20358, N, , 6.75, bore, Eber, kan",kɜne,kɜne,"kuni, N., Geschlecht, Stamm, clan, tribe, race (N.), blood stock, generation, https://koeblergerhard.de/wikiling/?f=got&page=146 , kunɪ, kunɪ, CVCV"
"kȣnɜ, CVCV, 379, 20360, N, , 6.5, bore, Eber, kan",kȣnɜ,kȣnɜ,"kuni, N., Geschlecht, Stamm, clan, tribe, race (N.), blood stock, generation, https://koeblergerhard.de/wikiling/?f=got&page=146 , kunɪ, kunɪ, CVCV"
"kɜnɜ, CVCV, 381, 20362, N, , 6.0, bore, Eber, kan",kɜnɜ,kɜnɜ,"kuni, N., Geschlecht, Stamm, clan, tribe, race (N.), blood stock, generation, https://koeblergerhard.de/wikiling/?f=got&page=146 , kunɪ, kunɪ, CVCV"
"känɜ, CVCV, 423, 27116, N, , 6.0, sulfur, Schwefel, kén",kænɜ,kænɜ,"gaida, F., Speerspitze, spearhead, https://koeblergerhard.de/wikiling/?f=got&page=89 , ɡɛda, ɡɛda, CVCV"
"käna, CVCV, 424, 27117, N, , 6.0, sulfur, Schwefel, kén",kæna,kæna,"gaida, F., Speerspitze, spearhead, https://koeblergerhard.de/wikiling/?f=got&page=89 , ɡɛda, ɡɛda, CVCV"
"kɜrɜ, CVCV, 443, 27432, N, , 5.75, horn, Horn, kürt",kɜrɜ,kɜrɜ,"kaurei, F., Schwere, Fülle, Last, weight (N.), weightiness, heaviness, load (N.), https://koeblergerhard.de/wikiling/?f=got&page=142 , kɔri, kɔri, CVCV"
"kɜra, CVCV, 444, 27433, N, , 5.75, horn, Horn, kürt",kɜra,kɜra,"kara, F., Sorge, care (N.), worry (N.), concern (N.), https://koeblergerhard.de/wikiling/?f=got&page=141 , kara, kara, CVCV"
"kärɜ, CVCV, 445, 27434, N, , 5.75, horn, Horn, kürt",kærɜ,kærɜ,"gairu, N., , , https://koeblergerhard.de/wikiling/?f=got&page=90 , ɡɛru, ɡɛru, CVCV"
"karɜ, CVCV, 447, 27436, N, , 5.75, horn, Horn, kürt",karɜ,karɜ,"kara, F., Sorge, care (N.), worry (N.), concern (N.), https://koeblergerhard.de/wikiling/?f=got&page=141 , kara, kara, CVCV"
"kara, CVCV, 448, 27437, N, , 5.75, horn, Horn, kürt",kara,kara,"kara, F., Sorge, care (N.), worry (N.), concern (N.), https://koeblergerhard.de/wikiling/?f=got&page=141 , kara, kara, CVCV"
"k¨rɜ, CVCV, 449, 27438, N, , 5.75, horn, Horn, kürt",k¨rɜ,k¨rɜ,"kara, F., Sorge, care (N.), worry (N.), concern (N.), https://koeblergerhard.de/wikiling/?f=got&page=141 , kara, kara, CVCV"
"k¨ra, CVCV, 450, 27439, N, , 5.75, horn, Horn, kürt",k¨ra,k¨ra,"kara, F., Sorge, care (N.), worry (N.), concern (N.), https://koeblergerhard.de/wikiling/?f=got&page=141 , kara, kara, CVCV"
"mine, CVCV, 456, 31393, N, , 9.0, stallions, Hengste, mén",mine,mine,"mine, M., , , https://koeblergerhard.de/wikiling/?f=got&page=167 , mɪne, mɪne, CVCV"
"mene, CVCV, 457, 31394, N, , 9.0, stallions, Hengste, mén",mene,mene,"mine, M., , , https://koeblergerhard.de/wikiling/?f=got&page=167 , mɪne, mɪne, CVCV"
"minɜ, CVCV, 458, 31395, N, , 8.25, stallions, Hengste, mén",minɜ,minɜ,"mine, M., , , https://koeblergerhard.de/wikiling/?f=got&page=167 , mɪne, mɪne, CVCV"
"mina, CVCV, 459, 31396, N, , 8.25, stallions, Hengste, mén",mina,mina,"bida, F., Bitte, Gebet, Aufforderung, request (N.), supplication, prayer, demand (N.), entreaty, exhortation, https://koeblergerhard.de/wikiling/?f=got&page=41 , bɪda, bɪda, CVCV"
"menɜ, CVCV, 460, 31397, N, , 8.25, stallions, Hengste, mén",menɜ,menɜ,"mine, M., , , https://koeblergerhard.de/wikiling/?f=got&page=167 , mɪne, mɪne, CVCV"
"mena, CVCV, 461, 31398, N, , 8.25, stallions, Hengste, mén",mena,mena,"mena, M., Mond, moon, https://koeblergerhard.de/wikiling/?f=got&page=165 , mena, mena, CVCV"
"mänɜ, CVCV, 463, 31400, N, , 7.5, stallions, Hengste, mén",mænɜ,mænɜ,"mainei, F., , , https://koeblergerhard.de/wikiling/?f=got&page=159 , mɛni, mɛni, CVCV"
"mäsɜ, CVCV, 482, 31419, N, , 7.5, lime, Kalk, mész",mæsɜ,mæsɜ,"maizo, N., Adv., mehr, more, https://koeblergerhard.de/wikiling/?f=got&page=160 , mɛzo, mɛzo, CVCV"
"mäsa, CVCV, 483, 31420, N, , 7.5, lime, Kalk, mész",mæsa,mæsa,"maiza, Adj., Adj., größere, greater, larger, https://koeblergerhard.de/wikiling/?f=got&page=160 , mɛza, mɛza, CVCV"
"nɜsɜ, CVCV, 506, 32411, N, , 5.5, honeymoon, Flitterwochen, nász",nɜsɜ,nɜsɜ,"deisei, F., Schlauheit, craftiness, cunning (N.), https://koeblergerhard.de/wikiling/?f=got&page=54 , disi, disi, CVCV"
"nemɜ, CVCV, 520, 33681, N, , 5.75, sex, Geschlecht, nem",nemɜ,nemɜ,"niba, Pron., Konj., , , https://koeblergerhard.de/wikiling/?f=got&page=175 , nɪba, nɪba, CVCV"
"nema, CVCV, 521, 33682, N, , 5.75, sex, Geschlecht, nem",nema,nema,"niba, Pron., Konj., , , https://koeblergerhard.de/wikiling/?f=got&page=175 , nɪba, nɪba, CVCV"
"n¨mɜ, CVCV, 522, 33687, N, , 5.75, sex, Geschlecht, nem",n¨mɜ,n¨mɜ,"niba, Pron., Konj., , , https://koeblergerhard.de/wikiling/?f=got&page=175 , nɪba, nɪba, CVCV"
"n¨ma, CVCV, 523, 33688, N, , 5.75, sex, Geschlecht, nem",n¨ma,n¨ma,"niba, Pron., Konj., , , https://koeblergerhard.de/wikiling/?f=got&page=175 , nɪba, nɪba, CVCV"
"nomɜ, CVCV, 524, 33693, N, , 5.5, sex, Geschlecht, nem",nomɜ,nomɜ,"daubei, F., Taubheit, Verhärtung, Verstocktheit, stubbornness, insensitivity, insensibility, numbness, https://koeblergerhard.de/wikiling/?f=got&page=52 , dɔbi, dɔbi, CVCV"
"nemä, CVCV, 528, 33705, N, , 3.25, sex, Geschlecht, nem",nemæ,nemæ,"nibai, Pron., Konj., doch nicht etwa, wenn nicht, es sei denn dass, ausgenommen, not possibly, unless, except (Konj.), if not, but not in the case, https://koeblergerhard.de/wikiling/?f=got&page=175 , nɪbɛ, nɪbɛ, CVCV"
"n¨mä, CVCV, 529, 33708, N, , 3.25, sex, Geschlecht, nem",n¨mæ,n¨mæ,"nibai, Pron., Konj., doch nicht etwa, wenn nicht, es sei denn dass, ausgenommen, not possibly, unless, except (Konj.), if not, but not in the case, https://koeblergerhard.de/wikiling/?f=got&page=175 , nɪbɛ, nɪbɛ, CVCV"
"nuwɜ, CVCV, 560, 33776, N, , 5.5, flock, Herde, nyáj",nuwɜ,nuwɜ,"dubo, F., Taube, pigeon, dove, https://koeblergerhard.de/wikiling/?f=got&page=58 , dubo, dubo, CVCV"
"nɜwɜ, CVCV, 564, 33782, N, , 5.5, flock, Herde, nyáj",nɜwɜ,nɜwɜ,"niba, Pron., Konj., , , https://koeblergerhard.de/wikiling/?f=got&page=175 , nɪba, nɪba, CVCV"
"nɜwa, CVCV, 565, 33783, N, , 5.5, flock, Herde, nyáj",nɜwa,nɜwa,"niba, Pron., Konj., , , https://koeblergerhard.de/wikiling/?f=got&page=175 , nɪba, nɪba, CVCV"
"nɜwä, CVCV, 578, 33810, N, , 3.0, flock, Herde, nyáj",nɜwæ,nɜwæ,"nibai, Pron., Konj., doch nicht etwa, wenn nicht, es sei denn dass, ausgenommen, not possibly, unless, except (Konj.), if not, but not in the case, https://koeblergerhard.de/wikiling/?f=got&page=175 , nɪbɛ, nɪbɛ, CVCV"
"sisɜ, CVCV, 622, 34182, Adj, , 6.5, grey-haired, grauhaarig, ősz",sisɜ,sisɜ,"sisi, Sb., Totenklage?, lamentation of the dead?, https://koeblergerhard.de/wikiling/?f=got&page=198 , sɪsɪ, sɪsɪ, CVCV"
"mitɜ, CVCV, 668, 34237, N, , 5.5, deer, Reh, őz",mitɜ,mitɜ,"bida, F., Bitte, Gebet, Aufforderung, request (N.), supplication, prayer, demand (N.), entreaty, exhortation, https://koeblergerhard.de/wikiling/?f=got&page=41 , bɪda, bɪda, CVCV"
"mita, CVCV, 669, 34238, N, , 5.5, deer, Reh, őz",mita,mita,"bida, F., Bitte, Gebet, Aufforderung, request (N.), supplication, prayer, demand (N.), entreaty, exhortation, https://koeblergerhard.de/wikiling/?f=got&page=41 , bɪda, bɪda, CVCV"
"tɜδe, CVCV, 809, 52863, V, , 9.0, push, schieben, tol",tɜðe,tɜðe,"duþe, Konj., Adv., deshalb, deswegen, weil, damit, dazu, darum dass, therefore, to this end, for this reason, for this purpose, wherefore, because, o>>>, https://koeblergerhard.de/wikiling/?f=got&page=59 , duθe, duθe, CVCV"
"tuδe, CVCV, 815, 52869, V, , 8.5, push, schieben, tol",tuðe,tuðe,"duþe, Konj., Adv., deshalb, deswegen, weil, damit, dazu, darum dass, therefore, to this end, for this reason, for this purpose, wherefore, because, o>>>, https://koeblergerhard.de/wikiling/?f=got&page=59 , duθe, duθe, CVCV"
"tomɜ, CVCV, 824, 52882, V, , 8.25, push, schieben, tol",tomɜ,tomɜ,"daubei, F., Taubheit, Verhärtung, Verstocktheit, stubbornness, insensitivity, insensibility, numbness, https://koeblergerhard.de/wikiling/?f=got&page=52 , dɔbi, dɔbi, CVCV"
"tɜδɜ, CVCV, 830, 52890, V, , 8.25, push, schieben, tol",tɜðɜ,tɜðɜ,"duþe, Konj., Adv., deshalb, deswegen, weil, damit, dazu, darum dass, therefore, to this end, for this reason, for this purpose, wherefore, because, o>>>, https://koeblergerhard.de/wikiling/?f=got&page=59 , duθe, duθe, CVCV"
"tɜmɜ, CVCV, 837, 52898, V, , 8.0, push, schieben, tol",tɜmɜ,tɜmɜ,"dubo, F., Taube, pigeon, dove, https://koeblergerhard.de/wikiling/?f=got&page=58 , dubo, dubo, CVCV"
"tumɜ, CVCV, 841, 52903, V, , 7.75, push, schieben, tol",tumɜ,tumɜ,"dubo, F., Taube, pigeon, dove, https://koeblergerhard.de/wikiling/?f=got&page=58 , dubo, dubo, CVCV"
"tuδɜ, CVCV, 843, 52905, V, , 7.75, push, schieben, tol",tuðɜ,tuðɜ,"duþe, Konj., Adv., deshalb, deswegen, weil, damit, dazu, darum dass, therefore, to this end, for this reason, for this purpose, wherefore, because, o>>>, https://koeblergerhard.de/wikiling/?f=got&page=59 , duθe, duθe, CVCV"
"sune, CVCV, 919, 53957, V, , 7.5, be tired of, be fed up, überdrüssig sein, etwas satt haben, un",sune,sune,"sune, F., , , https://koeblergerhard.de/wikiling/?f=got&page=214 , sune, sune, CVCV"
"sunɜ, CVCV, 922, 53960, V, , 6.75, be tired of, be fed up, überdrüssig sein, etwas satt haben, un",sunɜ,sunɜ,"sune, F., , , https://koeblergerhard.de/wikiling/?f=got&page=214 , sune, sune, CVCV"
"sonɜ, CVCV, 932, 53971, V, , 6.0, be tired of, be fed up, überdrüssig sein, etwas satt haben, un",sonɜ,sonɜ,"sona, F., Sühne, atonement, expiation, https://koeblergerhard.de/wikiling/?f=got&page=207 , sona, sona, CVCV"
"sona, CVCV, 933, 53972, V, , 6.0, be tired of, be fed up, überdrüssig sein, etwas satt haben, un",sona,sona,"sona, F., Sühne, atonement, expiation, https://koeblergerhard.de/wikiling/?f=got&page=207 , sona, sona, CVCV"
"monɜ, CVCV, 935, 53974, V, , 5.5, be tired of, be fed up, überdrüssig sein, etwas satt haben, un",monɜ,monɜ,"modei, F., , , https://koeblergerhard.de/wikiling/?f=got&page=170 , modi, modi, CVCV"
"wate, CVCV, 947, 54563, N, , 7.5, scarecrow, Vogelscheuche, Popanz, váz",wate,wate,"wadi, N., Pfand, pledge (N.), surety, financial commitment, guarantee, https://koeblergerhard.de/wikiling/?f=got&page=260 , wadɪ, wadɪ, CVCV"
"wɜte, CVCV, 948, 54564, N, , 7.25, scarecrow, Vogelscheuche, Popanz, váz",wɜte,wɜte,"witi, N., Wissen, knowledge, https://koeblergerhard.de/wikiling/?f=got&page=275 , wɪtɪ, wɪtɪ, CVCV"
"watɜ, CVCV, 955, 54571, N, , 6.75, scarecrow, Vogelscheuche, Popanz, váz",watɜ,watɜ,"wato, N., Wasser, water (N.), https://koeblergerhard.de/wikiling/?f=got&page=267 , wato, wato, CVCV"
"wata, CVCV, 956, 54572, N, , 6.75, scarecrow, Vogelscheuche, Popanz, váz",wata,wata,"fata, F., Umfassung, Kleiderbündel, Fetzen, fat (N.) (2), scrap (N.), rag (N.), https://koeblergerhard.de/wikiling/?f=got&page=65 , fata, fata, CVCV"
"wɜtɜ, CVCV, 957, 54573, N, , 6.5, scarecrow, Vogelscheuche, Popanz, váz",wɜtɜ,wɜtɜ,"witi, N., Wissen, knowledge, https://koeblergerhard.de/wikiling/?f=got&page=275 , wɪtɪ, wɪtɪ, CVCV"
"wɜta, CVCV, 958, 54574, N, , 6.5, scarecrow, Vogelscheuche, Popanz, váz",wɜta,wɜta,"wita, Adj., wissend, knowing (Adj.), https://koeblergerhard.de/wikiling/?f=got&page=275 , wɪta, wɪta, CVCV"
"were, CVCV, 969, 54585, V, , 7.25, beat, beat up, prügeln, schlagen, ver",were,were,"bere, M., , , https://koeblergerhard.de/wikiling/?f=got&page=40 , bere, bere, CVCV"
"w¨re, CVCV, 970, 54587, V, , 7.25, beat, beat up, prügeln, schlagen, ver",w¨re,w¨re,"bere, M., , , https://koeblergerhard.de/wikiling/?f=got&page=40 , bere, bere, CVCV"
"werɜ, CVCV, 973, 54593, V, , 6.5, beat, beat up, prügeln, schlagen, ver",werɜ,werɜ,"werei, F., , , https://koeblergerhard.de/wikiling/?f=got&page=271 , weri, weri, CVCV"
"wera, CVCV, 974, 54594, V, , 6.5, beat, beat up, prügeln, schlagen, ver",wera,wera,"fera, F., Seite, Gegend, Glied, Körperteil, side (N.), collateral part, adjacent section, district bordering a sea, maritime>>>, https://koeblergerhard.de/wikiling/?f=got&page=69 , fera, fera, CVCV"
"w¨rɜ, CVCV, 975, 54597, V, , 6.5, beat, beat up, prügeln, schlagen, ver",w¨rɜ,w¨rɜ,"werei, F., , , https://koeblergerhard.de/wikiling/?f=got&page=271 , weri, weri, CVCV"
"w¨ra, CVCV, 976, 54598, V, , 6.5, beat, beat up, prügeln, schlagen, ver",w¨ra,w¨ra,"wara, Wort, , , https://koeblergerhard.de/wikiling/?f=got&page=266 , wara, wara, CVCV"
"worɜ, CVCV, 977, 54601, V, , 6.25, beat, beat up, prügeln, schlagen, ver",worɜ,worɜ,"faura, Präp., Adv., V., vor (räuml.), vor- (Verbalpräf.), für, vorn, längs, vorher, ahead, before, in front, previously, formerly, once, beforehand, heretofore, hit>>>, https://koeblergerhard.de/wikiling/?f=got&page=66 , fɔra, fɔra, CVCV"
"wora, CVCV, 978, 54602, V, , 6.25, beat, beat up, prügeln, schlagen, ver",wora,wora,"faura, Präp., Adv., V., vor (räuml.), vor- (Verbalpräf.), für, vorn, längs, vorher, ahead, before, in front, previously, formerly, once, beforehand, heretofore, hit>>>, https://koeblergerhard.de/wikiling/?f=got&page=66 , fɔra, fɔra, CVCV"
"wärɜ, CVCV, 979, 54605, V, , 6.25, beat, beat up, prügeln, schlagen, ver",wærɜ,wærɜ,"waira, , , , https://koeblergerhard.de/wikiling/?f=got&page=263 , wɛra, wɛra, CVCV"
