Old,New,V_cng,Count,all_examples
*ȣ,o³,*ȣ>o³, 4,"*pȣlɜ>foly, *rȣkkɜ>rokkan, *tȣmpɜ>domb, *tȣmpɜ>dob, "
*a,o³,*a>o³, 3,"*alama  >alom, *ńalɜ>nyolc, *sawɜ>szó, "
*æ,ɛ¹,*æ>ɛ¹, 3,"*älɜ >Erdély, *äppɜrɜkɜ>epër, *ättɜ  >edz, "
*ɜ,ɛ²,*ɜ>ɛ², 3,"*mańćɜ>mese, *p¨kkɜttɜ>fekete, *w¨ćɜ>vese, "
*o,o¹,*o>o¹, 2,"*oćtɜrɜ>ostor, *oŋtɜ >oldal, "
*a,∅²,*a>∅², 2,"*alama  >alom, *ϑarańa>arany, "
*a,a¹,*a>a¹, 2,"*ańćɜ>ágyék, *ϑarɜ>ár, "
*e,ø³,*e>ø³, 2,"*čettɜ>sötét, *pentɜlɜ>födél, "
*ȣ,ɒ¹,*ȣ>ɒ¹, 2,"*ϑȣkkɜ>akad, *ȣjɜ>ajtó, "
*i,y¹,*i>y¹, 2,"*iśɜ  >üsző, *itɜ>űz, "
*a,i³,*a>i³, 2,"*katɜ>híz, *tajɜttɜ>titok, "
*ɜ,u³,*ɜ>u³, 2,"*kottɜŋɜ>hattyú, *sȣŋɜ>száguld, "
*∅,ɛ³,*∅>ɛ³, 2,"*k¨ćɜ >kesered, *mećɜ>meztelen, "
*ɜ,y³,*ɜ>y³, 2,"*menɜ>mënyül, *sȣjɜ >szédül, "
*ɜ,o²,*ɜ>o², 2,"*m¨lɜ>méltó, *ȣjɜ>ajtó, "
*∅,u²,*∅>u², 1,"*čawɜ>savanyú, "
*a,∅³,*a>∅³, 1,"*kuntalɜ>hall, "
*¨,y³,*¨>y³, 1,"*k¨śɜ>küzd, "
*¨,i³,*¨>i³, 1,"*ń¨rɜ>nyír, "
*a,e¹,*a>e¹, 1,"*śakkɜ >szaka, "
*∅,ɒ²,*∅>ɒ², 1,"*śakkɜ >szaka, "
*a,u¹,*a>u¹, 1,"*aktɜ>utál, "
*a,o¹,*a>o¹, 1,"*alɜ >olt, "
*ɜ,ɒ²,*ɜ>ɒ², 1,"*arɜ >ara, "
*a,i¹,*a>i¹, 1,"*arɜ >iránt, "
*æ,i¹,*æ>i¹, 1,"*äjɜ>i, "
*æ,e¹,*æ>e¹, 1,"*ämpɜ  >ëb, "
*e,y³,*e>y³, 1,"*čeppɜ>süpped, "
*ȣ,a¹,*ȣ>a¹, 1,"*ϑȣćɜ>áz, "
*e,i¹,*e>i¹, 1,"*eŋkɜrɜ>ígér, "
*ɜ,ø²,*ɜ>ø², 1,"*iśɜ  >üsző, "
*o,o³,*o>o³, 1,"*jomɜ  >jó, "
*¨,i¹,*¨>i¹, 1,"*j¨tɜ>íz, "
*e,i³,*e>i³, 1,"*kećɜ>kísér, "
*i,i²,*i>i², 1,"*ki >ki, "
*o,ɒ³,*o>ɒ³, 1,"*kottɜŋɜ>hattyú, "
*ɜ,y²,*ɜ>y², 1,"*k¨nɜ>könnyű, "
*ɜ,ø³,*ɜ>ø³, 1,"*k¨sɜ>köszörül, "
*∅,y³,*∅>y³, 1,"*k¨sɜ>köszörül, "
*a,ɛ³,*a>ɛ³, 1,"*mańćɜ>mese, "
*¨,e³,*¨>e³, 1,"*m¨lɜ>méltó, "
*æ,ø³,*æ>ø³, 1,"*säγɜrɜ>szőr, "
*ȣ,e³,*ȣ>e³, 1,"*sȣjɜ >szédül, "
*ɜ,i³,*ɜ>i³, 1,"*täkkɜ>tekint, "
*u,a³,*u>a³, 1,"*tultɜ>táltos, "
*y,y³,*y>y³, 1,"*tüγɜtɜ>tűz, "
