#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung,link
42,*afēts?,got,Adj.,"essbar?, fresserisch","voracious in eating, gluttonish",https://koeblergerhard.de/wikiling/?f=got&page=3
43,affilhan* 1,got,V.,verbergen,"hide from, conceal from",https://koeblergerhard.de/wikiling/?f=got&page=3
44,afgaggan* 5,got,V.,"weggehen von, weggehen, weichen (V.) (2)","go away, leave (V.), depart (V.)",https://koeblergerhard.de/wikiling/?f=got&page=3
45,afgiban* sik 1,got,V.,"sich wegbegeben, sich hinwegbegeben, sich fortbegeben","give o.s. away, separate (V.)",https://koeblergerhard.de/wikiling/?f=got&page=3
46,afgrundiþa* 2,got,F.,Abgrund,abyss,https://koeblergerhard.de/wikiling/?f=got&page=3
47,*afgrundus?,got,Adj.,abgründig,bottomless,https://koeblergerhard.de/wikiling/?f=got&page=3
48,afgudei* 2,got,F.,Gottlosigkeit,"ungodliness, irreligiosity, impiety",https://koeblergerhard.de/wikiling/?f=got&page=3
49,afguþs* 3,got,Adj.,"abgöttisch, gottlos","godless, irreligious, impious",https://koeblergerhard.de/wikiling/?f=got&page=3
50,afhaban* (sik) 1,got,V.,sich enthalten,"abstain, withhold o.s.",https://koeblergerhard.de/wikiling/?f=got&page=3
51,"afhaimeis* 2, afhaimis*, afhaims*",got,Adj.,"der Heimat fern, abwesend","absent from home, absent, away from home",https://koeblergerhard.de/wikiling/?f=got&page=3
52,afhaimis*,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=3
53,afhaims*,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=3
54,afhamōn 1,got,V.,"die Bekleidung ablegen, ausziehen, sich entkleiden","get undressed, shed as clothing, strip off as clothing, doff",https://koeblergerhard.de/wikiling/?f=got&page=3
55,afhlaþan* 1,got,V.,beladen (V.),"burden (V.), load down, lade down",https://koeblergerhard.de/wikiling/?f=got&page=3
56,afhōlōn* 1,got,V.,"übervorteilen, betrügen",extort from by false allegation,https://koeblergerhard.de/wikiling/?f=got&page=3
57,afhrainjan 1,got,V.,"etwas Verunreinigendes tilgen, reinigen","cleanse away, wipe out",https://koeblergerhard.de/wikiling/?f=got&page=3
58,afhrisjan* 2,got,V.,abschütteln,shake off,https://koeblergerhard.de/wikiling/?f=got&page=3
59,afhugjan* 1,got,V.,bezaubern,"lead astray the understanding of, bewitch",https://koeblergerhard.de/wikiling/?f=got&page=3
60,afƕapjan 5,got,V.,"ersticken, auslöschen","choke (V.), extinguish, asphyxiate, suffocate",https://koeblergerhard.de/wikiling/?f=got&page=3
61,afƕapnan* 6,got,V.,"ersticken, erlöschen","choke (V.), be suffocated, become suffocated",https://koeblergerhard.de/wikiling/?f=got&page=4
62,*afitan?,got,V.,"verschlingen, fressen","devour, eat voraciously",https://koeblergerhard.de/wikiling/?f=got&page=4
63,aflageins* 1,got,F.,"Ablegung, Erlass, Vergebung","forgiveness, laying aside, remission, absolution",https://koeblergerhard.de/wikiling/?f=got&page=4
64,aflagjan 5,got,V.,etwas ablegen,"put off, lay off away, lay down, lay aside",https://koeblergerhard.de/wikiling/?f=got&page=4
65,afleiþan* 14,got,V.,"weggehen, entweichen, verreisen, fortgehen","go away, depart (V.), leave (V.)",https://koeblergerhard.de/wikiling/?f=got&page=4
66,aflēt* 3,got,N.,"Erlass, Vergebung","indulgence, letting off, forgiveness, pardon (N.)",https://koeblergerhard.de/wikiling/?f=got&page=4
67,aflētan 53,got,V.,"entlassen (V.), fortschicken, aufgeben, eine Schuld erlassen (V.), vergeben (V.)>>>","let off, let go, leave (V.), relinquish, remit, absolve, release (V.), forgive",https://koeblergerhard.de/wikiling/?f=got&page=4
68,aflifnan* 8,got,V.,übrigbleiben,"be left, become left, be left over, remain (V.)",https://koeblergerhard.de/wikiling/?f=got&page=4
69,aflinnan* 1,got,V.,"weggehen, fortgehen","leave off, go away, cease from, let up",https://koeblergerhard.de/wikiling/?f=got&page=4
70,afmaitan* 8,got,V.,"abhauen, abschneiden","cut off, sever, amputate, chop off, behead",https://koeblergerhard.de/wikiling/?f=got&page=4
71,afmarzeins 2,got,F.,Betrug,"deception, deceitfulness, delusive seduction",https://koeblergerhard.de/wikiling/?f=got&page=4
72,afmarzjan* 2,got,V.,"Ärgernis nehmen (= Pass.), sich ärgern","make deviate by obstructing, snare astray, thwart by deflecting, take offence",https://koeblergerhard.de/wikiling/?f=got&page=4
73,afmáuiþs* 2=1,got,"V., Adj.",ermüdet,"weary (Adj.), debilitated, tired out, fatigued",https://koeblergerhard.de/wikiling/?f=got&page=4
74,afmáujan*,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=4
75,"afmōjan*, afmaujan*",got,V.,ermüden,"tire out, fatigue (V.)",https://koeblergerhard.de/wikiling/?f=got&page=4
76,afniman 15,got,V.,"wegnehmen, abnehmen","take away, remove (V.), withdraw",https://koeblergerhard.de/wikiling/?f=got&page=4
77,afqiþan* 1,got,V.,"verzichten auf, entsagen","renounce (V.), foreswear",https://koeblergerhard.de/wikiling/?f=got&page=4
78,afsateins* 1,got,F.,"Absetzung, Entlassung, Verabschiedung, Scheidung","setting aside (N.), divorce (N.)",https://koeblergerhard.de/wikiling/?f=got&page=4
79,afsatjan 3,got,V.,"absetzen, entlassen (V.)","dismiss, remove (V.), put away, set aside, set off, divorce (V.)",https://koeblergerhard.de/wikiling/?f=got&page=4
80,afskaidan 6,got,V.,"„abscheiden“, absondern, abtrennen, trennen","separate off, sever, sunder (V.), divide",https://koeblergerhard.de/wikiling/?f=got&page=4
81,afskiuban* 2,got,V.,"verstoßen (V.), von sich wegstoßen, abschieben, von sich schieben, entfernen","reject (V.), repulse (V.), shove away, thrust away",https://koeblergerhard.de/wikiling/?f=got&page=5
82,afslahan* 5=4,got,V.,"abschlagen, abhauen, erschlagen (V.)","hew off, slay, strike dead, strike off, cut off, kill (V.)",https://koeblergerhard.de/wikiling/?f=got&page=5
83,afslaupjan* 1,got,V.,"abstreifen, ablegen","let slide off, make slip off, put off",https://koeblergerhard.de/wikiling/?f=got&page=5
84,afslauþjan* 2,got,V.,"in Angst versetzen, in Sorge sein (V.), ängstigen","perturb, frighten, dumbfound (V.), scare (V.), silence off, make speechless",https://koeblergerhard.de/wikiling/?f=got&page=5
85,afslauþnan 3,got,V.,"erschrecken, sich entsetzen","be amazed, be dumbfounded, become dumbfounded, be silenced off, become silenced >>>",https://koeblergerhard.de/wikiling/?f=got&page=5
86,afsneiþan*,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=5
87,afstandan* 7,got,V.,"abstehen, ablassen, abfallen","dissociate o.s., go away, stay away, fall off",https://koeblergerhard.de/wikiling/?f=got&page=5
88,afstass 2,got,F.,"Abfall, Scheidung","dissociation, separation, divorce (N.)",https://koeblergerhard.de/wikiling/?f=got&page=5
89,afswaggwjan* 1,got,V.,"schwankend machen?, ängstlich machen","make anxious, make sway away from, cause to waver",https://koeblergerhard.de/wikiling/?f=got&page=5
90,afswaírban* 1,got,V.,"abwischen, auslöschen","wipe away, wipe out",https://koeblergerhard.de/wikiling/?f=got&page=5
91,afta 1,got,Adv.,hinten,behind,https://koeblergerhard.de/wikiling/?f=got&page=5
92,aftana 1,got,Adv.,von hinten,from behind,https://koeblergerhard.de/wikiling/?f=got&page=5
93,aftaraanastōdeins*,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=5
94,*aftarō 3,got,Adv.,"von hinten, hinten","in back of, from behind",https://koeblergerhard.de/wikiling/?f=got&page=5
95,aftaúrnan* 1,got,V.,abreißen,"tear off, be torn off, become torn off",https://koeblergerhard.de/wikiling/?f=got&page=5
96,aftiuhan 2,got,V.,"wegziehen, abziehen, fortziehen","draw off away, pull away, lead away",https://koeblergerhard.de/wikiling/?f=got&page=5
97,"aftra 102=101, afta",got,Adv.,"wieder, zurück, rückwärts, wiederum, abermals","again, back (Adv.), backwards, once more",https://koeblergerhard.de/wikiling/?f=got&page=5
98,"aftraanastōdeins* 1, aftaraanastōdeins*",got,F.,"Wiederanfang, Wiedererneuerung","regeneration, regenesis, revival",https://koeblergerhard.de/wikiling/?f=got&page=5
99,*aftragasatjan?,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=5
100,aftuma* 1,got,"Adj., Adj.","letzte, hintere","aftermost, hindmost, last of two parties",https://koeblergerhard.de/wikiling/?f=got&page=5
101,aftumists 5,got,"Adj., Adj.",letzte,"endmost, final (Adj.), the very last",https://koeblergerhard.de/wikiling/?f=got&page=6
102,afþaúrsiþs,got,"V., Adj.",,,https://koeblergerhard.de/wikiling/?f=got&page=6
103,afþaúrsjan* 2,got,V.,"dursten, verdursten, durstig sein (V.)","dessicate, afflict with thirst",https://koeblergerhard.de/wikiling/?f=got&page=6
104,afþliuhan* 1,got,V.,"wegfliehen, fliehen","flee off, run away in flight, escape (V.)",https://koeblergerhard.de/wikiling/?f=got&page=6
105,afþwahan 3,got,V.,"sich abwaschen, waschen, sich waschen","lave off, wash off, wash o.s. off",https://koeblergerhard.de/wikiling/?f=got&page=6
106,afurdags*,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=6
107,afwagjan* 1,got,V.,"bewegen, abbringen","make fluctuate away from, make waver away from, remove (V.)",https://koeblergerhard.de/wikiling/?f=got&page=6
108,afwaírpan 4,got,V.,"etwas wegwerfen, weichen (= Pass.), weggenommen werden (= Pass.), fortwerfen","cast aside, throw off",https://koeblergerhard.de/wikiling/?f=got&page=6
109,afwalwjan* 2,got,V.,wegwälzen,"remove by rolling, roll away",https://koeblergerhard.de/wikiling/?f=got&page=6
110,afwandjan 7,got,V.,"abwenden, vermeiden","turn aside, make turn away from",https://koeblergerhard.de/wikiling/?f=got&page=6
111,*agan?,got,V.,sich fürchten,be afraid of,https://koeblergerhard.de/wikiling/?f=got&page=6
112,*agands?,got,"V., Adj.",furchtsam,fearful,https://koeblergerhard.de/wikiling/?f=got&page=6
113,*agatja?,got,F.,Elster,magpie,https://koeblergerhard.de/wikiling/?f=got&page=6
114,*agei?,got,F.,"Furchtsamkeit, Ängstlichkeit",timidity,https://koeblergerhard.de/wikiling/?f=got&page=6
115,*agga?,got,M.,Enge,narrowness,https://koeblergerhard.de/wikiling/?f=got&page=6
116,*Aggils?,got,M.,Angel (M.),Angle,https://koeblergerhard.de/wikiling/?f=got&page=6
117,aggilus 39,got,M.,"Engel, Bote",angel,https://koeblergerhard.de/wikiling/?f=got&page=6
118,*aggwei?,got,F.,"Enge, Einschränkung","narrowness, restriction",https://koeblergerhard.de/wikiling/?f=got&page=6
119,*aggweins?,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=6
120,aggwiþa 5,got,F.,"„Enge“, Bedrängnis","affliction, trouble (N.), plight, anxiety, distress (N.)",https://koeblergerhard.de/wikiling/?f=got&page=6
121,*aggwjan?,got,V.,"bedrängen, beengen, engen","constrain (V.), cramp completely",https://koeblergerhard.de/wikiling/?f=got&page=7
122,aggwus* 2,got,Adj.,eng,narrow (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=7
123,"*agi-, *agja-",got,F.,"Schärfe, Ecke, Spitze, Schneide, Schwert","blade, edge (V.), point (N.), sharpness, sword",https://koeblergerhard.de/wikiling/?f=got&page=7
124,agis 20,got,N.,"Furcht, Schrecken","awe (N.), fear (N.), fright, terror (N.)",https://koeblergerhard.de/wikiling/?f=got&page=7
125,*agja-,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=7
126,*agjan?,got,V.,"ängstigen, sich fürchten","frighten, worry (V.)",https://koeblergerhard.de/wikiling/?f=got&page=7
127,*agkja?,got,F.,"Bein, Röhre","leg, pipe (N.), tube",https://koeblergerhard.de/wikiling/?f=got&page=7
128,aglaitei 5=4,got,F.,"Unzucht, Unschicklichkeit, Unkeuschheit","licentiousness, debauchery",https://koeblergerhard.de/wikiling/?f=got&page=7
129,"*aglaiteis, *aglaits",got,Adj.,"schändlich, unzüchtig","lewd, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7
130,aglaitgastalds 2,got,Adj.,"schmutzig gewinnsüchtig, habsüchtig","acquisitive, grasping, shamefully greedy",https://koeblergerhard.de/wikiling/?f=got&page=7
131,aglaiti* 2,got,N.,"Unzucht, Unschicklichkeit, Unkeuschheit","debauchery, licentiousness, dissipation",https://koeblergerhard.de/wikiling/?f=got&page=7
132,aglaitiwáurdei* 2,got,F.,"Schandrede, unzüchtiges Reden","obscene language, foul language, shameful speech, filthy talk",https://koeblergerhard.de/wikiling/?f=got&page=7
133,*aglaitiwáurds,got,Adj.,"verleumderisch, schändlich",verbally obscene,https://koeblergerhard.de/wikiling/?f=got&page=7
134,*aglaits?,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=7
135,agliþa* 1,got,F.,"Drangsal, Trübsal","pressure, trial, tribulation, trouble (N.)",https://koeblergerhard.de/wikiling/?f=got&page=7
136,agljan* 1,got,V.,"schaden, belästigen","harm (V.), injure the health, be physically harmful to, be physiologically injur>>>",https://koeblergerhard.de/wikiling/?f=got&page=7
137,aglō 27,got,F.,Drangsal,"affliction, painfulness, tribulation",https://koeblergerhard.de/wikiling/?f=got&page=7
138,agls* 1,got,Adj.,schimpflich,"disgraceful, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7
139,agluba 2,got,Adv.,"schwer, schwerlich","arduously, with unpleasant difficulty",https://koeblergerhard.de/wikiling/?f=got&page=7
140,aglus* 1,got,Adj.,schwierig,"difficult, toilsome",https://koeblergerhard.de/wikiling/?f=got&page=7
141,*agra?,got,Adj.,"scharf, spitz","pointed (Adj.), sharp",https://koeblergerhard.de/wikiling/?f=got&page=8
142,*ags?,got,Adj.,"furchtsam, ängstlich","fearful, timid",https://koeblergerhard.de/wikiling/?f=got&page=8
143,aha* 6,got,M.,"Sinn, Verstand","mental faculty, mind (N.), understanding, reason (N.), source of thought",https://koeblergerhard.de/wikiling/?f=got&page=8
144,ahaks 4,got,F.,"zahme weiße Taube (= Opfertaube), Taube","dove, tame white dove, pigeon (for sacrifice)",https://koeblergerhard.de/wikiling/?f=got&page=8
145,ahana 1,got,"F., N.",Spreu,chaff,https://koeblergerhard.de/wikiling/?f=got&page=8
146,*ahei?,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=8
147,ahjan* 1,got,V.,meinen,"assume, presume, think",https://koeblergerhard.de/wikiling/?f=got&page=8
148,ahma 155=153,got,M.,Geist,spirit,https://koeblergerhard.de/wikiling/?f=got&page=8
149,ahmateins* 1,got,F.,"Eingebung, Inspiration",inspiration,https://koeblergerhard.de/wikiling/?f=got&page=8
150,*ahmatjan?,got,V.,eingeben,inspire,https://koeblergerhard.de/wikiling/?f=got&page=8
151,ahmeins* 13,got,Adj.,"geistig, geistlich",spiritual (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=8
152,ahs* (1) 4,got,N.,Ähre,ear of grain,https://koeblergerhard.de/wikiling/?f=got&page=8
153,*ahs (2),got,Adj.,"verständig, besonnen (Adj.)","sensible, level-headed",https://koeblergerhard.de/wikiling/?f=got&page=8
154,ahsa* 1,got,F.,"Achse, Achsel, a-Rune?","axis, axle, name of a-rune?",https://koeblergerhard.de/wikiling/?f=got&page=8
155,ahtau 4,got,Num.,acht,eight,https://koeblergerhard.de/wikiling/?f=got&page=8
156,ahtaudōgs 1,got,Adj.,achttägig,"of eight days, lasting eight days, octo-diurnal",https://koeblergerhard.de/wikiling/?f=got&page=8
157,*ahtautaihun?,got,Num.,achtzehn,eighteen,https://koeblergerhard.de/wikiling/?f=got&page=8
158,ahtautēhund 2,got,Num.,achtzig,eighty,https://koeblergerhard.de/wikiling/?f=got&page=8
159,ahtuda* 1,got,Adj.,achte,eighth,https://koeblergerhard.de/wikiling/?f=got&page=8
160,aƕa 7,got,F.,"Fluss, Gewässer","flowing body of water, river, stream (N.), torrent",https://koeblergerhard.de/wikiling/?f=got&page=8
161,aibr,got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=9
162,*aids?,got,M.,"Feuer, Brand",fire (N.),https://koeblergerhard.de/wikiling/?f=got&page=9
163,aíffaþa 1,got,V.,öffne dich,open up,https://koeblergerhard.de/wikiling/?f=got&page=9
164,*aifrs?,got,Adj.,schrecklich,terrible,https://koeblergerhard.de/wikiling/?f=got&page=9
165,aigan* 32,got,V.,haben,"have, own (V.), possess (V.)",https://koeblergerhard.de/wikiling/?f=got&page=9
166,aigin* 6,got,N.,"Eigentum, Vermögen","belongings, possessions, property",https://koeblergerhard.de/wikiling/?f=got&page=9
167,*aiginōn?,got,V.,aneignen,"appropriate (V.), make one’s own",https://koeblergerhard.de/wikiling/?f=got&page=9
168,*aigins?,got,Adj.,eigen,of one’s own,https://koeblergerhard.de/wikiling/?f=got&page=9
169,*aihan?,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=9
170,*aihtr,got,N.,"Klage, Bitte","complaint, lament (N.), request (N.)",https://koeblergerhard.de/wikiling/?f=got&page=9
171,aihtrōn 5,got,V.,"beten, betteln, erbitten, für sich verlangen","beg, pray, request for oneself, beseech, supplicate",https://koeblergerhard.de/wikiling/?f=got&page=9
172,aihtrōns* 3,got,F.,"Bitte, Gebet","prayer, supplication",https://koeblergerhard.de/wikiling/?f=got&page=9
173,aihts* 2,got,F.,"Eigentum, Besitz, Habe, Gut","belongings, property, possessions",https://koeblergerhard.de/wikiling/?f=got&page=9
174,aíƕatundi* 3,got,F.,"„Pferdedorn“, Dornstrauch","thornbush, bramble, prickly bush",https://koeblergerhard.de/wikiling/?f=got&page=9
175,aíƕs* 1,got,M.,"Pferd, e-Rune","horse, name of e-rune",https://koeblergerhard.de/wikiling/?f=got&page=9
176,*aikan?,got,V.,sprechen?,speak? (V.),https://koeblergerhard.de/wikiling/?f=got&page=9
177,aíkklesjō 42,got,F.,"Kirche, Gotteshaus, Gemeinde","church, church building, religious congregation, house of God",https://koeblergerhard.de/wikiling/?f=got&page=9
178,*aiks?,got,F.,Eiche,oak,https://koeblergerhard.de/wikiling/?f=got&page=9
179,aílōe 2,got,Interj.,"eloi, mein Gott","eloi, my God",https://koeblergerhard.de/wikiling/?f=got&page=9
180,ain,got,"Adj., N., Num.",,,https://koeblergerhard.de/wikiling/?f=got&page=9
181,ainabaúr* 1,got,"Adj., M.",eingeboren,"only-begotten one, only-born one",https://koeblergerhard.de/wikiling/?f=got&page=10
182,ainaha 3,got,Adj.,einzig,"only (Adj.), sole",https://koeblergerhard.de/wikiling/?f=got&page=10
183,ainakls* 1,got,Adj.,"vereinzelt, alleinstehend, einzeln","alone, standing alone, lonely, solitary (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=10
184,ainamundiþa* 3,got,F.,"Einheit, Einmütigkeit","one-mindedness, unanimity",https://koeblergerhard.de/wikiling/?f=got&page=10
185,*ainamunds?,got,Adj.,einmütig,"of one mind, unanimous",https://koeblergerhard.de/wikiling/?f=got&page=10
186,*ainan?,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=10
187,*ainata?,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=10
188,ainfalþaba 1,got,Adv.,einfältig,"simply, candidly, whole-heartedly",https://koeblergerhard.de/wikiling/?f=got&page=10
189,ainfalþei* 6,got,F.,"Einfalt, Einfachheit","genuine-heartedness, sincerity, simplicity",https://koeblergerhard.de/wikiling/?f=got&page=10
190,ainfalþs* 1,got,Adj.,"einfach, einfältig","in one piece, simple, single, whole",https://koeblergerhard.de/wikiling/?f=got&page=10
191,ainƕarjizuh 14,got,Pron.,ein jeder,"each, each one, everyone",https://koeblergerhard.de/wikiling/?f=got&page=10
192,ainƕaþaruh* 1,got,Pron.,jeder von beiden,each one of two,https://koeblergerhard.de/wikiling/?f=got&page=10
193,ainlif* 2,got,Num.,elf,eleven,https://koeblergerhard.de/wikiling/?f=got&page=10
194,ains 197,got,"Adj., Num.","ein, alleinig, ein einziger, ein gewisser, irgendein, einmal (= ainamma sinþa)","a, an, alone, one, once (= ainamma sinþa), only, single one, someone, anyone",https://koeblergerhard.de/wikiling/?f=got&page=10
195,ainshun 75,got,Pron.,"irgendein, jeder, niemand (in neg. Sätzen), kein (in neg. Sätzen)","anyone, one, not anyone (in neg. sentences), none (in neg. sentences)",https://koeblergerhard.de/wikiling/?f=got&page=10
196,aípiskaúpei* 1,got,F.,Bischofsamt,"bishopric, episcopate, office of a bishop",https://koeblergerhard.de/wikiling/?f=got&page=10
197,aípiskaúpus 3,got,M.,Bischof,bishop,https://koeblergerhard.de/wikiling/?f=got&page=10
198,"aípistaúle 14=13, aipistula*",got,F.,Brief,"epistle, letter",https://koeblergerhard.de/wikiling/?f=got&page=10
199,aípistula*,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=10
200,air 3,got,Adv.,früh,early,https://koeblergerhard.de/wikiling/?f=got&page=10
201,airinōn* 2,got,V.,"Gesandter sein (V.), unterhandeln, Bote sein (V.)","be an emissary, be a messenger, negotiate",https://koeblergerhard.de/wikiling/?f=got&page=11
202,airis 2,got,"Adv., Adj.","längst, eher, früher",much earlier,https://koeblergerhard.de/wikiling/?f=got&page=11
203,airiza* 4,got,M.,Vorfahre,ancestor,https://koeblergerhard.de/wikiling/?f=got&page=11
204,aírknis,got,Adj.,heilig,,https://koeblergerhard.de/wikiling/?f=got&page=11
205,aírkniþa* 2=1,got,F.,"Lauterkeit, Echtheit, Reinheit","genuineness, integrity, probity, purity, sincerity, unadulteratedness",https://koeblergerhard.de/wikiling/?f=got&page=11
206,aírkns* 1,got,Adj.,heilig,"holy, genuine, pure, sincere, unadulterated",https://koeblergerhard.de/wikiling/?f=got&page=11
207,"*airmans, *airmins",got,Adj.,"groß, gewaltig","enormous, huge",https://koeblergerhard.de/wikiling/?f=got&page=11
208,*airmins,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=11
209,aírþa 62,got,F.,"Erde, Land, Erdreich, Erdboden","earth, land (N.)",https://koeblergerhard.de/wikiling/?f=got&page=11
210,aírþakunds* 1,got,Adj.,"von irdischer Abkunft, von der Erde stammend, irdisch","earth-born, of earthly descent, of earthly origin",https://koeblergerhard.de/wikiling/?f=got&page=11
211,aírþeins 5,got,Adj.,"irdisch, irden","of earth, earthen, earthly",https://koeblergerhard.de/wikiling/?f=got&page=11
212,airus 5,got,M.,"Bote, Gesandtschaft, Abgesandter","emissary, embassy, messenger",https://koeblergerhard.de/wikiling/?f=got&page=11
213,aírzei* 2,got,F.,"Irre, Irrlehre, Irrtum","delusion, error, misleading (N.), heresy",https://koeblergerhard.de/wikiling/?f=got&page=11
