#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung
150,*ahmatjan?,got,V.,eingeben,inspire
151,ahmeins* 13,got,Adj.,"geistig, geistlich",spiritual (Adj.)
152,ahs* (1) 4,got,N.,Ähre,ear of grain
153,*ahs (2),got,Adj.,"verständig, besonnen (Adj.)","sensible, level-headed"
154,ahsa* 1,got,F.,"Achse, Achsel, a-Rune?","axis, axle, name of a-rune?"
155,ahtau 4,got,Num.,acht,eight
156,ahtaudōgs 1,got,Adj.,achttägig,"of eight days, lasting eight days, octo-diurnal"
157,*ahtautaihun?,got,Num.,achtzehn,eighteen
158,ahtautēhund 2,got,Num.,achtzig,eighty
159,ahtuda* 1,got,Adj.,achte,eighth
160,aƕa 7,got,F.,"Fluss, Gewässer","flowing body of water, river, stream (N.), torrent"
161,aibr,got,N.,,
162,*aids?,got,M.,"Feuer, Brand",fire (N.)
163,aíffaþa 1,got,V.,öffne dich,open up
164,*aifrs?,got,Adj.,schrecklich,terrible
165,aigan* 32,got,V.,haben,"have, own (V.), possess (V.)"
166,aigin* 6,got,N.,"Eigentum, Vermögen","belongings, possessions, property"
167,*aiginōn?,got,V.,aneignen,"appropriate (V.), make one’s own"
168,*aigins?,got,Adj.,eigen,of one’s own
169,*aihan?,got,V.,,
170,*aihtr,got,N.,"Klage, Bitte","complaint, lament (N.), request (N.)"
171,aihtrōn 5,got,V.,"beten, betteln, erbitten, für sich verlangen","beg, pray, request for oneself, beseech, supplicate"
172,aihtrōns* 3,got,F.,"Bitte, Gebet","prayer, supplication"
173,aihts* 2,got,F.,"Eigentum, Besitz, Habe, Gut","belongings, property, possessions"
174,aíƕatundi* 3,got,F.,"„Pferdedorn“, Dornstrauch","thornbush, bramble, prickly bush"
175,aíƕs* 1,got,M.,"Pferd, e-Rune","horse, name of e-rune"
176,*aikan?,got,V.,sprechen?,speak? (V.)
177,aíkklesjō 42,got,F.,"Kirche, Gotteshaus, Gemeinde","church, church building, religious congregation, house of God"
178,*aiks?,got,F.,Eiche,oak
179,aílōe 2,got,Interj.,"eloi, mein Gott","eloi, my God"
180,ain,got,"Adj., N., Num.",,
181,ainabaúr* 1,got,"Adj., M.",eingeboren,"only-begotten one, only-born one"
182,ainaha 3,got,Adj.,einzig,"only (Adj.), sole"
183,ainakls* 1,got,Adj.,"vereinzelt, alleinstehend, einzeln","alone, standing alone, lonely, solitary (Adj.)"
184,ainamundiþa* 3,got,F.,"Einheit, Einmütigkeit","one-mindedness, unanimity"
185,*ainamunds?,got,Adj.,einmütig,"of one mind, unanimous"
186,*ainan?,got,V.,,
187,*ainata?,got,Num.,,
188,ainfalþaba 1,got,Adv.,einfältig,"simply, candidly, whole-heartedly"
189,ainfalþei* 6,got,F.,"Einfalt, Einfachheit","genuine-heartedness, sincerity, simplicity"
190,ainfalþs* 1,got,Adj.,"einfach, einfältig","in one piece, simple, single, whole"
191,ainƕarjizuh 14,got,Pron.,ein jeder,"each, each one, everyone"
192,ainƕaþaruh* 1,got,Pron.,jeder von beiden,each one of two
193,ainlif* 2,got,Num.,elf,eleven
194,ains 197,got,"Adj., Num.","ein, alleinig, ein einziger, ein gewisser, irgendein, einmal (= ainamma sinþa)","a, an, alone, one, once (= ainamma sinþa), only, single one, someone, anyone"
195,ainshun 75,got,Pron.,"irgendein, jeder, niemand (in neg. Sätzen), kein (in neg. Sätzen)","anyone, one, not anyone (in neg. sentences), none (in neg. sentences)"
196,aípiskaúpei* 1,got,F.,Bischofsamt,"bishopric, episcopate, office of a bishop"
197,aípiskaúpus 3,got,M.,Bischof,bishop
198,"aípistaúle 1413, aipistula*",got,F.,Brief,"epistle, letter"
199,aípistula*,got,F.,,
200,air 3,got,Adv.,früh,early
201,airinōn* 2,got,V.,"Gesandter sein (V.), unterhandeln, Bote sein (V.)","be an emissary, be a messenger, negotiate"
202,airis 2,got,"Adv., Adj.","längst, eher, früher",much earlier
203,airiza* 4,got,M.,Vorfahre,ancestor
204,aírknis,got,Adj.,heilig,
205,aírkniþa* 21,got,F.,"Lauterkeit, Echtheit, Reinheit","genuineness, integrity, probity, purity, sincerity, unadulteratedness"
206,aírkns* 1,got,Adj.,heilig,"holy, genuine, pure, sincere, unadulterated"
207,"*airmans, *airmins",got,Adj.,"groß, gewaltig","enormous, huge"
208,*airmins,got,Adj.,,
209,aírþa 62,got,F.,"Erde, Land, Erdreich, Erdboden","earth, land (N.)"
210,aírþakunds* 1,got,Adj.,"von irdischer Abkunft, von der Erde stammend, irdisch","earth-born, of earthly descent, of earthly origin"
211,aírþeins 5,got,Adj.,"irdisch, irden","of earth, earthen, earthly"
212,airus 5,got,M.,"Bote, Gesandtschaft, Abgesandter","emissary, embassy, messenger"
213,aírzei* 2,got,F.,"Irre, Irrlehre, Irrtum","delusion, error, misleading (N.), heresy"
214,aírzeis* 4,got,Adj.,"irre geführt, irre, verführt","deluded, erring, misled, deceived, in error"
215,aírziþa 2,got,F.,"Irrlehre, Irre, Irrtum","deception, deludedness, delusion"
216,aírzjan* 4,got,V.,"irreführen, irre machen, verführen, Verführer (= airzjands)","delude, mislead, seducer (= airzjands)"
217,*aiskōn?,got,V.,"fragen, fordern","ask, ask for, beg, demand (V.), look for"
218,aistan* 3,got,V.,sich scheuen vor,"have regard for, have respect for, reverence (V.)"
219,aiþei 44,got,F.,Mutter (F.) (1),mother (F.)
220,*aiþeis?,got,Adj.,,
221,aiþs* 4,got,M.,Eid,oath
222,aíþþau 157156,got,Konj.,"oder, wo nicht, sonst, wenigstens","and as an alternative, alternatively, else, on the other hand, or, otherwise"
223,*-aiw?,got,V.,"immer, jederzeit","ever, at any time"
224,aíwaggēli* 7,got,N.,"Evangelium, frohe Botschaft","evangel, gospel, good tidings"
225,aíwaggēlista 3,got,M.,Evangelist,evangelist
226,aíwaggēljan* 1,got,V.,das Evangelium verkünden,"evangelize, spread the gospel"
227,aíwaggēljō 4948,got,F.,"Evangelium, frohe Botschaft","evangel, gospel, good tidings"
228,aiweins* 33,got,Adj.,ewig,"eternal, everlasting"
229,aiwiski* 2,got,N.,"Schande, Schmach","shame (N.), disgrace"
230,aiwiskōn* 1,got,V.,schändlich handeln,"behave disgracefully, treat shamefully"
231,*aiwisks?,got,Adj.,schändlich,"disgraceful, shameful"
232,*aiwjan?,got,V.,,
233,aíwlaúgia* 1,got,M.,"Segen, Spende","blessing (N.), benefaction, charitable contribution, gift (N.), donation"
234,aiws* 51,got,M.,"Zeit, Ewigkeit","age (N.), eternity, all time"
235,aíwxaristia* 1,got,F.,"Dank, Danksagung","thanksgiving, prayer of thanksgiving"
236,aiz* 1,got,N.,"Erz, Erzmünze","brass (N.), bronze (N.), copper (N.), copper coin"
237,*aiza,got,F.,"Scheu, Achtung, Ehre","honour (N.), inhibition, respect (N.)"
238,aizasmiþa 1,got,M.,"Erzschmied, Metallarbeiter","coppersmith, worker in bronze"
239,ajukdūþs* 3,got,F.,Ewigkeit,eternity
240,*ajuks?,got,Adj.,ewig,eternal
241,ak 284282,got,Konj.,"sondern (Konj.), aber, geh","but, on the contrary, however, but rather"
242,*akan?,got,V.,"gehen, fahren, ziehen","drive (V.), go (V.), pull (V.)"
243,akei 9998,got,Konj.,aber,"but, despite this, nevertheless"
244,akeit*,got,"M., N.",,
245,"akēt* 2, akeit*",got,"M., N.",Essig,"vinegar, wine vinegar, sour wine"
246,akran 42,got,N.,"Frucht, Ertrag","fruit, results"
247,akranalaus 1,got,Adj.,"„kornlos“, „fruchtlos“, unfruchtbar","fruitless, unfruitful, without fruit"
248,akrs 6,got,M.,Acker,"field, open land"
249,āl*,got,M.,,
250,*ala?,got,Adj.,"all, ganz, völlig","all, the entire, the whole"
251,alabalstraún* 1,got,N.,Salbenbüchse (aus Alabaster),alabaster flask
252,alabrunsts* 1,got,F.,Brandopfer,"burnt offering, entirety burning"
253,*alakjis?,got,Adj.,gesamt,"whole, entire"
254,alakjō 5,got,Adv.,"insgesamt, gesamt, zusammen","all, all inclusively, to a man, all together"
255,alamannans*,got,M.,,
256,"alamans* 1, alamannans*",got,M.,"Gesamtheit der Menschen, alle Menschen","all humanity, totality of man, entirety of mankind"
257,alan* 1,got,V.,"wachsen (V.) (1), sich nähren, aufwachsen","grow on, feed on"
258,alaþarba 1,got,Adj.,"„alldarbend“, an allem Mangel leidend, ganz arm","thoroughly destitute, totally in need, in complete privation"
259,*alauds?,got,"M., N.","Allod, Vollgut, Gut",property
260,"*albs, *alfs",got,M.,"Alb, Dämon","demon, elf"
261,*alda,got,Adj.,alt,old
262,aldōmō* 1,got,N.,Alter (N.),old age
263,*aldr,got,N.,Alter (N.),age (N.)
264,*aldrs,got,,,
265,alds* 13,got,F.,"Menschenalter, Zeit","generation, age (N.), life span, lifetime"
266,*alduma,got,"Adj., Adj.",alt,"aged, elderly"
267,aleina* 1,got,F.,Elle,"cubit, ell"
268,alēw* 3,got,N.,Öl,olive oil
269,alēwabagms 6,got,M.,Ölbaum,olive tree
270,alēwja* 2,got,Adj.,Öl-,"of olives, pertaining to olives"
271,*alfs?,got,M.,,
272,*alh-,got,M.,Gott,god
273,alhs 32,got,"F., Sb.","Tempel, Hain?",temple
274,*ali-,got,Adj.,andere,"another, other"
275,alis*,got,Adj.,,
276,*alisa?,got,F.,,
277,*alisi?,got,F.,Erle,alder
278,*alisna?,got,F.,Ahle,"awl, pricker"
279,*alisō?,got,F.,Erle,alder
280,aliþs*,got,"V., Adj.",gemästet,fattened
281,"*aliza, *alisa",got,F.,Erle,alder
282,alja 19,got,"Konj., Präp.",außer,"but, else than, except, other than, save (Präp.), unless"
283,aljakuns 3,got,Adj.,"anderswoher stammend, gegen die Natur, von einem anderen Geschlecht, von fremder>>>","foreign, of different kin, of foreign origin, strange, contrary to nature"
284,aljaleikō 4,got,Adv.,anders,"otherwise, differently, unorthodoxly"
285,*aljaleikōn?,got,V.,,
286,aljaleikōs,got,"Adv., Adj.",,
287,aljaleikōþs* 1,got,"V., Adj.","anders gebildet, allegorisch, bildlich, anders gemeint","allegorical, allegorically portrayed, analogically configured, with a different >>>"
288,*aljaleiks?,got,Adj.,andere,"another, other"
289,aljan* (1) 3,got,V.,mästen,"cause to wax fat, fatten"
290,aljan (2) 13,got,N.,Eifer,"avidity, eagerness, zeal"
291,aljanōn 5,got,V.,"eifern, eifern für","strive for, manifest zeal for"
292,aljar 2,got,Adv.,anderswo,"absent, away from here, elsewhere, somewhere else"
293,aljaþ 1,got,Adv.,anderswohin,"to somewhere else, elsewhither, elsewhere, to another place"
294,aljaþrō 4,got,Adv.,anderswoher,"elsewhence, elsewhere, from elsewhere, somewhere else, somewhere, by another way"
295,"aljis* 5, alis*",got,Adj.,andere,"another, other"
296,*allandjis?,got,Adj.,völlig,"complete (Adj.), entire (Adj.), full (Adj.)"
297,allandjō 1,got,Adv.,"völlig, vollständig, ganz und gar","completely, wholly"
298,allaþrō 2,got,Adv.,von allen Seiten,"from all sides, from all directions, from everywhere"
299,allawaúrstwa* 1,got,Adj.,"„allwirkend“, vollkommen","one effectuating everything, one executing all things, person fulfilling everyth>>>"
300,allawērei* 2,got,F.,Redlichkeit,"simplicity, sincerity, wholehearted accord, complete agreeability, total agreeme>>>"
301,"*allawēreis?, *allawērs?",got,"Adj., Adj.",redlich,"sincere, completely agreeing, completely agreeable"
302,*allawērs?,got,Adj.,,
303,allis 27,got,"Adv., Konj.","überhaupt, denn","absolutely, in general, at all (in neg. sentences), because, completely, for, in>>>"
304,alls 606603,got,Adj.,"all, jeder, ganz, viel","all, all of, the entire, every, the whole"
305,allswerei,got,F.,,
306,alluh,got,Adj.,,
307,allwaldands 2,got,M.,"allmächtig, Allmächtiger, Allwaltender","ruler, all-ruler, almighty"
308,alt,got,Adj.,,
309,*alþan?,got,V.,"altern, alt werden",grow old
310,alþeis 6,got,Adj.,alt,old
311,alþiza,got,Adj.,,
312,*amals?,got,Adj.,"tapfer, tätig","active, brave"
313,amen 81,got,Interj.,amen,amen
314,"ams* 1, amsa*?",got,"M., M.",Schulter,shoulder (N.)
315,an 5,got,Partikel,"denn, nun","so, then, well (Adv.)"
316,ana (1) 276,got,"Präp., V., Adv.","darauf, außerdem, an, auf, in, über","on account of, at, during, in, into, on, onto, over, for the sake of, upon"
317,*ana (2),got,M.,"Ahne, Vorfahre",ancestor
318,anaaukan 5,got,V.,"hinzufügen zu, fortfahren","add, augment (V.)"
319,anabiudan* 40,got,V.,"entbieten, befehlen, anordnen","bid (V.), command (V.), instruct, order (V.)"
320,anabūsns 45,got,F.,"Gebot, Befehl","charge (N.), command (N.), commandment, order (N.), ordinance"
321,anadrigkan* 1,got,V.,"antrinken, betrinken",get drunk
322,anafilh* 6,got,N.,"„Anvertrautes“, Empfehlung, Überlieferung","act of committing to s.o.’s safekeeping, commendation, recommendation, tradition>>>"
323,anafilhan 21,got,V.,"übergeben (V.), überliefern, verpachten, empfehlen, anempfehlen, geben","commit to for safekeeping, give into the care of, put in the trust of, entrust w>>>"
324,anagaggan* 1,got,V.,"kommen, künftig sein (V.)","come on, come by, approach (V.)"
325,anahaban* 2,got,V.,"besitzen, innehaben","take hold of, possess (V.)"
326,"anahaimeis* 2, anahaims*",got,Adj.,"in der Heimat befindlich, daheim, zuhause","at home, present (Adj.)"
327,anahaitan* 6,got,V.,"anrufen, bitten, schelten","call on, call upon, invoke (V.), reprimand (V.), upbraid, berate, scold (V.)"
328,anahamōn 1,got,V.,"die Bekleidung anlegen, anziehen","put on as clothing, don, get dressed"
329,*anahaspan?,got,V.,aufhaspeln,"wind up, reel up"
330,anahnaiwjan* 1,got,V.,niederlegen,"lower onto, lay down upon"
331,anahneiwan* 2,got,V.,"sich niederbeugen, sich neigen, sich bücken","bend down to, stoop down to, bow (V.) (1)"
332,anaƕeilan* 1,got,V.,"beruhigen, erquicken","give respite, give a rest period, give repose, set a rest"
333,anainsakan* 1,got,V.,"auferlegen, hinzufügen","add by argumentation, impose through argumentation, bestow by argumentation, imp>>>"
334,anakaúrjan* 1,got,V.,beschweren,"heap a burden upon, burden with an overload, cause pain"
335,anaks 3,got,Adv.,"plötzlich, sogleich","suddenly, all at once"
336,anakumbjan 25,got,V.,"sich niederlegen, zu Tisch legen, lagern","recline at table, lie (V.) (2) down to a meal"
337,anakunnains* 1,got,F.,Lesung,"bringing into recognition, bringing into awareness through reading, reading (N.)"
338,anakunnan 3,got,V.,lesen (V.) (1),"make acquire knowledge of by reading, teach or learn through reading"
339,analageins* 2,got,F.,Auflegung,"laying on, superimposition"
340,analagjan* 2,got,V.,"„einlegen“, auflegen, beibringen","put on, lay upon, inflict upon"
341,analatjan* 2,got,V.,"verhindern, hindern, aufhalten, abhalten","detain, impede, hinder"
342,analaugnei* 1,got,F.,Verborgenheit,"concealment, secretiveness, secrecy"
343,analaugniba 1,got,Adv.,"im geheimen, heimlich, verborgen","secretly, covertly"
344,analaugns* 65,got,Adj.,verborgen,"concealed, secret (Adj.), hidden"
345,analeikō 1,got,Adv.,"auf gleiche Weise, gleichermaßen","likewise, in like manner, in the same way, similarly"
346,*analeiks?,got,Adj.,"„ähnlich“, gleich",similar
347,anamahtjan* 8,got,V.,"vergewaltigen, rauben, kränken, quälen, erpressen, misshandeln, beleidigen, schm>>>","use force on, force (V.), use violence against, treat with violence, do violence>>>"
348,anamahts* 2,got,F.,"Übermacht, Misshandlung","coercion, forcing, use of force on, superior force, insult (N.)"
349,anamēljan 1,got,V.,"aufschreiben, sich in die Steuerlisten eintragen lassen","register (V.), write down one’s entry, write down an entry, enroll"
