Target,Source,fp
konstantainopela,kɒnstantɪnəʊpəl,
konstantainopoli,kɒnstantɪnəʊpəl,
korohe,kəlɒs,
korokota,ɡəlɡɒθə,
koronatata,kɹɒnstat,
koroniti,kɒɹɪnθ,
kotarana,skɒtlənd,
kotenepara,ɡɒθənbɜːɡ,
koteraŋi,skɒtlənd,
koteriŋi,skɒtlənd,
kotirana,skɒtlənd,
kotirani,skɒtlənd,
kotorana,skɒtlənd,
kotorani,skɒtlənd,
kuama,ɡwɑːm,
kuinifenua,kwiːnslənd,
kupa,kjuːbə,
kuperitino,kjuːpətiːnəʊ,
kuporo,kʌpɹəʊz,
kurubi,kjʊəɹuːbɪs,
kuruhaka,kɹuːznak,
libia,lɪbɪə,
maata,mɑːtə,
maharata,mahɐɹatə,
mahiria,masɪliə,
mahitene,mɑːsdən,
maira,meɪdə,
makaha,makɐsɑː,
makafiri,makəlsfiːld,
makeronia,masɪdəʊniə,
mamora,mɑːmɔːɹə,
mana,smaɪənə,
manea,mɜːlavɔːstɑːɹaɪlənd,
maniheha,mant͡ʃɛstə,
manira,mɐnɪlə,
maniria,mɐnɪlə,
marapana,mɑːtabən,
marata,malantə,
marekana,ɐmɛɹɪkə,
marekena,ɐmɛɹɪkə,
mariao,fɹans,
marikahika,madəɡaskə,
marikena,ɐmɛɹɪkə,
marita,mɒltə,
maritia,mɔːɹɪʃəs,
mata,maθə,4.0
matakahaka,madəɡaskə,
matakahika,madəɡaskə,
mataraha,mədɹɑːs,
matarahi,mədɹɑːs,
matarita,mədɹɪd,
matariti,mədɹɪd,
matenetaone,mɑːtəntaʊn,
matiara,madeəɹə,
mauritiu,mɔːɹɪʃəs,
mehiko,mɛksɪkəʊ,
mehina,mɛsɪnə,
mehopotamia,mɛsəpəteɪmiə,
meka,mɛkə,4.0
mekehiko,mɛksɪkəʊ,
mekiro,mɛd͡ʒɪdəʊ,
meranihia,mɛləniːziə,
mereka,ɐmɛɹɪkə,
merepana,mɛlbɔːn,
merepena,mɛlbɔːn,
merepona,mɛlbɔːn,
mereponi,mɛlbɔːn,
meretereniana,mɛdɪtɛɹeɪnaŋ,
merika,ɐmɛɹɪka,
merika,mɛksɪkəʊ,
merikana,ɐmɛɹɪkəɹ,
merikaateiŋarihi,kanədəɹ,
merikena,ɐmɛɹɪkəɹ,
meripone,mɛlbɔːn,
meriponi,mɛlbɔːn,
meritareniana,mɛdɪtɛɹeɪnan,
meritireniana,mɛdɪtɛɹeɪnan,
meromo,mɛɹɒm,
merutu,mɛɹət,
metetereniuma,mɛdɪtɛɹeɪnan,
metirana,meɪtlənd,
metitereniana,mɛdɪtɛɹeɪnan,
mihea,mɛsə,
mihireiama,mɪsɹeɪm,
mihitere,mɪstəɹi,
milano,mɪlaŋ,6.0
miratirifite,mɪdəldɹɪft,
mirinitoropa,mɪlnθɔːp,
miroma,mɛɹɒm,
moatanape,mɔːtənbeɪ,
morako,məɹɒkəʊ,
moramine,məʊlmiːn,
morewia,mɔːɹeɪviəɹ,
motunafaka,nɔːfəkaɪlənd,
motupitikeana,pɪtkeənaɪlənd,
naero,naɪl,6.0
nahareta,nazəɹəθ,
naihi,nɪkmə,
naika,naɪd͡ʒə,
naina,neɪn,
naira,naɪl,
nairi,naɪl,7.0
napatirai,naftɑːli,
napieri,neɪpiə,
napiterai,naftɑːli,
napitirai,naftɑːli,
nafakaairani,nɔːfəkaɪlənd,
nafakairaŋi,nɔːfəkaɪlənd,
nafaki,nɔːfək,
neapori,neɪpəlz,
nepara,neɪpəlz,
nepaura,nɛpɔːl,
nepia,neɪpiə,
nepiere,neɪpiə,
nihe,nɪksiːbiːeɪ,
nihee,nɪksiːbiːeɪ,
nihia,nɪkiə,
nihipe,nɪzɪbɪs,
nikomedia,nɪkəmiːdiə,
nikomiria,nɪkəmiːdiə,
ninewa,nɪnɪvə,
niŋipo,nɪŋpəʊ,
niniwa,nɪnɪvə,
niuheperiti,njuːhɛbɹədiːz,
niuhorana,njuːhɒlənd,
niukahera,njuːkasəl,
niukahere,njuːkasəl,
niukahio,njuːkasəl,
niukaretonia,njuːkalɪdəʊniə,
niukuinea,njuːɡɪni,
niuparemata,njuːplɪməθ,
niuperepora,njuːbɛdfəd,
niutirani,njuːziːlənd,
niutirene,njuːziːlənd,
niutirene,njuːziːlənd,
niutireni,njuːziːlənd,
niwziland,njuːziːlənd,
niwa,nɛvə,
nomanapi,nɔːmanbi,
noamani,nɔːməndi,
nomani,nɔːməndi,
nopokairani,nɔːfəkaɪlənd,
nopoki,nɔːfək,
notaamerika,nɔːθɐmɛɹɪkə,
notawetamarikena,nɔːθwɛstɐmɛɹɪkə,
notona,nɔːtən,
nowakotia,nəʊvəskəʊʃə,
nowei,nɔːweɪ,2.0
nofakotia,nəʊvəskəʊʃə,
nuheperati,njuːhɛbɹədiːz,
nuikahio,njuːkasəl,
nuiparemata,njuːplɪməθ,
nuipereha,njuːbɛdfəd,
nuiperepori,njuːbɛdfəd,
nuitereni,njuːziːlənd,
nuitirani,njuːziːlənd,
nuitireni,njuːziːlənd,
nuitirene,njuːziːlənd,
nuitireni,njuːziːlənd,
nuitirini,njuːziːlənd,
nukahera,njuːkasəl,
nukatera,njuːkasəl,
nuparemata,njuːplɪməθ,
nutirani,njuːziːlənd,
nutirene,njuːziːlənd,
nutireni,njuːziːlənd,
nutirani,njuːziːlənd,
nutirene,njuːziːlənd,
nutireni,njuːziːlənd,
oheania,əʊʃɪɑːniəɹ,
oheanika,əʊʃɪanɪkəɹ,
ohepene,ɒsbɔːn,
okihari,ɒksfɔːd,
okifara,ɒksfɔːd,
opetaone,həʊbɑːttaʊŋ,
oripi,jʊəɹəp,
oriwa,ɒlɪvɛs,
orope,jʊəɹəp,
oropi,jʊəɹəp,
otakou,ɒtɐɡɒ,
oteheiti,tahiːti,
otiaiti,tahiːti,
pahana,baʃən,
pahi,pazi,
pahia,pɜːʒə,
pairo,fiːləʊ,
pakiŋama,bʌkɪŋəm,
pakirara,baɡdad,
pakura,sanfakʌndəʊ,
pamahuna,bɒmɑːsʌnd,
pamapuria,pamfɪliə,
pamiŋama,bɜːmɪŋəm,
paniera,speɪn,
paniora,speɪn,
paonea,bɔːnɪəʊ,
papatipei,pɒvətibeɪ,
papeiti,papiːt,
papiete,papiːt,345.0
papurona,babɪlən,
papurona,babɪlən,
papuronia,babɪləʊniə,
parahira,bɹɐzɪl,
parakarawa,balɐklɑːvə,
parake,paɹəɡwaɪ,
parakipotakitemaine,fɹaŋkfɔːtɒnðəmeɪn,
paramata,paɹɐmatə,
paranahi,fɹans,
paranarama,padənaɹam,
parane,fɹans,
parani,fɹans,
paranihi,fɹans,
paratika,bɒltɪk,
pare,bɔːli,
paretaina,peɪlstiniː,
paretina,paləstaɪn,
paretini,paləstaɪn,
pari,paɹɪs,
parihi,paɹɪs,
parini,bɜːlɪn,
paritaina,paləstaɪn,
paritiana,bɹaɪtən,
parupehaia,dʌmfɹiʃə,
patamo,patməʊz,
patefia,bateɪviə,
patewia,bateɪviə,
patimo,patməʊz,
patino,patiːnəʊ,
patua,padjuːə,
patukara,pɔːt͡ʃəɡəl,
pauene,bəʊɪn,
peaneo,bɔːnɪəʊ,
pearini,bɜːlɪn,
peina,speɪn,
peiopereti,beɪɒvplɛnti,
peiopureti,beɪɒvplɛnti,
pemeroki,pɛmbɹəʊk,
penare,bɛneəz,
pene,speɪn,
penekaara,bɛŋɡɔːl,
penekara,bɛŋɡɔːl,
peŋakara,bɛŋɡɔːl,
peowairaŋi,beɪɒvaɪləndz,
peofairaŋi,beɪɒvaɪləndz,
pera,pɛlə,9.0
pereporaka,bɛlblɒk,
pereraua,bɹɛslaʊ,
periama,bɛld͡ʒəm,
perihia,pɜːʒə,
perini,bɜːlɪn,
peru,pəɹuː,22.0
petane,bɛθəni,
petani,bɛθəni,
petenakirini,bɛθnəlɡɹiːn,
petera,pɛtɹə,
peterehema,bɛθlɛhəm,
peterika,pɛtɹɪkɔː,
pefairaŋi,beɪɒvaɪləndz,
pikiparia,ɡɹeɪtbaɹiə,
pinihia,fəʊnɪʃə,
pirihipene,bɹɪsbən,
pirimouta,plɪməθ,
piriŋikiwata,blɪŋkwɔːtə,
pirinihieruera,pɹɪnsɛdwəd,
piripopoli,fɪlɪpɒpəliz,13.0
piritana,bɹɪtən,
piritaŋa,feɪldɪŋ,
piritani,bɹɪtən,
piritene,bɹɪtən,
piritenenui,ɡɹeɪtbɹɪtən,
piriteni,bɹɪtən,
piriteninui,ɡɹeɪtbɹɪtən,
piritone,bɹɪtən,
pitapaka,piːtəzbɜːɡ,
piti,fiːd͡ʒi,6.0
pitikeana,pɪtkeən,
pitinia,bɪθɪniə,
pitiroi,fɪtsɹɔɪ,
pitiroi,fɪtsɹɔɪ,
piupoata,bəʊfɔːt,
pohakene,pɔːtd͡ʒaksən,
poahakena,pɔːtd͡ʒaksən,
poaneo,bɔːnɪəʊ,
poatikanitaina,fɔːtkɒnstantiːn,
poatukera,pɔːt͡ʃəɡəl,
pohakena,pɔːtd͡ʒaksən,
pohemia,bəʊhiːmiə,
pohena,pəʊzən,
poheripi,pɔːtfɪlɪp,
pohiriuma,pəsɪdiəm,
poiahakena,pɔːtd͡ʒaksən,
poianawuru,pɔɪntʌndəwʊd,
poihakena,pɔːtd͡ʒaksən,
poihakena,pɔːtd͡ʒaksən,
poihakene,pɔːtd͡ʒaksən,
poihiripi,pɔːtfɪlɪp,
poipiripi,pɔːtfɪlɪp,
pokupa,pɔːtkuːpə,
pomapei,bɒmbeɪ,
pomopei,bɒmbeɪ,0.0
poneke,pɔːtnɪkəlsən,
ponio,bɔːnɪəʊ,
pope,pɒmpi,
pora,pɔːlə,34.0
porana,pəʊlənd,
poranihia,pɒlɪniːziə,
porapora,bɔːɹəbɔːɹə,
porere,flɔːɹɪz,
portjakson,pɔːtd͡ʒaksən,
potahea,fɔːtheə,
potamare,fɔːtmʌɹeɪ,
potaritifi,fɔːt,
potariwi,pɔːtlɛvi,
potikupa,pɔːtkuːpə,
potimaute,pɔːtsməθ,
potiriwi,pɔːtlɛvi,
potukara,pɔːt͡ʃəɡəl,
potukari,pɔːt͡ʃəɡəl,
potufaraihi,fɔːtfɔːdaɪs,
pouhakena,pɔːtd͡ʒaksən,
pouhakene,pɔːtd͡ʒaksən,
pofata,bəʊfɔːt,
pofatu,bəʊfɔːt,
puanama,bɜːnəm,
pukarehi,buːkɐɹɛst,
pukareti,buːkɐɹɛst,
pukearapata,ɛmtiːalbət,
pukeparaki,baɹəkhɪl,
puŋaupa,pʌnd͡ʒɑːb,
pura,bʊlə,9.0
puruhia,pɹʌʃə,
purukari,bʌlɡeəɹiə,
putuna,fjuːtuːnə,
rahetone,lɔːnsɛstən,
raihapera,laɪseɪbɛlə,
raina,ɹaɪn,
rakahia,laŋkəʃə,
rakanau,lʌknaʊ,
rakarana,ɹaɡlən,
ranana,lʌndən,
raŋitone,laftən,
raparana,laplənd,
raparini,lʌblɪn,
ratihipona,ɹatɪsbən,
rehini,ɹaɪmz,
renemaka,dɛnmɑːk,
repanona,lɛbənɒn,
reri,lɛliz,
rewapuru,lɪvəpuːl,
riha,lɪsə,174.0
rihena,nɛsən,
riheta,lɛstə,
riheta,lɛstə,
rihipene,lɪsbən,
rihipona,lɪsbən,
rima,liːmɐ,179.0
riŋori,lɪɡjuːɔːɹi,
riona,laɪɒn,
rione,laɪɒn,
riria,lɪdiə,
rititina,lɪtɛltən,
rititona,lɪtɛltən,
riwapuru,lɪvəpuːl,
riwipura,lɪvəpuːl,
roha,ɹɒs,474.0
roma,ɹəʊm,
romari,lɒmbədi,
romopoka,lɒmbɒk,
rona,ɹəʊn,
ronahetana,lɔːnsɛstən,
ronehetana,lɔːnsɛstən,
rooma,ɹəʊm,
roterama,ɹɒtədam,
rotoni,ɹɒdni,729.0
rouati,lɜːdz,
ruhia,ɹʌʃə,
ruiha,ɹʌʃə,
samurna,smaɪənə,
serapi,sɛɹapiz,
sona,seɪɒn,
tahaiti,tahiːti,
tahamenia,tazmeɪniə,
tahimania,tazmeɪniə,
tahimenia,tazmeɪniə,
tahina,t͡ʃaɪnə,
tahiti,tahiːti,4.0
taibera,taɪbə,
taikirihi,taɪɡɹɪs,
taikiriti,taɪɡɹɪs,
taina,t͡ʃaɪnə,
taipera,taɪbə,
taipere,taɪbə,
taiperia,taɪbiəɹɪəz,
taipiria,taɪbiəɹɪəz,
taira,taɪə,
takasta,θaɡast,
takei,tɜːki,
takirihi,taɪɡɹɪs,
tamahi,tɛmz,
tamakuha,dɐmaskəs,
tamania,tazmeɪniə,
tanaitini,dʌnɪdɪn,
tanehia,taŋɡiəz,
tanemaka,dɛnmɑːk,
tanitana,dʌnɪdɪn,
tanite,danzɪk,
tanitini,dʌnɪdɪn,
taniwaka,danjuːb,
taparini,dʌblɪn,
tapirana,dʌblɪn,
tapirini,dʌblɪn,
tarahu,tɑːsəs,
tarakona,taɹɐɡənə,
taratari,tɑːtɑːɹəs,
tatanera,dɑːdeɪnɛlz,
teharonika,θɛsɐlɒnɪkə,
teirataone,teɪlətaʊn,
tenamaki,dɛnmɑːk,
tenemaka,dɛnmɑːk,
tenemaki,dɛnmɑːk,
tepoa,tabə,
tepoa,tabə,
tepotinapier,pɔːtahjʊəɹiəɹi,
terehi,dɛli,
terehi,θɹeɪs,
terenete,tɹɛnt,
terefi,dɛlfaɪ,
terieta,tɹaɪst,
tetini,tɛtɪn,
tewanapoata,dɛvənpɔːt,
tiamana,d͡ʒɜːməni,
tiamari,d͡ʒɜːməni,
tieni,θɪɛnə,3.0
tikatana,juːkatən,
tikiriha,taɪɡɹɪs,
timoa,tiːmɔː,
tinaharima,tɛnɐsəɹɪm,
tiratewere,tɹastiːviə,
tiratiraira,tɹastaɪləɹiːnə,
tireni,ziːlənd,
tirkene,dɪlɛd͡ʒən,
tirikiŋi,θɹiːkɪŋz,
tomiŋo,dəʊmɪŋɡəʊ,
torena,tɒɹənz,
toriniti,təʊləntiːnəʊ,
toroha,tuːluːz,
tuhorape,tuːfəʊldbeɪ,
tuponai,tjuːbənaɪ,26.0
turini,tjəɹɪn,
turino,tjəɹɪn,
turona,tuːlɒn,
turure,dɹʌɹi,
uparati,juːfɹeɪtiːz,
uparatia,juːfɹeɪtiːz,
upatoria,juːpɐtɔːɹiəɹiː,
upurati,juːfɹeɪtiːz,
ura,aʊd,
uropi,jʊəɹəp,
utika,juːtɪkə,
wahaa,wɔːsɔː,
wahitone,wɒʃɪŋtən,1090.0
waiti,waɪt,3.0
wanahi,swɒnsiː,
wanatiemana,vanəʊaɪmɛnz,
wanatimana,vanəʊaɪmɛnz,
wapuwiniata,wɪnjɑːdpiə,
wara,weɪlz,
warakia,wɒleɪʃə,
waraparaiho,valpɐɹeɪsəʊ,
warapareiho,valpɐɹeɪsəʊ,
warenehe,veɪləns,
wehipota,wɛstpɔːt,
weira,weɪlz,
weiri,weɪlz,2506.0
weiti,weɪd,3.0
wela,weɪlz,
wenihi,vɛnɪs,
wera,weɪlz,
wereŋitana,wɛlɪŋtən,
wereŋitaŋa,wɛlɪŋtən,
weretana,wɛlɪŋtən,
weretona,wɛlɪŋtən,
weretoni,wɛlɪŋtən,
weri,weɪlz,
weritana,wɛlɪŋtən,
wetainiri,wɛstɪndiz,
wetere,wɛsli,7.0
wiena,vɪɛnə,
wikitoria,vɪktɔːɹiə,
wina,vɪɛnə,
winiatapia,wɪnjɑːdpiə,
winiha,vɪɛnə,
winiha,wɪndsə,
wiranowa,vɪlɐnəʊvə,
wireni,swiːdən,
witana,swiːdən,
witemupara,wɪtənbɜːɡ,
witeni,swiːdən,
witirana,swɪtsələnd,
wiwi,fɹans,
wiwi,fɹans,
woromi,wəʊləmbaɪ,
wurutoka,wʊdstɒk,
faiti,vɜːd,
fihi,fiːd͡ʒi,
fiti,fiːd͡ʒi,2.0
yakaru,jakɑːɹuː,
yuropi,juːɹəʊpi,
yuropi,juːɹəʊpi,
