hun_lemma,hun_year,info,info_en,disambiguated,hun_suffix,en_human,hun_en,orig,hun_orig_en,orig_tag,hun_pos,wordipa
nok,1024,1024,1024,-nok/-nök,+,women,women,,,,n,nok
nök,1024,1024,1024,-nok/-nök,+,women,women,,,,n,nøk
eleve,1200,"1055 (?), 12. sz. vége",end of  12. century ,eleve,,a priori,a_priori,3. Megszilárdult ragos alak ,3. Solidified sticky shape,,r,ɛlɛvɛ
aj,1224,"1055 (?), 1224","1055 (?),  1224",aj1,,j,j,"1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,r,ɒj
ásvány,1226,"1055 (?), 1226 tn.","1055 (?),  1226 placename",ásvány,,['mineral'],mineral,1. Származékszavak ,1. Derivatives,,n,aːʃvaːɲ
elő,1372,"1055 (?),1372 u.","1055 (?), after 1372 ",elő,,live,live,"2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,r,ɛløː
torok,1200,"1055 tn. (?), 12. sz. vége",end of  12. century ,torok,,"['boot', 'gorge', 'throat', 'throttle']","boot, gorge, throat, throttle","3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,n,torok
nyír,1252,"1055 tn. (?), 1252","1055 placename (?),  1252",nyír2,,"['birch', 'to clip', 'cushion', 'to cut, cut', 'to fleece', 'to hedge', 'to lop', 'to pare', 'to shear, sheared, shorn', 'to trim']","birch, clip, cushion, cut, cut, fleece, hedge, lop, pare, shear, sheared, shorn, trim","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,ɲiːr
bél,1300,"1055 tn. (?), 13. sz. közepe","1055 placename (?),  13. century közepe",bél,,"['bowel', 'gut', 'intestine', 'kernel', 'pith', 'skin', 'tharm']","bowel, gut, intestine, kernel, pith, skin, tharm","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,beːl
hull,1300,"1055 tn. (?), 13. sz. közepe","1055 placename (?),  13. century közepe",hull,,['to stream'],stream,4. Valószínűleg ősi szavak?,4. Probably ancient words?,,v,hull
sár,1332,"1055 tn. (?), 1332","1055 placename (?),  1332",sár2,,"['dirt', 'mire', 'mud', 'ooze', 'slob', 'slobber', 'sludge', 'splash']","dirt, mire, mud, ooze, slob, slobber, sludge, splash",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,ʃaːr
sár,1372,"1055 tn.  (?),  1372 u.","1055 placename  (?), after   1372 ",sár1,,"['dirt', 'mire', 'mud', 'ooze', 'slob', 'slobber', 'sludge', 'splash']","dirt, mire, mud, ooze, slob, slobber, sludge, splash",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,ʃaːr
kert,1395,"1055  tn.  (?),  1395 k.","1055  placename  (?), ca.   1395 ",kert,,"['garden', 'grounds', 'yard']","garden, grounds, yard",,,,n,kɛrt
török,1476,"1055  tn.  (?),  1476 k.","1055  placename  (?), ca.   1476 ",török,,['Turkish'],Turkish,b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,a,tørøk
báb,1516,"1055  tn.  (?),  1516 u.","1055  placename  (?), after   1516 ",báb,,"['cocoon', 'dummy', 'marionett', 'marionette', 'puppet', 'tool']","cocoon, dummy, marionett, marionette, puppet, tool","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,baːb
apa,1395,"1055 tn.(?),  1395 k.","1055 placename(?), ca.   1395 ",apa,,"['father', 'parent', 'pater', 'sire']","father, parent, pater, sire","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,ɒpɒ
vár,1193,"1055 tn.,  1193","1055 placename,   1193",vár2,,"['to await', 'castle', 'to expect', 'fastness', 'hold', 'to look for', 'to tend', 'to wait']","await, castle, expect, fastness, hold, look_for, tend, wait",II. Iráni (például alán) jövevényszavak ,"II. Iranian (for example, under) newcomer words",,v,vaːr
vejsze,1265,"1055 tn.,  1265","1055 placename,   1265",vejsze,,vejsze,vejsze,"2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,vɛjsɛ
lyuk,1269,"1055 tn.,  1269","1055 placename,   1269",lyuk,,"['burrow', 'cavity', 'earth', 'eye', 'hole', 'leakage', 'puncture', 'sector', 'socket', 'vent']","burrow, cavity, earth, eye, hole, leakage, puncture, sector, socket, vent","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,juk
som,1291,"1055 tn.,  1291","1055 placename,   1291",som,,['cornel'],cornel,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,ʃom
fehér,1372,"1055 tn.,  1372 u.","1055 placename, after   1372 ",fehér,,"['hoar', 'hoary', 'white']","hoar, hoary, white","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,v,fɛheːr
tő,1372,"1055 tn.,  1372 u.","1055 placename, after   1372 ",tő,,['root'],root,"2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,tøː
disznó,1395,"1055 tn.,  1395 k.","1055 placename, ca.   1395 ",disznó,,"['dirty', 'hog', 'pig', 'swine']","dirty, hog, pig, swine",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,disnoː
orr,1395,"1055 tn.,  1395 k.","1055 placename, ca.   1395 ",orr,,"['conk', 'handle of the face', 'hooter', 'horn', 'muzzle', 'nose', 'pecker', 'proboscis, proboscides', 'snitch', 'snozzle', 'toe']","conk, handle_of_the_face, hooter, horn, muzzle, nose, pecker, proboscis, proboscides, snitch, snozzle, toe","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,orr
kenéz,1406,"1055 tn.,  1406","1055 placename,   1406",kenéz,,kenéz,kenéz,d) Déli szláv jövevényszavak (általában) ,d) South Slavic newcomer words (usually),,n,kɛneːz
vég,1416,"1055 tn.,  1416 u.","1055 placename, after   1416 ",vég,,"['butt', 'confine', 'end', 'ending', 'fate', 'fine', 'finish', 'heel', 'last', 'surcease', 'tail', 'terminal', 'termination']","butt, confine, end, ending, fate, fine, finish, heel, last, surcease, tail, terminal, termination","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,veːɡ
szád,1585,"1055 tn., 1585 k.","1055 placename, ca.  1585 ",szád,,mouth,mouth,1. Származékszavak ,1. Derivatives,,n,saːd
a,1055,1055,1055,-a/-e1,+,the,the,,,,r,ɒ
e,1055,1055,1055,-a/-e1,+,e,e,,,,r,ɛ
a,1055,1055,1055,-a/-e~-ja/-je,+,the,the,,,,r,ɒ
e,1055,1055,1055,-a/-e~-ja/-je,+,e,e,,,,r,ɛ
ja,1055,1055,1055,-a/-e~-ja/-je,+,ja,ja,,,,a,jɒ
je,1055,1055,1055,-a/-e~-ja/-je,+,je,je,,,,n,jɛ
ár,1055,1055,1055,-ár/-ér,+,"['auger', 'cost', 'current', 'flood', 'flow', 'high water', 'price', 'pricker', 'prodding tool', 'puncheon', 'rate', 'stream', 'torrent', 'water', 'waves']","auger, cost, current, flood, flow, high_water, price, pricker, prodding_tool, puncheon, rate, stream, torrent, water, waves",,,,n,aːr
ér,1055,1055,1055,-ár/-ér,+,"['brook', 'brooklet', 'to hit', 'to hit, hit', 'rill', 'streamlet', 'streak', 'string', 'vein']","brook, brooklet, hit, hit, hit, rill, streamlet, streak, string, vein",,,,v,eːr
árok,1055,1055,1055,árok,,"['chase', 'cut', 'dike', 'ditch', 'duct', 'dyke', 'furrow', 'groove', 'pit', 'trench', 'water gang']","chase, cut, dike, ditch, duct, dyke, furrow, groove, pit, trench, water_gang",a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,aːrok
ász,1055,1055,1055,-ász/-ész,+,"['ace', 'hot']","ace, hot",,,,n,aːs
ész,1055,1055,1055,-ász/-ész,+,"['brain', 'depth', 'five wits', 'head', 'headpiece', 'intellect', 'mind', 'reason', 'savvy', 'senses', 'wit']","brain, depth, five_wits, head, headpiece, intellect, mind, reason, savvy, senses, wit",,,,n,eːs
aszó,1055,1055,1055,aszó,,the word,the_word,9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,v,ɒsoː
at,1055,1055,1055,-at/-et1,+,at,at,,,,r,ɒt
et,1055,1055,1055,-at/-et1,+,et,et,,,,n,ɛt
berkenye,1055,1055,1055,berkenye,,['sorb'],sorb,c) Szlovák jövevényszavak ?,c) Slovak newcomer words?,,n,bɛrkɛɲɛ
bokor,1055,1055,1055,bokor,,"['bush', 'shrub']","bush, shrub",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,bokor
csa,1055,1055,1055,-csa/-cse,+,Hi,Hi,,,,n,t͡ʃɒ
cse,1055,1055,1055,-csa/-cse,+,au,au,,,,r,t͡ʃɛ
ér,1055,1055,1055,ér3,,"['brook', 'brooklet', 'to hit', 'to hit, hit', 'rill', 'streamlet', 'streak', 'string', 'vein']","brook, brooklet, hit, hit, hit, rill, streamlet, streak, string, vein",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,v,eːr
fa,1055,1055,1055,fa,,"['lumber', 'timber', 'tree', 'wood']","lumber, timber, tree, wood","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,fɒ
fekete,1055,1055,1055,fekete,,"['black', 'collied', 'darkey', 'darkie', 'dark-skinned', 'inky', 'sooty']","black, collied, darkey, darkie, dark-skinned, inky, sooty","3. Ősi, ugor kori szavak ?","3. Ancient, Ugric words?",Ug?,a,fɛkɛtɛ
fertő,1055,1055,1055,fertő,,infection,infection,9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,n,fɛrtøː
fok,1055,1055,1055,fok1,,"['degree', 'extent', 'head', 'measure', 'notch', 'phase', 'rate', 'remove', 'stage']","degree, extent, head, measure, notch, phase, rate, remove, stage",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,n,fok
föveny,1055,1055,1055,föveny,,"['gravel', 'grit']","gravel, grit",1. Származékszavak ?,1. Derivatives?,,n,føvɛɲ
had,1055,1055,1055,had,,military,military,"2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,hɒd
halom,1055,1055,1055,halom,,"['batch', 'clamp', 'clump', 'conglomerate', 'cop', 'crowd', 'dump', 'heap', 'junk', 'mass', 'mound', 'pack', 'peck', 'pile', 'sheaf', 'stack']","batch, clamp, clump, conglomerate, cop, crowd, dump, heap, junk, mass, mound, pack, peck, pile, sheaf, stack",,,,n,hɒlom
három,1055,1055,1055,három,,['three'],three,"2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,r,haːrom
hegy,1055,1055,1055,hegy,,"['height', 'hill', 'mount', 'mountain', 'toe']","height, hill, mount, mountain, toe",4. Valószínűleg ősi szavak?,4. Probably ancient words?,,n,hɛɟ
hely,1055,1055,1055,hely,,"['berth', 'corner', 'dump', 'houseroom', 'locality', 'location', 'locus, loci', 'place', 'room', 'seat', 'shebang', 'site', 'space', 'spot', 'stance', 'stand', 'stead']","berth, corner, dump, houseroom, locality, location, locus, loci, place, room, seat, shebang, site, space, spot, stance, stand, stead",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,hɛj
homok,1055,1055,1055,homok,,['sand'],sand,a) Török jövevényszavak általában ?,a) Turkish newcomers in general?,,n,homok
iszik,1055,1055,1055,iszik,,"['to carouse', 'to cup', 'to drink, drank, drunk', 'to guzzle', 'to imbibe', ""to moisten one's clay"", 'to partake, partook, partaken', 'to swig', 'to toot', ""to wet one's clay""]","carouse, cup, drink, drank, drunk, guzzle, imbibe, ""moisten_ones_clay"", partake, partook, partaken, swig, toot, ""wet_ones_clay""","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,v,isik
kerek,1055,1055,1055,kerek,,"['rotund', 'round']","rotund, round",1. Származékszavak ,1. Derivatives,,a,kɛrɛk
kőris,1055,1055,1055,kőris,,ash,ash,b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,køːriʃ
kút,1055,1055,1055,kút,,"['fount', 'fountain', 'pit', 'pump', 'well']","fount, fountain, pit, pump, well",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,kuːt
l,1055,1055,1055,-l~-ly,+,l,l,,,,r,l
ly,1055,1055,1055,-l~-ly,+,ly,ly,,,,r,j
ló,1055,1055,1055,ló,,"['bronco', 'horse', 'hoss']","bronco, horse, hoss",III. Kaukázusi jövevényszavak ?,III. Caucasian newcomer words?,,n,loː
m,1055,1055,1055,-m1,+,m,m,,,,r,m
megy,1055,1055,1055,megy,,"['to drive, drove, driven', 'to gang', 'to go, went, gone', 'to head', 'to hop', 'to make way', 'to march', 'to pass', 'to run, ran, run', 'to sashay', 'to tend', 'to tool along', 'to travel', 'to tread, trod, trodden', 'to walk']","drive, drove, driven, gang, go, went, gone, head, hop, make_way, march, pass, run, ran, run, sashay, tend, tool_along, travel, tread, trod, trodden, walk","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,v,mɛɟ
megye,1055,1055,1055,megye,,"['co.', 'shire']","co., shire",c) Szlovén jövevényszavak ?,c) Slovenian newcomer words?,,n,mɛɟɛ
mező,1055,1055,1055,mező,,"['field', 'land', 'meadow', 'pane']","field, land, meadow, pane",9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,n,mɛzøː
mogyoró,1055,1055,1055,mogyoró,,"['hazel', 'hazelnut']","hazel, hazelnut",1. Származékszavak ,1. Derivatives,,n,moɟoroː
nagy,1055,1055,1055,nagy,,"['big', 'burly', 'expansive', 'grand', 'great', 'gross', 'heavy', 'large', 'massive', 'mighty', 'outstanding', 'power', 'roomy', 'slick']","big, burly, expansive, grand, great, gross, heavy, large, massive, mighty, outstanding, power, roomy, slick","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,a,nɒɟ
ó,1055,1055,1055,ó1,,['old'],old,,,,r,oː
ölyv,1055,1055,1055,ölyv,,"['buzzard', 'hawk']","buzzard, hawk",b) Csuvasos típusú jövevényszavak ?,b) Chuvash type newcomer words?,,n,øjv
rá,1055,1055,1055,rá,,it,it,3. Megszilárdult ragos alak ,3. Solidified sticky shape,,r,raː
ravasz,1055,1055,1055,ravasz,,"['acute', 'astute', 'cagey', 'calculating', 'canny', 'catchy', 'coony', 'crafted', 'crafty', 'cunning', 'cute', 'deep', 'drafty', 'draughty', 'foxy', 'ikey', 'to know how many beans make five', 'knowing', 'leery', 'shifty', 'shrewd', 'sleek', 'slick', 'slim', 'sly', 'tricksy', 'tricky', 'vulpine', 'wily']","acute, astute, cagey, calculating, canny, catchy, coony, crafted, crafty, cunning, cute, deep, drafty, draughty, foxy, ikey, know_how_many_beans_make_five, knowing, leery, shifty, shrewd, sleek, slick, slim, sly, tricksy, tricky, vulpine, wily","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,a,rɒvɒs
s,1055,1055,1055,-s1,+,s,s,,,,r,ʃ
sír,1055,1055,1055,sír2,,"['to be in tears', 'bed', 'cell', 'to cry', 'deep-six', 'grave', 'last resting-place', 'long home', 'to rabbit', 'to rabbit on', 'sepulcher', 'sepulchre', 'to wail', 'to weep, wept']","be_in_tears, bed, cell, cry, deep-six, grave, last_resting-place, long_home, rabbit, rabbit_on, sepulcher, sepulchre, wail, weep, wept","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,v,ʃiːr
sz,1055,1055,1055,-sz1,+,s,s,,,,r,s
szág,1055,1055,1055,-szág/-szég,+,smell,smell,,,,n,saːɡ
szég,1055,1055,1055,-szág/-szég,+,nail,nail,,,,n,seːɡ
szakad,1055,1055,1055,szakad,,"['to break, broke, broken', 'to split, split', 'to split', 'to stream', 'to tear, tore, torn']","break, broke, broken, split, split, split, stream, tear, tore, torn",1. Származékszavak ,1. Derivatives,,v,sɒkɒd
széna,1055,1055,1055,széna,,['hay'],hay,,,,n,seːnɒ
sziget,1055,1055,1055,sziget,,"['island', 'isle']","island, isle",1. Származékszavak ,1. Derivatives,,n,siɡɛt
szik,1055,1055,1055,szik,,on,on,1. Származékszavak ?,1. Derivatives?,,v,sik
szil,1055,1055,1055,szil,,elm,elm,"2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,sil
t,1055,1055,1055,-t1,+,t,t,,,,r,t
t,1055,1055,1055,-t~-tt1,+,t,t,,,,r,t
tt,1055,1055,1055,-t~-tt1,+,tt,tt,,,,r,tt
út,1055,1055,1055,út,,"['channel', 'gang', 'going', 'journey', 'march', 'pad', 'passage', 'path', 'ride', 'road', 'round', 'run', 'trip', 'way']","channel, gang, going, journey, march, pad, passage, path, ride, road, round, run, trip, way","3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,n,uːt
vány,1055,1055,1055,-vány/-vény,+,power,power,,,,r,vaːɲ
vény,1055,1055,1055,-vány/-vény,+,receipt,receipt,,,,n,veːɲ
vásár,1055,1055,1055,vásár,,"['fair', 'mop fair', 'sale']","fair, mop_fair, sale",II. Iráni (például alán) jövevényszavak ?,"II. Iranian (for example, under) newcomer words?",,n,vaːʃaːr
leány,1055,1055,1055,leány,,"['gal', 'gill', 'girl', 'job', 'maiden', 'skirt']","gal, gill, girl, job, maiden, skirt",13. Szóösszetétellel keletkezett szavak ?,13. Words formed by word composition?,,n,lɛaːɲ
két,1291,"1057 tn. (?), 1291","1057 placename (?),  1291",két,,['two'],two,"2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,r,keːt
kor,1372,"1057 tn. (?), 1372 u.","1057 placename (?), after  1372 ",kor,,"['age', 'cycle', 'epoch', 'era', 'estate', 'period']","age, cycle, epoch, era, estate, period",a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,kor
sereg,1395,"1057 tn. (?), 1395 k.","1057 placename (?), ca.  1395 ",sereg,,"['bevy', 'cohort', 'crop', 'crowd', 'flock', 'green machine', 'host', 'nest', 'troop']","bevy, cohort, crop, crowd, flock, green_machine, host, nest, troop",a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,ʃɛrɛɡ
kedd,1405,"1057  tn.  (?),  1405 k.","1057  placename  (?), ca.   1405 ",kedd,,Tuesday,Tuesday,1. Származékszavak ,1. Derivatives,,r,kɛdd
